"-- Please Select --","-- Votre choix --"
"Add New Class","Ajouter une nouvelle classe"
"Add New Tax Rate","Ajouter un nouveau taux de taxe"
"Add New Tax Rule","Ajouter une nouvelle règle de taxe"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Êtes-vous certains de vouloir faire cela ?"
"Back","Retour"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Nom de la classe"
"Code","Code"
"Country","Pays"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Comté"
"Custom price if available","Custom price if available"
"Customer Tax Class","Classe de taxe clients"
"Customer Tax Class Information","Informations de classe de taxe client"
"Customer Tax Classes","Classes de taxe client"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Supprimer la classe"
"Delete Rate","Supprimer le taux"
"Delete Rule","Supprimer la règle"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Éditer la classe"
"Edit Class '%s'","Éditer la classe '%s'"
"Edit Rule","Modifier la règle"
"Edit Tax Rate","Éditer le taux de taxe"
"Error while deleting this class. Please try again later.","Erreur lors de la suppression de cette classe. Veuillez réessayer ultérieurement."
"Error while deleting this rate. Incorrect rate ID","Erreur lors de la suppression de ce taux. Identifiant de taux invalide."
"Error while deleting this rate. Please try again later.","Erreur lors de la suppression de ce taux. Veuillez réessayer ultérieurement."
"Error while deleting this tax rule. Please try again later.","Erreur lors de la suppression de cette règle de taxe. Veuillez réessayer ultérieurement."
"Error while saving this rate. Please try again later.","Erreur lors de la sauvegarde de ce taux. Veuillez réessayer ultérieurement."
"Error while saving this tax class. Class with the same name ","Erreur lors de la sauvegarde de cette classe de taxe. Veuillez réessayer ultérieurement."
"Error while saving this tax class. Please try again later.","Erreur lors de la sauvegarde de cette classe de taxe. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. Please try again later.","Erreur lors de la sauvegarde de cette classe de taxe. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Hors taxes"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Exporter les taux de taxe"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Importer / exporter les taux de taxe"
"Import Tax Rates","Importer les taux de taxe"
"Inc. Tax","Taxes incluses"
"Incl. Tax","Taxes incluses"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Données de taux incorrectes"
"Invalid data for tax rate calculation","Données invalides pour le calcul du taux de taxe"
"Invalid file format upload attempt","Tentative de téléchargement de fichier au format invalid"
"Invalid file upload attempt","Tentative de téléchargement de fichier invalide"
"Manage Customer Tax Classes","Gérer les classes de taxe client"
"Manage Product Tax Classes","Gérer les classes de taxe produit"
"Manage Tax Rates","Gérer les taux de taxe"
"Manage Tax Rules","Gérer les règles de taxe"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","Nouvelle classe"
"New Rule","Nouvelle règle"
"New Tax Rate","Nouveau taux de taxe"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Veuillez sélectionner un pays"
"Please select County","Veuillez sélectionner un comté"
"Please select State","Veuillez sélectionner un état"
"Priority","Priority"
"Product Tax Class","Classe de taxe produits"
"Product Tax Class Information","Information de la classe de taxe produit"
"Product Tax Classes","Classes de taxe produit"
"Rate","Rate"
"Reset","Réinitialiser"
"Sales","Ventes"
"Save Class","Sauvegarder la classe"
"Save Rate","Sauvegarder le taux"
"Save Rule","Sauvegarder la règle"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","État"
"State/Region","État/Province"
"Tax","Taxe"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Taux de taxe"
"Tax Rate Information","Information du taux de taxe"
"Tax Rule Information","Informations de règle de taxe"
"Tax Rules","Règles de taxe"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","La classe de taxe a été sauvegardé avec succès"
"Tax class was successfully saved","Classe de taxe supprimée avec succès"
"Tax rate was successfully deleted","Taux de taxe supprimé avec succès"
"Tax rate was successfully imported","Taux de taxe importé avec succès"
"Tax rate was successfully saved","Taux de taxe sauvegardé avec succès"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Règle de taxe supprimée avec succès"
"Tax rule was successfully saved","Règle de taxe sauvegardée avec succès"
"This class no longer exists","Cette classe n'existe plus"
"This rule no longer exists","Cette règle n'existe plus"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Vous ne pouvez pas effacer cette classe de taxe car elle est utilisée par %d groupes de clients."
"You cannot delete this tax class as it is used for %d products.","Vous ne pouvez pas effacer cette classe de taxe car elle est utilisée par %d produits."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Vous ne pouvez pas effacer cette classe de taxe car elle est utilisée dans les règles de taxe. Vous devez d'abord effacer les règles qui l'utilisent."
"Zip/Post Code","Code postal"
