"Billing Information","Informations de facturation"
"Change Payment Method","Modifier le mode de paiement"
"Change Shipping Address","Modifier"
"Edit Shopping Cart","Modifier le panier"
"Email","Email"
"Incl. Tax","TTC"
"Items in Your Shopping Cart","Articles dans votre panier"
"No shipping method required.","Aucune méthode de livraison nécessaire."
"PayPal Account","Compte PayPal"
"PayPal Email","Email Paypal"
"Payment Method","Mode de paiement"
"Place an Order","Passer une commande"
"Please select a shipping method...","Sélectionnez un mode de livraison..."
"Price","Prix"
"Product Name","Nom produit"
"Qty","Quantité"
"Review Order","Vérifier la commande"
"Shipping Address","Adresse de livraison"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Sorry, no quotes are available for this order at this time.","Désolé, aucune estimation n'existe pour cette commande pour l'instant"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Subtotal","Sous-total"
"Update Shipping Method","Changer de mode de livraison"
"You will be redirected to PayPal website when you place an order.","Vous serez redirigé vers le site de Paypal quand vous validez la commande."
"You will be redirected to Paypal in a few seconds.","Vous serez redirigé vers le site de Paypal dans quelques secondes."
"Your billing address will be ignored and you will be redirected to PayPal website","Votre adresse de facturation sera ignorée et vous serez redirigé vers le site de Paypal."
