"%s is not supported currency.","%s n'est pas une devise supportée."
"Accept","Accepter"
"Basic","Basique"
"Cannot retreive rate from strikeirion.","Récupération impossible du taux depuis strikeiron"
"Cannot retrieve rate from %s to %s","Impossible de récupérer le taux depuis %s vers %s"
"Check all email servers","Vérifier tous les serveurs de mail"
"Complete","Terminée"
"Country/Region/Postal code combination","Combinaison de pays/région/code postal"
"Customer Tax Class","Classe de taxe client"
"Email Verification","Vérification d'email"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","L'email ne peut pas être vérifié. Merci de vérifier."
"Enable US address verification","Activer la vérification d'adresse américaine"
"Enable email verification","Activer la vérification d'email"
"Enable foreign exchange rate","Activer le taux de change"
"Enable global address verification","Activer la vérification d'adresse globale"
"Enable sales and use tax","Activer les ventes et utiliser les taxes"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Error address action","Erreur dans l'action d'adresse"
"Foreign Exchange Rates","Taux de change"
"Global Address Verification","Vérification d'adresse globale"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si le type est complet et que le code appartient à plusieurs taux de change, choisissez d'appliquer le taux maxi ou le taux mini."
"Invalid email address","Email invalide"
"Maximum tax rate","Taux de change maxi"
"Minimum tax rate","Taux de change mini"
"Password","Mot de passe"
"Pop up warning and accept","Afficher une alerte et accepter"
"Product Tax Class","Classe de taxe produit"
"Reject","Rejeter"
"Sales and Use Tax","Taxe de vente et d'utilisation"
"Sales and Use Tax Type","Type de taxe de vente et d'utilisation"
"Strikeiron","Strikeiron"
"Strikeiron Config","Configuration Strikeiron"
"Strikeiron Section","Section Strikeiron"
"Strikeiron foreign exchange rate is disabled","Le taux de change Strikeiron est désactivé"
"Tax","TVA"
"There is an error in retrieving tax rate. Please contact us","Erreur lors de la récupération du taux de taxe. Contactez-nous."
"There is an error in verifying an email. Please contact us.","Erreur lors de la vérification de l'email. Contactez-nous."
"There is no more hits remaining for the foreign Exchange Rate Service.","Aucun hit restant pour le service de taux de change"
"There is no response back from Strikeiron server","Aucune réponse du serveur Strikeiron"
"US Address Verification","Vérification d'adresse américaine"
"Undetermined email action","Action d'email indéterminée"
"Use","Utiliser"
"User ID","ID utilisateur"
"Verify address in admin","Vérifier l'adresse dans l'admin"
"Verify email in admin","Vérifier l'email dans l'admin"
