" The customer doesn't exist in the system anymore","O Cliente já não existe no sistema"
" and "," e "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta absoluta ou relativa á raíz de instalación de Magento, ex. var/export)"
"(For US 2-letter state names)","(Para os nomes de estado de dúas letras dos EEUU)"
"(If left empty will be auto-generated)","(Se se deixa baleiro xerarase automaticamente)"
"(Leave empty for first spreadsheet)","(Deixar baleiro para a primeira folla de cálculo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Engadiranse/actualizaranse os produtos nesta tenda se a columna 'tenda' está baleira ou falta no ficheiro de importación.)"
"(Shift-)Click or drag to change value","(Maiús-)Prema ou arrastre para cambiar o valor"
"(Starting with)","(Comezando con)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Cando 'Non', só se importarán os campos mapeados. Cando mapee, use 'columna1', 'columna2' etc.)"
"(You have to increase php memory_limit before changing this value)","(Ten que aumentar o memory_limit de php antes de cambiar o valor)"
"(\t for tab)","(t para separador)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - If indexing is in progress, it will be killed and new indexing process will start"
"- Click on any of the time parts to increase it","- Prema nalgunha das partes de tempo para aumentalo"
"- Hold mouse button on any of the above buttons for faster selection.","- Manteña premido o botón do rato sobre algún dos botóns de arriba para unha selección máis rápida."
"- Use the %s buttons to select month","- Utilice os botóns %s para seleccionar mes"
"- Use the %s, %s buttons to select year","- Utilice %s, os botóns %s para seleccionar ano"
"- or Shift-click to decrease it","- ou Maiús-clic para diminuílo"
"- or click and drag for faster selection.","- ou prema e arrastre para unha selección máis rápida."
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"-- Please select a category --","-- Por favor seleccione uma categoria--"
"--Please Select--","--Por favor, seleccione--"
"1 Hour","1 Hora"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","2 anos ata hoxe"
"6 Hours","6 Horas"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Erro</h1><p>Páxina non encontrada.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Access denied</h1><p>Acesso negado.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Enviouse un novo contrasinal ao seu enderezo de correo. Por favor, verifique o seu correo e prema en volver para iniciar sesión."
"API Stability","Estabilidade da API"
"API Version","Versão API"
"API:","API:"
"About the calendar","Sobre o calendario"
"Access Denied.","Acesso negado."
"Access Deny","Acesso negado"
"Account Created in:","Conta creada en:"
"Account Created on (%s):","Conta creada no (%s):"
"Account Created on:","Conta creada no:"
"Account Information","Información de conta"
"Account status","Estado da conta"
"Account successfully saved","Conta correctamente guardada"
"Action","Acción"
"Actions","Accións"
"Actions XML","Accións XML"
"Active","Activo"
"Add","Engadir"
"Add Contents Path","Engadir ruta de contidos"
"Add Exception","Engadir excepción"
"Add Field Mapping","Engadir mapeamento de campo"
"Add Field with URL:","Engadir campo con URL:"
"Add Maintainer","Add Maintainer"
"Add New Image","Engadir nova imaxe"
"Add New Profile","Engadir novo perfil"
"Add New Role","Engadir novo rol"
"Add New Template","Engadir modelo novo"
"Add New Urlrewrite","Adicionar nova rescrita de URL"
"Add New User","Engadir novo usuario"
"Add New osCommerce Profile","Engadir novo perfil de osCommerce"
"Add PHP Extension dependency","Engadir dependencia de extensión de PHP"
"Add Package dependency","Engadir dependencia de paquete"
"Add Subpackage dependency","Add Subpackage dependency"
"Add Urlrewrite","Add Urlrewrite"
"Add Urlrewrite for a Category","Add Urlrewrite for a Category"
"Add Urlrewrite for a Product","Add Urlrewrite for a Product"
"Add after","Engadir despois"
"Add new Role","Adicionar novo papel"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","Tipo de enderezo:"
"Admin","Admin"
"Advanced Admin Section","Sección de administración avanzada"
"Advanced Profiles","Perfís avanzados"
"Advanced Section","Sección avanzada"
"Aggregate Order","Agrupar Ordem"
"All","Todos"
"All Allowed Countries","Todos os países permitidos"
"All Cache","Toda a caché"
"All Files","Todos os ficheiros"
"All Store Views","Todas as visualizacións da tenda"
"All Tags","Todas as etiquetas"
"All Websites","Todos os sitios web"
"All countries","Todos os países"
"All fields","Todos os campos"
"All possible rates were fetched, click on ""Save"" to apply","Todas as taxas foram recuperadas, clique em ""Guardar"" para aplicar"
"All rates were fetched, click on ""Save"" to apply","Todas as taxas foram recuperadas, clique em ""Guardar"" para aplicar"
"All valid rates successfully saved","Todas as taxas válidas foram guardadas com sucesso"
"Amounts","Cantidades"
"Any","Calquera"
"Any Attribute Set","Calquera grupo de atributos"
"Any Group","Calquera grupo"
"Any Status","Calquera estado"
"Any Store","Calquera tenda"
"Any Type","Calquera tenda"
"Any Visibility","Calquera visibilidade"
"Api Key","Api Key"
"Api Key Confirmation","Api Key Confirmation"
"Archive file name:","Nome do ficheiro de arquivo:"
"Are you sure that you want to delete this template?","Está seguro de que quere eliminar este modelo?"
"Are you sure that you want to strip tags?","Está seguro de que quere eliminar as etiquetas?"
"Are you sure you want to do this?","Está vostede seguro de que quere facer isto?"
"Are you sure you wish to INSTALL all selected packages?","Tem a certeza que deseja INSTALAR os pacotes seleccionados?"
"Are you sure you wish to UNINSTALL all selected packages?","Tem a certeza que deseja DESINSTALAR os pacotes seleccionados?"
"Are you sure you wish to UPGRADE all selected packages?","Tem a certeza que deseja ACTUALIZAR os pacotes seleccionados?"
"Area","Área"
"Assigned","Asignado"
"Attribute Set Name:","Nome de conxunto de atributos:"
"Attribute set successfully saved.","Grupo de atributos correctamente guardado"
"Attribute set was successfully removed.","Grupo de atributos correctamente removido"
"Attributes","Atributos"
"Available Products","Produtos dispoñibles"
"Available Version","Versão Disponível"
"Average Order Amount","Valor medio de pedido"
"Average Orders","Media de pedidos"
"Back","Volver"
"Back to Login","Volver a inicio de sesión"
"Back to local packages","Voltar aos pacotes locais"
"Backup","Copia de seguridade"
"Backup record was deleted","Registo de Cópia de Segurança removido"
"Backup successfully created","Cópia de Segurança criada correctamente"
"Backups","Copias de seguridade"
"Base currency","Moeda base"
"Bcc","Cco"
"Bestsellers","Máis vendidos"
"Big Image","Imaxe grande"
"Billing Address","Enderezo de facturación"
"Billing address","Endereço de Facturação"
"Block Information","Información do bloque"
"Both (without and with tax)","Ambos (sen e con imposto)"
"Browse Available Extensions","Navegar em todas as Extensões Disponíveis"
"Browse Available Remote Extensions","Navegar em todas as Extensões Remotas Disponíveis"
"Browse Files...","Buscar ficheiros..."
"Bundle Items","Paquete de elementos"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paquete con prezos dinámicos que non pode incluír as opcións personalizadas definidas. Non se gardarán as opcións."
"CRITICAL","CRÍTICO"
"CSV","CSV"
"CSV / Tab separated","Separado CSV / Tabulación"
"Cache Control","Control de caché"
"Cache Control (beta)","Control de caché (beta)"
"Cache Management","Xestión de caché"
"Can not add new comment.","Can not add new comment."
"Can not add tracking number.","Can not add tracking number."
"Can not delete tracking number.","Can not delete tracking number."
"Can not do credit memo for order","Can not do credit memo for order"
"Can not do invoice for order","Can not do invoice for order"
"Can not do shipment for order.","Can not do shipment for order."
"Can not initialize shipment for adding tracking number.","Can not initialize shipment for adding tracking number."
"Can not initialize shipment for delete tracking number.","Can not initialize shipment for delete tracking number."
"Can not load track with retrieving identifier.","Can not load track with retrieving identifier."
"Can not retrieve tracking number detail.","Can not retrieve tracking number detail."
"Can not save credit memo","Can not save credit memo"
"Can not save invoice","Can not save invoice"
"Can not save shipment.","Can not save shipment."
"Can not send shipment information.","Can not send shipment information."
"Can not update item qty","Can not update item qty"
"Can't delete design change","Não foi possível remover as alterações ao Desenho"
"Can't find email address.","Não foi possível encontrar o endereço de email"
"Cancel","Cancelar"
"Card Verification Number","Número de verificación da tarxeta"
"Catalog","Catálogo"
"Catalog Rewrites","Reescrituras do catálogo"
"Catalog Rewrites was refreshed successfully","Catalog Rewrites was refreshed successfully"
"Catalog Rewrites were refreshed successfully","Catalog Rewrites were refreshed successfully"
"CatalogInventory Stock Status rebuild error. Please try again later","CatalogInventory Stock Status rebuild error. Please try again later"
"CatalogInventory Stock Status was rebuilt successfully","CatalogInventory Stock Status was rebuilt successfully"
"Category","Categoria"
"Category:","Categoría:"
"Changelog","Lista de Modificações"
"Channel","Canle"
"Channel:","Canal:"
"Checkbox","Caixa de verificación"
"Choose Store View","Escoller visualización da tenda"
"Choose an attribute","Escoller un atributo"
"Clear","Limpar"
"Close","Pechar"
"Comment text field can not be empty.","Comment text field can not be empty."
"Comments History","Historial de comentarios"
"Complete","Completo"
"Configuration","Configuración"
"Configuration successfully saved","Configurações guardadas com sucesso"
"Confirmed email:","Correo electrónico confirmado:"
"Conflicts","Conflitos"
"Connect with the Magento Community","Conectar coa comunidade de Magento"
"Contents","Contidos"
"Convert to Plain Text","Converter a texto plano"
"Cookie (Unsafe)","Cookie (inseguro)"
"Country","País"
"Country:","País:"
"Coupon Code","Código Cupão"
"Coupons","Cupóns"
"Create","Crear"
"Create DB Backup","Crear copia de seguridade de BD"
"Create Extension Package","Criar Extensão de Pacote"
"Create New Attribute","Crear un novo atributo"
"Create New Staging Store View","Create New Staging Store View"
"Create Urlrewrite:","Create Urlrewrite:"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Created At","Creado en"
"Credit Card Number","Número de tarxeta de crédito"
"Credit Card Number: xxxx-%s","Número de tarxeta de crédito: xxxx-%s"
"Credit Card Type","Tipo de tarxeta de crédito"
"Credit Card Type: %s","Tipo de tarxeta de crédito: %s"
"Credit Memo #%s comment added","Nota de Crétio #%s comentário adicionado"
"Credit Memo #%s created","Nota de Crétio #%s criada"
"Credit Memo History","Historial da nota de crédito"
"Credit Memo Totals","Totais da nota de crédito"
"Credit Memo cancel error.","Credit Memo cancel error."
"Credit Memo total must be positive.","Credit Memo total must be positive."
"Credit Memo void error","Credit Memo void error"
"Credit Memo was successfully canceled.","Credit Memo was successfully canceled."
"Credit Memo was successfully created","Credit Memo was successfully created"
"Credit Memo was successfully voided","Credit Memo was successfully voided"
"Currency","Moeda"
"Currency Information","Información de moeda"
"Currency Setup Section","Sección de configuración de moeda"
"Current Configuration Scope:","Ámbito de configuración actual:"
"Current Release Information","Informação da Corrente Versão"
"Custom","Personalizar"
"Customer","Cliente"
"Customer Group:","Grupo do cliente:"
"Customer Name","Nome do cliente"
"Customer Since:","Cliente desde:"
"Customer was deleted","O cliente foi removido"
"Customer was successfully saved","Cliente correctamente guardado"
"Customer with the same email already exists.","Xa existe un cliente co mesmo correo electrónico."
"Customers","Clientes"
"DHTML Date/Time Selector","Selector de Data/Tempo DHTML"
"Dashboard","Panel"
"Data Format","Formato de datos"
"Data transfer:","Transferencia de datos:"
"Date","Data"
"Date & Time","Data e tempo"
"Date Added","Data en que se engadiu"
"Date Updated","Data en que se actualizou"
"Date selection:","Selección de data:"
"Date selector","Selector de data"
"Date:","Data:"
"Day","Día"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores (Admin) predeterminados"
"Default Config","Configuración predeterminada"
"Default Template from Locale","Modelo predeterminado da configuración rexional"
"Default Values","Valores predeterminados"
"Default display currency ""%s"" is not available in allowed currencies","Default display currency ""%s"" is not available in allowed currencies"
"Default scope","Ámbito predeterminado"
"Delete","Eliminar"
"Delete %s","Eliminar %s"
"Delete %s '%s'","Eliminar %s '%s'"
"Delete Profile","Eliminar perfil"
"Delete Role","Eliminar rol"
"Delete Store View","Eliminar visualización da tenda"
"Delete Template","Eliminar modelo"
"Delete User","Eliminar usuario"
"Delete Website","Eliminar sitio web"
"Dependencies","Dependências"
"Description","Descrición"
"Description:","Descrição:"
"Design","Deseño"
"Design Section","Sección de deseño"
"Design change deleted","Alteração ao Desenho removida"
"Design change saved","Alterações ao Desenho guardadas"
"Developer Section","Sección de desenvolvedor"
"Direction:","Dirección:"
"Disable","Desactivar"
"Disabled","Desactivado"
"Discount Amount","Valor Desconto"
"Display %s first","Mostrar primeiro %s"
"Display default currency","Mostrar moeda predeterminada"
"Distributed under GNU LGPL. See %s for details.","Distribuído baixo a licenza GNU LGPL. Vexa os detalles en %s."
"Do you really want to KILL parallel process and start new indexing process?","Quere realmente TERMINAR o proceso paralelo e comezar un novo proceso de indexación?"
"Done By:","Feito por:"
"Done by:","Feito por:"
"Download Remote File","Descarregar Ficheiro Remoto"
"Download and Install","Descarregar e Instalar"
"Downloading and installing $pkg, please wait...","A descarregar e instalar o pacote $pkg, por favor aguarde..."
"Drag to move","Arrastrar para mover"
"Drop-down","Arrastrar abaixo"
"Edit","Editar"
"Edit Email Template","Editar modelo de correo"
"Edit Poll","Editar enquisa"
"Edit Role","Editar rol"
"Edit Store View","Editar visualización da tenda"
"Edit System Template","Editar modelo de sistema"
"Edit Tag","Editar Etiqueta"
"Edit Template","Editar modelo"
"Edit Urlrewrite","Edit Urlrewrite"
"Edit User","Editar usuario"
"Edit User '%s'","Editar usuario '%s'"
"Edit Website","Editar sitio web"
"Email","Correo electrónico"
"Email Address:","Enderezo de correo electrónico:"
"Email Preview","Previsualización de correo electrónico"
"Email address is empty.","Endereço de Email vazio."
"Email to a Friend","Correo para un amigo"
"Email:","Correo electrónico:"
"Enable","Activar"
"Enabled","Activado"
"Enclose Values In:","Incluír valores en:"
"Entity Type","Tipo de entidade"
"Entity type:","Tipo de entidade:"
"Error uploading the file","Erro ao carregar o ficheiro"
"Error while cleared Image cache. Please try again later","Error while cleared Image cache. Please try again later"
"Error while create backup. Please try again later","Erro ao criar cópia de segurança. Por favor tente norvamente mais tarde"
"Error while deleting this role. Please try again later.","Erro ao remover acesso. Por favor tente novamente mais tarde."
"Error while deleting this set.","Erro ao remover grupo."
"Error while finished process. Please refresh cache","Error while finished process. Please refresh cache"
"Error while refreshed Catalog Rewrites. Please try again later","Error while refreshed Catalog Rewrites. Please try again later"
"Error while refreshed Layered Navigation Indices. Please try again later","Error while refreshed Layered Navigation Indices. Please try again later"
"Error while saving account. Please check all required fields","Error while saving account. Please check all required fields"
"Error while saving account. Please try again later","Erro ao guardar a conta. Por favor tente novamente mais tarde"
"Error while saving this configuration: ","Erro ao guardar configuração:"
"Error while saving this role. Please try again later.","Erro ao guardar acesso. Por favor tente novamente mais tarde"
"Error while updating selected review(s). Please try again later.","Erro ao actualizar as análises seleccionadas. Por favor tente novamente mais tarde"
"Excl. Tax","Excl. Imposto"
"Exclude","Excluir"
"Exclude (comma separated)","Excluir (separado por vírgula)"
"Expiration Date","Data de caducidade"
"Expiration Date: %s/%s","Data de caducidade: %s/%s"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensión"
