"* Required Fields","* Campos obrigatorios"
"Comment","Comentario"
"Contact Form","Formulario de contacto"
"Contact Information","Información de contacto"
"Contact Us","Contacte con nós"
"Contacts","Contactos"
"Contacts Section","Sección de Contactos"
"Email","Correo electrónico"
"Email Options","Opcións de Correo electrónico"
"Email Sender","Remitente de Correo electrónico"
"Email Template","Modelo de Correo electrónico"
"Enable Contact Us","Activar Contactar con nós"
"Name","Nome"
"Send Emails To","Enviar Correos electrónicos a"
"Submit","Enviar"
"Telephone","Teléfono"
"Unable to submit your request. Please, try again later","Non se pode enviar a súa solicitude. Inténteo de novo máis tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","A súa consulta enviouse e responderase tan pronto como sexa posible. Grazas por contactar con nós."
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"* Required Fields","* Required Fields"
