"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Ligazón</a>"
"Access denied to destination folder ""%s""","Acesso à pasta de destino negado ""%s"""
"Could not load file: ""%s""","Não foi possível carregar o ficheiro: ""%s"""
"Could not save file: %s","Não foi possível guardar o ficheiro: %s"
"Declared adapter %s not found","Adapter declarado %s não encontrado"
"Destination folder ""%s"" does not exist or not access to create","A pasta de destino ""%s"" não é um directório ou não tem permissão de criação"
"Destination folder ""%s"" is not a directory","A pasta de destino ""%s"" não é um directório"
"Destination folder ""%s"" is not a writeable","A pasta de destino ""%s"" não tem permissão de escrita"
"Done","Feito"
"Dry run set, stopping execution","Limpar e parar execução"
"ETA: %s","Tempo estimado: %s"
"Error field mapping! Fields list for mapping is not defined","Erro ao mapear campo. Lista de Campos não está definida"
"Error occured during file opening: ""%s""","Não foi possível carregar o ficheiro: ""%s"""
"File ""%s"" don't exist","O ficheiro ""%s"" não existe"
"Found %d rows","%d Linhas encontradas"
"Less than a minute","Menos dun minuto"
"Loaded successfully: ""%s""","Carregado com sucesso: ""%s"""
"Memory Used: %s","Memoria utilizada: %s"
"Method ""%s"" not defined in adapter %s","Método ""%s"" não definido no adapter %s"
"Please declare ""adapter"" and ""method"" node first","Por favor declare primeiro o ""adaptar"" e ""methd"""
"Processed records: %s","Rexistros procesados: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Guardado correctamente: ""%s"" [%d byte(s)]"
"Sheet 1","Folla 1"
"Skip undefined row","Ignorar linha indefinida"
"Starting %s :: %s","Comezando %s :: %s"
"Total records: %s","Rexistros totais: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
