"API Login ID","API do ID de usuario"
"Authorize Only","Autorizar só"
"Authorize and Capture","Autorizar e capturar"
"Authorize.net","Authorize.net"
"Credit Card Types","Tipos de tarxeta de crédito"
"Credit Card Verification","Verificación de tarxeta de crédito"
"Debug","Depurar"
"Email customer","Email do cliente"
"Enabled","Activado"
"Error in authorizing the payment","Erro ao autorizar o pagamento"
"Error in capturing the payment","Erro ao proceder ao pagamento"
"Error in payment gateway","Erro ao processar pagamento (no gateway)"
"Error in refunding the payment","Erro ao reembolsar o pagamento"
"Error in refunding the payment.","Erro no reembolso do pagamento."
"Error in retrieving the transaction","Erro ao receber transação"
"Fraud order status","Estado de encomendas Fraudulentas"
"Gateway request error: %s","Erro de pedido ao Gateway: %s"
"Invalid amount for authorization","Montante inválido para autorização"
"Invalid amount for authorization.","O importe non é válido para a autorización."
"Invalid transaction id","Id de transação inválido"
"Maximum Order Total","Total de pedido máximo"
"Merchant Login","Início Sessão Comerciante"
"Merchant's email","Email do Comerciante"
"Minimum Order Total","Total de pedido mínimo"
"New order status","Estado da nova encomenda"
"Partner","Parceiro"
"Password","Palavra-passe"
"Payflow Pro","Payflow Pro"
"Payment Action","Acción de pagamento"
"Payment authorization error.","Erro na autorización de pagamento."
"Payment authorization transaction has been declined.","Rexeitouse a autorización de transacción de pagamento."
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","pagamento permitido aos países"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Ordem Apresentação"
"TENDER","ENCARREGADO"
"Test mode","Modo de Teste"
"Title","Título"
"Transaction key","Chave de Transacção"
"URL","URL"
"Use Proxy","Use Proxy"
"User","Utilizador"
"VERBOSITY","VERBOSITY"
"Voided transaction","Transacção anulada"
