"--Please Select--","--Por favor, seleccione--"
"<label>Make Check payable to:</label> %s","<label>Facer cheque a nome de:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Cheque à ordem de:</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","Não foi possível configurar o método de pagamento com o código: %s"
"Can not retrieve payment info model object.","Não foi possível obter o modelo de objecto para a informação de pagamento"
"Can not retrieve payment method instance","Não foi possível obter a instância do método de pagamento"
"Can not retrieve payment method model object.","Não foi possível obter o objecto do modulo para o método de pagamento"
"Card Verification Number","Número de verificación da tarxeta"
"Check / Money order","Encomenda cheque / Dinheiro"
"Credit Card Number","Número de tarxeta de crédito"
"Credit Card Number: %s","Cartão de Crédito Número: %s"
"Credit Card Number: xxxx-%s","Número de tarxeta de crédito: xxxx-%s"
"Credit Card Type","Tipo de tarxeta de crédito"
"Credit Card Type: %s","Tipo de tarxeta de crédito: %s"
"Credit Card Types","Tipos de tarxeta de crédito"
"Credit Card Verification","Verificação Cartão de Crédito"
"Enabled","Activado"
"Expiration Date","Data de caducidade"
"Expiration Date: %s/%s","Data de caducidade: %s/%s"
"Make Check payable to","Passar Cheque à Ordem de"
"Make Check payable to: %s","Facer un cheque a nome de: %s"
"Maximum Order Total","Total de pedido máximo"
"Minimum Order Total","Total de pedido mínimo"
"Month","Mes"
"Name on Card","Nome na tarxeta"
"Name on the Card: %s","Nome na tarxeta: %s"
"New order status","Estado da nova encomenda"
"Payment Methods","Métodos de pagamento"
"Payment Methods Section","Sección de métodos de pagamento"
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","pagamento permitido aos países"
"Purchase Order Number","Número de pedido de compra"
"Purchase Order Number: %s","Número de pedido de compra: %s"
"Purchase order","Comprar encomenda"
"Saved CC","Gardado da Tarxeta de Crédito"
"Send Check to","Enviar cheque a"
"Send Check to:","Enviar cheque a:"
"Sort order","Ordem Apresentação"
"Title","Título"
"What is this?","Que é isto?"
"Year","Ano"
"Zero Subtotal Checkout","Confirmación de pedido con subtotal cero"
