"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"API Password","Contrasinal da API"
"API Signature","Sinatura da API"
"API User Name","Nome Utilizador API"
"Amex","Amex"
"Authorization","Autorización"
"Authorize and Capture","Autorizar e proceder"
"Billing Information","Información de facturación"
"Business Account","Conta Empresa"
"Business Name","Nome Empresa"
"Card Verification Number","Número de verificação do cartão de crédito"
"Change Payment Method","Cambiar o método de pagamento"
"Change Shipping Address","Cambiar o enderezo de envío"
"Credit Card Number","Número cartão crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Customer returned from PayPal site.","Customer returned from PayPal site."
"Debug Flag","Marcador de depuração"
"Discover","Discover"
"Edit Shopping Cart","Editar carriño da compra"
"Enabled","Activado"
"Error in creating an invoice","Erro ao criar factura"
"Error in refunding the payment","Erro ao reembolsar o pagamento"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data Validade: %s/%s"
"Incl. Tax","Incl. Tax"
"Invalid transaction id","Id de transação inválido"
"Invoice #%s created","Invoice #%s created"
"Issue Number","Número Edição"
"Items in Your Shopping Cart","Elementos no seu carriño de compra"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","Maximum image size is 750x90 px."
"N/A","N/D"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New order status","Estado da nova encomenda"
"No shipping method required.","No shipping method required."
"Order","Pedido"
"Order total amount does not match paypal gross total amount","Total da encomenda nã coincide com o total do Paypal"
"Page Style","Estilo de páxina"
"PayPal Accounts","Contas Paypal"
"PayPal Email","Email Paypal"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Uk Account","Conta Paypal UK"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Direct Payments"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Payment Action","Acción de pagamento"
"Payment Method","Método de pagamento"
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","pagamento permitido aos países"
"Paypal Checkout","Finalizar encomenda com Paypal"
"Paypal IPN Invalid %s.","Paypal IPN Invalid %s."
"Paypal Logo Image URL","Paypal Logo Image URL"
"Paypal URL","Paypal URL"
"Place an Order","Colocar Encomenda"
"Please select a shipping method...","Por favor, seleccione un método de envío..."
"Please select a valid shipping method","Por favor seleccione um método de envio válido"
"Price","Prezo"
"Problem during communication with PayPal","Ocorreu um problema durante a comunicação com Paypal"
"Product Name","Nome do produto"
"Proxy Host","Servidor do Proxy"
"Proxy Port","Porto do Proxy"
"Qty","Ctde"
"Received IPN verification","Verificação IPN recebida"
"Review Order","Revisar pedido"
"Sale","Venda"
"Sandbox Flag","Sandbox Flag"
"Selected currency code (","Seleccionar o código de Moeda"
"Shipping Address","Enderezo de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Sorry, no quotes are available for this order at this time.","Desculpas, neste momento non hai ofertas dispoñibles para este pedido."
"Sort order","Ordem Apresentação"
"Start Date","Data início"
"Submitting order information...","Enviando información de pedido..."
"Subtotal","Sub-total"
"Switch/Solo Only","Apenas Switch/Solo"
"Switch/Solo card issue number: %s","Número de Emissão Cartão Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data de Início para cartão Switch/solo: %s/%s"
"There has been an error processing your payment. Please try later or contact us for help.","Ocorreu um erro ao processar o seu pagamento. Por favor tente mais tarde ou entre em contacto connosco"
"There was an error connecting to the Paypal server: %s","Ocorreu um erro ao conectar ao servidor Paypal: %s"
"There was an error during communication with Paypal: %s - %s","Ocorreu um erro durante a comunicação com o Paypal: %s - %s"
"Title","Título"
"Transaction Type","Tipo Transacção"
"Type","Tipo"
"Unknown PayPal API error: %s","Erro de API Paypal desconhecido: %s"
"Update Shipping Method","Actualizar método de envío"
"Use Proxy","Usar proxy"
"Visa","Visa"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro and Express Checkout (API Signature)"
"Website Payments Standard","Website Payments Standard"
"What is this?","O que é isto?"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal UK website","O seu endereço de facturação será ignorado e será redireccionado para o site da Paypal UK"
