"All Websites","Todos os sitios web"
"Apply Percent Discounts To FPT","Apply Percent Discounts To FPT"
"Apply Tax To FPT","Aplicar impostos a FPT"
"Display Prices In Emails","Mostrar prezos nos correos"
"Display Prices In Product Lists","Mostrar prezos nas listas de produto"
"Display Prices In Sales Modules","Mostrar prezos nos módulos de vendas"
"Display Prices On Product View Page","Mostrar prezos nas páxinas de visualización de produto"
"Enable FPT","Activar FPT"
"Excluding FPT","Excluíndo FPT"
"Excluding FPT, FPT description, final price","Excluíndo FPT, descrición FPT, prezo final"
"Fixed Product Tax","Imposto do produto fixo"
"Fixed Product Taxes","Impostos do produto fixos"
"Include FPT In Subtotal","Incluír FPT no Subtotal"
"Including FPT and FPT description [excl. FPT VAT]","Including FPT and FPT description [excl. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","Incluído FPT e descrición FPT [incl. FPT IVE]"
"Including FPT only","Incluído só FPT"
"Total","Total"
"Total incl. tax","Total impostos incluídos"
