"%s and greater","%s ויותר"
"Advanced Search","חיפוש מתקדם"
"All","הכל"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","צור אוטומטית את מפת האתר"
"Catalog Advanced Search","חיפוש מתקדם בקטלוג"
"Catalog Search","חיפוש בקטלוג"
"Don't see what you're looking for?","לא מוצא מה שאתה מחפש?"
"Go","עבור"
"Go to Home Page","חזור לדף ראשי"
"Grid","רשת"
"Home","ראשי"
"List","רשימה"
"Maximum Query Length","אורך מקסימלי לשאילה"
"Maximum Query Words Count","מספר מילים מקסימלי בשאילתה"
"Maximum Search query  length is %s. Your query was cut.","מספר מילים מקסימלי בחיפוש הוא %s. השאילה שלך נחתכה."
"Minimal Query Length","אורך מינימלי של שאילתה"
"Modify your search","התאם את החיפוש שלך"
"No","לא"
"No items were found using the following search criteria.","לא נמצאו תוצאות חיפוש מתאימות לקריטריונים שנבחרו"
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","מונחי חיפוש פופלריים"
"Popular search terms","מונחי חיפוש פופלריים"
"Relevance","רלוונטיות"
"Required Fields","דשות חובה"
"Results","תוצאות"
"Search","חיפוש"
"Search Settings","הגדרות חיפוש"
"Search Site","חיפוש באתר"
"Search Terms","מילות חיפוש"
"Search Type","סוג חיפוש"
"Search entire store here...","חפש בכל החנות כאן..."
"Search results for '%s'","תוצאות חיפוש עבור '%s'"
"Search results for: '%s'","תוצאות חיפוש עבור: '%s'"
"Subscribe to Feed","הרשם ל- Feed"
"There are no search terms available.","אין מונחי חיפוש זמינים"
"Yes","כן"
"You have to specify at least one search term","You have to specify at least one search term"
"Your search returns no results.","אין תוצאות לשאילתת חיפוש שלך"
"up to %s","עד ל %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d פריט(ים)</strong> נמצאו בחיפוש בקריטריונין"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
