"Attempt to add an invalid object","ניסיון להוסיף אובייקט שגוי"
"Attribute '%s' used in configurable products.","תכונה '%s' בשימוש במוצרים מורכבים."
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Attribute used in configurable products.","תכונה בשימוש במוצרים מורכבים."
"Attribute with the same code","מאפיין עם אותו קוד"
"Data integrity: No header row found for attribute","תקינות נתונים: לא נמצאה שורת כותרות לתכונה"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","ערך ברירת מחדל לא מוגדר"
"EAV types and attributes","EAV types and attributes"
"Entity collection expected","מצפה לאוסף ישויות"
"Entity collections expected","Entity collections expected"
"Entity is not initialized","Entity is not initialized"
"Failed to load node %s from config.","שגיאה בטעינת  node %s מההגדרות."
"Frontend label is not defined","תווית צד קדמי לא מוגדרת"
"Invalid alias, already exists in joined attributes","Invalid alias, already exists in joined attributes"
"Invalid attribute name: %s","שם מאפיין לא תקני %s"
"Invalid attribute requested: %s","בקשה לא תקנית למאפיין %s"
"Invalid attribute type","סוג מאפיין לא תקני"
"Invalid character encountered in increment ID: %s","תווים לא תקינים בקוד תוספת: %s"
"Invalid data object key","Invalid data object key"
"Invalid entity specified","צוינה יישות לא תקינה"
"Invalid entity supplied","Invalid entity supplied"
"Invalid entity supplied: %s","Invalid entity supplied: %s"
"Invalid entity type","Invalid entity type"
"Invalid entity_id, skipping the record","Invalid entity_id, skipping the record"
"Invalid entity_type specified: %s","צוין סוג יישות לא תקין: %s"
"Invalid foreign key","Invalid foreign key"
"Invalid joined fields","Invalid joined fields"
"Invalid store specified","צוינה חנות שגויה"
"Joined field or attribute expression with this alias is already declared","Joined field or attribute expression with this alias is already declared"
"Joined field with this alias (%s) is already declared","Joined field with this alias (%s) is already declared"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"Loaded %d records","%d רשומות נטענו"
"No","לא"
"No options found in config node %s","לא נמצאו אפשרויות בהגדרות node %s"
"Problem loading a record, aborting. Error: %s","Problem loading a record, aborting. Error: %s"
"Problem loading the collection, aborting. Error: %s","שגיאה בטעינת אוסף, מבטל. שגיאה: %s"
"Problem saving a record, aborting. Error: ","Problem saving a record, aborting. Error: "
"Problem saving the collection, aborting. Error: %s","בעייה בשמירת אוסף, מבטל פעולה. שגיאה: %s"
"Saved ","נשמר"
"Scope must not be changed, because the attribute is used in configurable products.","המרחב חייב להיות שונה, התכונה משמשת להתאים מוצרים"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Unknown parameter","פרמטר לא ידוע"
"Valid store_id is expected!","Valid store_id is expected!"
"Value of attribute ""%s"" must be unique","הערך של מאפיין ""%s"" חייב להיות ייחודי"
"Wrong attribute ID","קוד מאפיין שגוי"
"Wrong attribute group ID","מזהה ID קבוצת מאפיינים שגוי "
"Wrong attribute set ID","קוד סט מאפיינים שגוי"
"Wrong entity ID","Wrong entity ID"
"Yes","כן"
