" The customer doesn't exist in the system anymore"," Kupac više ne postoji u sustavu"
" and "," and "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Apsolutna ili relativna putanja u odnosu na Magento instalacijski direktorij npr. var/export)"
"(For US 2-letter state names)","(Za SAD 2–slovna imena država)"
"(If left empty will be auto-generated)","(Ako se ostavi prazno popunit će se automatski)"
"(Leave empty for first spreadsheet)","(Ostavite prazno za prvu proračunsku tablicu)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Artikli će biti dodani/nadopunjeni u ovu trgovinu ako je stupac “trgovine” prazan ili nedostaje u unesenom dokumentu.)"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(Starting with)","(Počni s)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Kada je izabrano 'Ne', bit će unesena samo mapirana polja . Prilikom mapiranja, koristite 'stupac1', 'stupac2', itd.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\t for tab)","(\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - If indexing is in progress, it will be killed and new indexing process will start"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Please Select --","-- Izaberite --"
"-- Please select --","-- Please select --"
"-- Please select a category --","-- Izaberite kategoriju --"
"--Please Select--","--Izaberite--"
"1 Hour","1 Hour"
"12 Hours","12 Hours"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Hours"
"24 Hours","24 Hours"
"24h","24h"
"2YTD","Zadnje dvije poslovne godine"
"6 Hours","6 Hours"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Stranica ne postoji.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Zabranjen pristup</h1><p>Zabranjen pristup.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","A new password was sent to your email address. Please check your email and click Back to Login."
"API Stability","API stabilnost"
"API Version","API verzija"
"API:","API:"
"About the calendar","About the calendar"
"Access Denied.","Pristup zabranjen."
"Access Deny","Zabranjen pristup"
"Account Created in:","Korisnički račun kreiran u:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created on:","Korsinički račun kreiran na:"
"Account Information","Informacije o korisničkom računu"
"Account status","Status korisničkog računa"
"Account successfully saved","Korisnički račun uspješno spremljen"
"Action","Akcija"
"Actions","Akcije"
"Actions XML","XML akcije"
