"# of Use","# korištenja"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s Artikala"
"(Copy data from: %s)","(Kopiraj podatke iz: %)"
"(Will make search for the query above return results for this search.)","(Will make search for the query above return results for this search.)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Molim odaberite --"
"A name is required","Obavezno upisati ime"
"ALL GROUPS","SVE GRUPE"
"AM","AM"
"Action","Akcija"
"Add Attribute","Dodaj atribut"
"Add Design Change","Dodaj promjene dizajna"
"Add Group","Dodaj grupu"
"Add Items to Cart","Dodaj artikle u košaricu"
"Add New","Dodaj novi"
"Add New Attribute","Dodaj novi atribut"
"Add New Attribute Set","Dodaj novi set atributa"
"Add New Group","Dodaj novu grupu"
"Add New Images","Dodaj nove slike"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Dodaj novi pojam za pretraživanje"
"Add New Set","Dodaj novi set"
"Add Option","Dodaj opciju"
"Add Product","Dodaj proizvod"
"Add Product To Websites","Dodaj proizvod na web stranice"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Dodaj uvjet"
"Add to Cart","Dodaj u košaricu"
"Add to Compare","Dodaj za usporedbu"
"Add to My Wishlist","Dodaj u moju listu želja"
"Add to Wishlist","Dodaj u listu želja"
"Additional Information","Dodatne informacije"
"All","Sve"
"All Product Types","Svi tipovi proizvoda"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","Primjeni na"
"Apply To Configurable/Grouped Product","Primjeni na konfigurabilne/grupirane proizvode"
"Approved","Odobreno"
"Are you sure you want to delete this category?","Jeste li sigurni da želite obrisati ovu kategoriju?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Jeste li sigurni da želite obrisati ovaj proizvod s usporedne liste?"
"Are you sure?","Jeste li sigurni?"
"As low as:","Već po:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Pridijeljeni proizvodi"
"Attrib. Set Name","Ime seta atributa"
"Attribute Code","Kod atributa"
"Attribute Information","Podaci o atributu"
"Attribute Label","Labela atributa"
"Attribute Model","Model atributa"
"Attribute Name:","Naziv atributa:"
"Attribute Properties","Svojstva atributa"
"Attribute Set","Set atributa"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Model atributa nije definiran"
"Attribute with the same code already exists","Atribut s istim kodom već postoji"
"Attributes","Atributi"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Aurogeneriranje"
"Availability","Availability"
"Availability: In stock.","Dostupnost: na skladištu"
"Availability: Out of stock.","Dostupnost: nema na skladištu"
"Back","Natrag"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Backorders","Narudžbe na čekanju"
"Base directory to upload image file is not specified","Osnovni direktorij za slanje slika nije definiran"
"Based On","Na osnovu"
"Best Value","najpovoljnijem"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Dolje / lijevo"
"Bottom/Right","Dolje / desno"
"Browse By","Pregledaj po"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Can be used only with catalog input type Dropdown","Može se koristiti samo uz tip ""Dropdown"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Može se koristiti samo uz tip ""Dropdown"", ""Multiple Select"" i ""Price"""
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Atribut artikla u košarici"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Tip podatka (za vlasnika trgovine)"
"Catalog Price Scope","Doseg kataloških cijena"
"Catalog Section","Catalog Section"
"Catalog, Search","Katalog, pretraživanje"
"Categories","Kategorije"
"Categories Sitemap","Categories Sitemap"
"Category","Kategorija"
"Category API","Category API"
"Category Data","Podaci kategorije"
"Category Navigation:","Category Navigation:"
"Category Products","Proizvodi ove kategorije"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Greška pri brisanju kategorije"
"Category deleted","Kategorija obrisana"
"Category move error","Greška pri pomicanju kategorije"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Kategorija spremljena"
"Change","Promijeni"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Promijeni status"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Odaberite opciju..."
"Choose option...","Odaberite opciju..."
"Clear All","Clear All"
"Clear All Items","Obriši sve artikle"
"Close Window","Zatvori prozor"
"Collapse All","Collapse All"
"Comparable","Usporedivo"
"Comparable on Front-end","Usporedivo na vanjskom sučelju"
"Compare Items","Usporedi artikle"
"Compare Products","Usporedba proizvoda"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Usporedba proizvoda - %d artikala"
"Compare Products List","Usporedna lista proizvoda"
"Compare list successfully cleared","Usporedna lista je uspješno obrisana"
"Conditions Combination","Kombinacija uvjeta"
"Configurable Product","Konfigurabilni proizvod"
"Configurable Product Settings","Postavke konfigurabilnih proizvoda"
"Continue","Nastavi"
"Copy From Configurable","Kopiraj iz konfigurabilnih"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Napravi prazan"
"Create Product Settings","Kreiraj postavke proizvoda"
"Create Simple Associated Product","Kreiraj jednostavni pridruženi proizvod"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","Cross-sells"
"Currently Shopping by","Trenutno prikazano po"
"Custom Design","Prilagođeni dizajn"
"Custom Options","Custom Options"
"Customer Group","Grupa kupaca"
"Customers Reviews","Recenzije kupaca"
"Customers Tagged Product","Proizvodi s oznakama kupaca"
"Customers for alert %s was successfuly added to queue","Customers for alert %s was successfuly added to queue"
"Data Type for Saving in Database","Tip podataka za spremanje u bazu"
"Date","Datum"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Datum prijave"
"Date fields order","Date fields order"
"Datetime","Datetime"
"Decimal","Decimalni broj"
"Decimal Number","Decimalni broj"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Qty","Standardna količina"
"Default Values","Standardne vrijednosti"
"Default price","Standardna cijena"
"Default value","Standardna vrijednost"
"Delete","Obriši"
"Delete Attribute","Obriši atribut"
"Delete Attribute Set","Obriši set atributa"
"Delete Category","Obriši kategoriju"
"Delete Option","Obriši opciju"
"Delete Row","Delete Row"
"Delete Search","Obriši pretraživanje"
"Delete Selected Group","Obriši odabranu grupu"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","Dizajn"
"Disabled","Onemogućeno"
"Display in Suggested Terms","Prikaži u predloženim uvjetima"
"Double click on a group to rename it","Dvostruko kliknite na grupu da bi ste je preimenovali"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Dropdown","Padajući"
"Duplicate","Iskopiraj"
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","Ažuriraj"
"Edit Attribute Set '%s'","Ažuriraj set atributa '%s'"
"Edit Product Attribute","Ažuriraj atribute proizvoda"
"Edit Product Attribute ""%s""","Ažuriraj atribute proizvoda ""%s"""
"Edit Search","Ažuriraj pretraživanje"
"Edit Search '%s'","Ažuriraj pretraživanje '%s'"
"Email","e-mail"
"Email to a Friend","Preporučite prijatelju"
"Empty","Prazno"
"Enabled","Omogućeno"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Error while adding customers for %s alert. Message: %s","Greška prilikom dodavanja kupaca za %s upozorenje. Poruka: %s"
"Error while saving this group. Group with the same name already exists.","Greška prilikom snimanja ove grupe. Grupa s istim imenom već postoji."
"Error while saving this group. Please try again later.","Greška pri spremanju ove grupe. Molimo pokušajte opet kasnije."
"Exclude","Izostavi"
"Expand All","Expand All"
"Failed","Neuspjelo"
"Failed to move file: %s","Neuspjelo prebacivanje datoteke: %s"
"Feature Products","Predloženi proizvodi"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Filter model name must be declared"
"Filter must be as object. Set correct filter please","Filter must be as object. Set correct filter please"
