"Actions","Akcije"
"Active","Aktivno"
"Add New Rule","Dodaj novo pravilo"
"Apply Rules","Izvrši pravilo"
"Attribute Set","Set atributa"
"Catalog","Katalog"
"Catalog Price Rule","Pravilo za određivanje cijene u katalogu"
"Catalog Price Rules","Pravilo za određivanje cijena u katalogu"
"Category","Kategorija"
"Comments History","Povijest komentara"
"Conditions","Uvjeti"
"Conditions (leave blank for all products)","Uvjeti (ostavi prazno za sve proizvode)"
"Conditions Combination","Kombinacije uvjeta"
"Credit Memos","Kreditna pisma"
"Customer Groups","Grupe korisnika"
"Customer is new buyer: %s","Korisnik je novi kupac: %s"
"Customer registered: %s","Kupac registriran: %s"
"Date Expire","Datum isteka"
"Date From","Datum od"
"Date Start","Datum startao"
"Date To","Date To"
"Delete Rule","Obriši pravilo"
"Description","Objašnjenje"
"Description: %s","Objašnjenje: %s"
"Edit Rule","Uredi pravilo"
"Edit Rule '%s'","Uredi pravilo '%s'"
"Expire at: %s","Ističe: %s"
"From Date","Od datuma"
"General Information","Općenite informacije"
"Gift Messages","Gift Messages"
"ID","ID"
"Inactive","Neaktivan"
"Invoices","Računi"
"NOT LOGGED IN","NISTE LOGIRANI"
"Name: %s","Ime: %s"
"New Rule","Novo pravilo"
"No","Neaktivan"
"Options","Opcije"
"Order Credit Memos","Opcije kreditnih pisma"
"Order Gift Messages","Order Gift Messages"
"Order History","Povijest narudžbi"
"Order Invoices","Računi narudžbi"
"Order Shipments","Pošiljke narudžbi"
"Priority","Prioritet"
"Product Attribute","Atribut artikla"
"Promotions","Promocije"
"Rule Information","Informacije o pravilu"
"Rule Name","Ime pravila"
"Rule was successfully deleted","Pravilo je uspješno obrisano"
"Rule was successfully saved","Pravilo je uspješno spremljeno"
"Rules were successfully applied","Pravilo je uspješno primjenjeno"
"Save Rule","Pravilo spremljeno"
"Save and Apply","Spremi i primjeni"
"Shipments","dostave"
"Start at: %s","Počinje od: %s"
"Status","Status"
"Stop further rules processing","Prekini izvršavanje ostalih pravila"
"The page you are trying to save no longer exists","Stranica koju želite spremiti više ne postoji"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Ovo pravilo više ne postoji"
"To Date","Do datuma"
"Unable to apply rules","Nemoguće primjeniti pravila"
"Unable to find a page to delete","Nemoguće naći stranicu "
"Update product's %s %s: %s","Dopuni artikle %s %s: %s"
"Websites","Internet stranice"
"Yes","Da"
