"-- Please select --","-- Molim odaberite --"
"Allowed currencies","Dopuštene valute"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Ne mogu dohvatiti stopu iz %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Nastavite &raquo;"
"Country","Zemlja"
"Country Api","Country Api"
"Country and Format Type combination should be unique","Kombinacije zemlje i tipa formata mora biti jedinstvena"
"Currency","Valuta"
"Currency Options","Opcije valute"
"Currency Setup","Postavke valute"
"Currency Update Warnings","Upozorenja kod ažuriranja valute"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Osnovni prikaz valute"
"Directory","Directory"
"Enabled","Omogućeno"
"Error Email Recipient","Greška na email primatelju"
"Error Email Sender","Greška na email pošiljatelju"
"Error Email Template","Greška na email predlošku"
"FATAL ERROR:","FATALNA GREŠKA:"
"Frequency","Učestalost"
"Installed Currencies","Instalirane valute"
"Invalid Import Service Specified","Krivo je postavljen uvozni servis"
"Invalid country code: %s","Neispravan kod zemlje: %s"
"Invalid rates received","Primljene su neispravne tečajne liste"
"Invalid target currency","Neispravna ciljna valuta"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Isplanirane uvozne postavke"
"Select Your Currency","Odaberite vašu valutu"
"Service","Usluga"
"Start Time","Početno vrijeme"
"State/Province","Regija"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Ne mogu inicijalizirati uvozni model"
"Undefined rate from ""%s-%s""","Nedefinirana stupa u ""%s-%s"""
"WARNING:","UPOZORENJE:"
"Webservicex","Webservicex"
"Your current currency is: %s","Vaša trenutna valuta je: %s"
