"ALL","SVE"
"ANY","BILO KOJI"
"Add","Dodaj"
"Apply","Potvrdi"
"Description: %s","Opis: %s"
"Expire at: %s","Ističe u: %s"
"FALSE","NETOČNO"
"If %s of these conditions are %s:","Ako je %s od tih uvjeta %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Ime: %s"
"Open Chooser","Open Chooser"
"Perform following actions","Izvedi slijedeće akcije"
"Please choose a condition to add...","Molim odaberite uvjet za dodavanje..."
"Please choose an action to add...","Molim odaberite akciju za dodavanja..."
"Remove","Uklonite"
"Start at: %s","Počni od: %s"
"TRUE","TOČNO"
"by","po"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","je"
"is not","nije"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","to"
