"Action","Action"
"Add Sitemap","Dodaj mapu web-a"
"Always","Uvijek"
"CMS Pages Options","CMS opcije"
"Categories Options","Opcije kategorija"
"Daily","Dnevno"
"Edit Sitemap","Edit Sitemap"
"Enabled","Omogućeno"
"Error Email Recipient","Primatelj emaila o grešci"
"Error Email Sender","Pošiljatelj emaila o grešci"
"Error Email Template","Predložak emaila o grešci"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","Ime datoteke"
"Frequency","Učestalost"
"Generate","Generate"
"Generation Settings","Postavke za generiranje"
"Google Sitemap","Google Sitemap"
"Google Sitemap Section","Google Sitemap Section"
"Hourly","Svaki sat"
"ID","ID"
"Last Time Generated","Zadnji put generirano"
"Link for Google","Link za Google"
"Monthly","Mjesečno"
"Never","Nikad"
"New Sitemap","Nova mapa weba"
"Path","Putanja"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","Prioritet"
"Priority must be between 0 and 1","Prioritet mora biti između 0 i 1"
"Products Options","Opcije proizvoda"
"Sitemap","Mapa weba"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Sitemap generate Warnings","Upozorenja u vezi mape weba"
"Sitemap was successfully deleted","Mapa weba je uspješno obrisana"
"Sitemap was successfully saved","Mapa weba je uspješno spremljena"
"Start Time","Početak"
"Store View","Izlog"
"This sitemap no longer exists","Ova mapa weba više ne postoji"
"Unable to find a sitemap to delete","Ne mogu pronaći mapu weba za brisanje"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"Weekly","Tjedno"
"Yearly","Godišnje"
