"# of Uses","# korištenja"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Akcija"
"Actions","Akcije"
"Add New Tag","Dodajte novu oznaku"
"Add Tags","Dodajte oznake"
"Add Your Tags:","Dodajte vaše oznake:"
"Add to Cart","Dodajte u košaricu"
"Add to Wishlist","Dodajte na listu želja"
"All Tags","Sve oznake"
"Approved","Odobreno"
"Are you sure that you want to delete this tag?","Jeste li sigurni da želite obrisati ovu oznaku?"
"Are you sure you want to delete this tag?","Sigurno želite obrisati ovu oznaku?"
"Are you sure you want to do this?","Sigurno to želite učiniti?"
"Are you sure?","Jeste li sigurni?"
"Back","Natrag"
"Back to Tags List","Natrag na listu oznaka"
"Back to view Tag","Natrag na pregled oznaka"
"Block Information","Bliokiraj informaciju"
"CSV","CSV"
"Change status","Promijeni status"
"Click on a tag to view your corresponding products.","Kliknite na oznaku da vidite odgovarajući proizvod"
"Country","Zemlja"
"Customer Since","Kupac od"
"Customers","Kupci"
"Customers Tagged '%s'","Označeno od kupca '%s'"
"Delete","Obriši"
"Delete Tag","Obriši oznaku"
"Disabled","Onemogućeno"
"Edit Tag","Ažuriraj oznaku"
"Edit Tag '%s'","Ažuriraj oznaku '%s'"
"Email","Email"
"First Name","Ime"
"General Information","Opće informacije"
"Grid","Tablično"
"ID","ID"
"Last Name","Prezime"
"List","Redno"
"My Recent Tags","Moje nedavne oznake"
"My Tags","Moje oznake"
"Name","Naziv"
"New Tag","Nova oznaka"
"No matches found.","Nije pronađeno."
"Other people marked this product with these tags:","Drugi ljudi su označili ovaj proizvod sa slijedećim oznakama:"
"Pending","U tijeku"
"Pending Tags","Oznake u tijeku"
"Popular","Popularno"
"Popular Tags","Popularne oznake"
"Popularity","Popularnost"
"Price","Cijena"
"Product Name","Naziv proizvoda"
"Product SKU","SKU proizvoda"
"Product Tags","oznake proizvoda"
"Products","Proizvodi"
"Products Tagged with '%s'","Proizvodi označeni sa '%s'"
"Products tagged with '%s'","Proizvodi označeni sa '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Proizvodi označeni sa '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Spremi oznaku"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Traži rezultate za '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Status"
"Tag","Oznaka"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Podaci o oznaci"
"Tag Name","Naziv oznake"
"Tag Name: %s","Naziv oznake: %s"
"Tag can't be empty.","Oznaka nemože biti prazna."
"Tagged in","Označeno u"
"Tags","Oznake"
"Tags Aren't Available","Oznake nisu dostupne"
"Tags:","Oznake:"
"Telephone","Telefon"
"Thank you. Your tag has been accepted for moderation.","Zahvaljujemo. Vaše oznake su prihvaćene za provjeru."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Nije moguće obrisati oznaku. Molimo Vas da pokušate kasnije."
"Unable to save tag(s)","Nije moguće spremiti oznaku."
"Unable to save your tag. Please, try again later.","Nije moguće spremiti vašu oznaku. Molimo Vas da pokušate kasnije."
"Use spaces to separate tags. Use single quotes (') for phrases.","Korisnite razmaknicu za odvajanje oznaka. Koristite jednostruke navodnike ('') za izraze."
"Uses","Korištenja"
"View All","Pregledaj sve"
"View All Tags","Pregledaj sve oznake"
"View Customers","Pregledaj kupce"
"View Products","Pregledaj proizvode"
"Visible In","Vidljivo u"
"XML","XML"
"You have not tagged any products yet.","Niste označiti još niti jedan proizvod"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Poštanski broj"
"You have not tagged any products yet.","You have not tagged any products yet."
