"--Select--","--Válasszon--"
"Add New Option","Új beállítás hozzáadása"
"Add Selection","Új választás"
"As low as","Akár"
"Bundle Items","Kötegelt termékek"
"Bundle Product","Kötegelt termék"
"Buy %1$s with %2$s discount each","Vegyen %1$s és %2$s -t együtt jobb áron."
"Checkbox","Checkbox"
"Choose a selection...","Válasszon egyet..."
"Close","Bezár"
"Default","Alapértelmezett"
"Default Qty","Alapértelmezett Mennyiség"
"Default Title","Alapértelmezett cím"
"Drop-down","Legördülő"
"Dynamic","Dinamikus"
"Excl. Tax","Áfa nélkül"
"Fixed","Fix"
"From","Innen"
"From:","Innen:"
"Gift Message","Üzenet"
"Incl. Tax","Áfával"
"Input Type","Választás típusa"
"Is Required","Kötelező"
"Message:","Üzenet:"
"Multiple Select","Többszörös választás"
"N/A","N/A"
"No options of this product are available.","Nincsenek választható opciók."
"None","Egy sem"
"Percent","Százalék"
"Percent Discount","Százalékos engedmény"
"Please enter search conditions to view products.","Adja meg a keresési kondíciókat a termék megtekintéséhez."
"Please select options for product.","Válassza ki a termékhez beállításokat."
"Please select products to add","Válassza ki a hozzáadni kívánt termékeket"
"Please specify product option(s)","Adja meg a termék opciókat"
"Position","Pozíció"
"Price Range","Ár hatókör"
"Price Type","Ár típusa"
"Price as configured","Beállított ár"
"Qty:","Mennyiség:"
"Radio Buttons","Rádiógombok"
"Required options not selected.","Kötelező beállítások nincsenek kiválaszva."
"Selected required options not available.","Kiválasztott kötelező beállítás nem elérhető."
"Separately","Elkülönítve"
"Ship Bundle Items","Kötegelt elemek szállítása"
"Shipment","Szállítás"
"Store View Title","Bolt nézet neve"
"There is no defined renderer for ""%s"" option type","Nincs beállított leképezés a ""%s"" beállítási típusra"
"This product is also part of bundle(s)","Ez a termék már szintén része köteg(ek)nek"
"To","Címzett"
"To:","Címzett:"
"Together","Együtt"
"User Defined Qty","Beállított mennyiség"
