"Attempt to add an invalid object","Érvénytelen objektum hozzáadási kisérlet"
"Attribute '%s' used in configurable products.","Jellemző '%s' használatban a konfigurálható termékeknél."
"Attribute set with the ""%s"" name already exists","Jellemző csoport ""%s"" neve már létezik"
"Attribute used in configurable products.","Jellemző használatban a konfigurálható termékeknél."
"Attribute with the same code","Jellemző ugyan azzal a kóddal"
"Data integrity: No header row found for attribute","Adat integritás: Nincs fejléc sor a jellemző számára"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","Alapértelmezett beállítás érték nincs meghatározva"
"EAV types and attributes","EAV típusok és jellemzők"
"Entity collection expected","Várt egyed jellemző"
"Entity collections expected","Várt egyed jellemzők"
"Entity is not initialized","Egyed nincs definiálva"
"Failed to load node %s from config.","Csomópont %s betöltése sikertelen."
"Frontend label is not defined","Bolt nézet elnevezés nincs beállítva"
"Invalid alias, already exists in joined attributes","Érvénytelen azonosító, már létezik a csatolt jellemzőkben"
"Invalid attribute name: %s","Érvénytelen jellemző név: %s"
"Invalid attribute requested: %s","Érvénytelen jellemző igény: %s"
"Invalid attribute type","Érvénytelen jellemző típus"
"Invalid character encountered in increment ID: %s","Érvénytelen karakter található az 'increment ID'-ben: %s"
"Invalid data object key","Érvénytelen 'data object key'"
"Invalid entity specified","Érvénytelen egyed meghatározás"
"Invalid entity supplied","Érvénytelen egyed meghatározás"
"Invalid entity supplied: %s","Érvénytelen egyed meghatározás: %s"
"Invalid entity type","Érvénytelen egyed típus"
"Invalid entity_id, skipping the record","Érvénytelen entity_id, rekord átugrása"
"Invalid entity_type specified: %s","Érvénytelen entity_type : %s"
"Invalid foreign key","Érvénytelen 'foreign key'"
"Invalid joined fields","Érvénytelen csatolt mezők"
"Invalid store specified","Érvénytelen bolt meghatározás"
"Joined field or attribute expression with this alias is already declared","Csatlakozó mező vagy jellemző kifejezés ezzel a névvel már deklarálva"
"Joined field with this alias (%s) is already declared","Csatlakozó mező ezzel a névvel (%s) már deklarálva"
"Joined field with this alias is already declared","Csatlakozó mező ezzel a névvel már deklarálva"
"Loaded %d records","%d rekord betöltve"
"No","Nem"
"No options found in config node %s","Nem található beállítás a konfigurációs csomopontban %s"
"Problem loading a record, aborting. Error: %s","Probléma a rekord betöltésekor. Hiba: %s"
"Problem loading the collection, aborting. Error: %s","Probléma a kollekció betöltésekor, kilépés. Hiba: %s"
"Problem saving a record, aborting. Error: ","Probléma a rekord mentésekor. Hiba: "
"Problem saving the collection, aborting. Error: %s","Probléma a kollekció mentésekor, kilépés. Hiba: %s"
"Saved ","Mentve "
"Scope must not be changed, because the attribute is used in configurable products.","Hatókört nem változhat, mert a jellemző használatban van a konfigurálható termékekben."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","A jellemző kód '%s' fenntartva a rendszer számára. Kérem használjon más jellemző kódot."
"Unknown parameter","Ismeretlen paraméter"
"Valid store_id is expected!","Valós store_id!"
"Value of attribute ""%s"" must be unique","A jellemző értéke ""%s"" egyedi legyen"
"Wrong attribute ID","Hibás jellemző ID"
"Wrong attribute group ID","Hibás jellemző csoport ID"
"Wrong attribute set ID","Hibás jellemző csoport ID"
"Wrong entity ID","Hibás 'entity' ID"
"Yes","Igen"
