" The customer doesn't exist in the system anymore"," A vevő törölve a rendszerből"
"""%s"" coupon code is not valid.","""%s"" kupom kód nem érvényes."
"%s / %s rate:","%s / %s arány:"
"%s for %s","%s / %s"
"%s order(s) successfully canceled","%s rendelés sikeresen törölve"
"%s order(s) successfully put on hold","%s rendelés sikeresen tartva állapotba téve"
"%s order(s) successfully released from holding status","%s rendelés sikeresen kivéve tartva állapotból"
"* - Enter custom price excluding tax","* - Adja meg az egyedi áfa nélküli árat"
"* - Enter custom price including tax","* - Adja meg az egyedi áfás árat"
"About This Order:","Erről a rendeléről:"
"About Your Order","Az Ön rendeléséről"
"Account Information","Személyes adatlap"
"Action","Művelet"
"Actions","Műveletek"
"Add","Hozzáad"
"Add Gift Messsage","Üzenet hozzáadása"
"Add New Address","Új cím felvitele"
"Add Order Comments","Megjegyzés hozzáadása a rendeléshez"
"Add Products","Termékek hozzáadása"
"Add Selected Product(s) to Option","Kiválasztott termékek hozzáadása az opcióhoz"
"Add Selected Product(s) to Order","Kiválasztott termékek hozzáadása a rendeléshez"
"Add To Order","Rendeléshez ad"
"Add Tracking Number","Követőkód hozzáadása"
"Add a gift message for <strong>each gift item</strong>","Üzenet hozzáadása <strong>minden egyes tételhez</strong>"
"Add a gift message for the <strong>entire order</strong>","Üzenet hozzáadása <strong>az egész rendeléshez</strong>"
"Add comment to order","Üzenet hozzáadása a rendeléshez"
"Add new comment to shipment","Új megjegyzés a szállításhoz"
"Add new tracking number","Új követő kód hozzáadása"
"Add to Cart","Kosárba"
"Address","Cím"
"Adjustment Fee","Módosítás költsége"
"Adjustment Fee:","Módosítás költsége:"
"Adjustment Refund","Módosítás visszatérítés"
"Adjustment Refund:","Módosítás visszatérítés:"
"Allow Reorder","Újrarendelés engedélyezése"
"Amount","Összeg"
"Append Comments","Hozzászólás csatolása"
"Apply","Elfogad"
"Apply Coupon Code","Kupon kód érvényesítés"
"Are you sure you want to cancel this order?","Biztosan törölni kívánja ezt a rendelést?"
"Are you sure?","Biztos benne?"
"Are you sure? This order will be cancelled and a new one will be created instead","Biztos benne? Ez a rendelés törölve lesz és egy új fog készülni helyette"
"Back to My Orders","Vissza a rendeléseimhez"
