"Add Recipient","Új címzett"
"Allow for Guests","Vendégek számára is elérhető"
"Email Address","E-mail cím"
"Email Address:","E-mail cím:"
"Email templates","E-mail sablon"
"Email to a Friend","E-mail küldése barátoknak"
"Email:","E-mail:"
"Enabled","Engedélyezve"
"Limit Sending By","Limitál küldés"
"Link to a friend was sent.","A linket elküldtük a barátoknak."
"Max Products Sent in 1 Hour","Maximum 1 termék küldhető óránként"
"Max Recipients","Maximális címzettek"
"Maximum %d email addresses allowed.","Maximum %d e-mail cím engedélyezett."
"Message:","Üzenet:"
"Name","Név"
"Name:","Név:"
"Recipient:","Címzett:"
"Remove Email","E-mail törlése"
"Select email template","Válasszon e-mail sablont"
"Send email","E-mail küldése"
"Send product to a friend","Termék küldése barátoknak"
"Sender:","Küldő:"
"Some emails was not sent","Néhány e-mail nem lett elküldve"
"Some problems with data.","Probléma az adatokkal."
"You cannot email this product to a friend","Ezt a terméket nem lehet elküldeni barátoknak"
"You cannot send more than %d times in an hour","Nem küldhet több üzenetet mint %d egy órán belül"
