"All Websites","Összes weboldal"
"Apply Percent Discounts To FPT","Százalékos engedmények az FPT-re"
"Apply Tax To FPT","Áfa érvényesítése FPT-re"
"Display Prices In Emails","Árak mutatása az e-mailekben"
"Display Prices In Product Lists","Árak mutatása a termék listázásnál"
"Display Prices In Sales Modules","Árak mutatása az értékesítési modulokban"
"Display Prices On Product View Page","Árak mutatása a termék nézet oldalon"
"Enable FPT","FPT engedélyezése"
"Excluding FPT","FPT nélkül"
"Excluding FPT, FPT description, final price","FPT-vel, FPT leírás, végső ár"
"Fixed Product Tax","Fix Termék Adó(FPT)"
"Fixed Product Taxes","Fix Termék Adók(FPT)"
"Include FPT In Subtotal","FPT hozzáadása a végösszeghez"
"Including FPT and FPT description [excl. FPT VAT]","FPT-vel és FPT leírás [kiv. FPT VAT]"
"Including FPT and FPT description [incl. FPT VAT]","FPT-vel és FPT leírás [és FPT VAT]"
"Including FPT only","csak FPT"
"Total","Végösszeg"
"Total incl. tax","Végösszeg adóval"
