"* Required Fields","* Required Fields"
"Comment","Comment"
"Contact Form","Contact Form"
"Contact Information","Contact Information"
"Contact Us","Contact Us"
"Contacts","Contacts"
"Contacts Section","Contacts Section"
"Email","Netfang"
"Email Options","Email Options"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Enable Contact Us","Enable Contact Us"
"Name","Nafn"
"Send Emails To","Send Emails To"
"Submit","Senda"
"Telephone","Sími"
"Unable to submit your request. Please, try again later","Ekki var hægt að senda fyrirspurn þína... reyndu aftur seinna"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Fyrirspurn þín hefur verið send og verður svarað eins fljótt og auðið er. Takk fyrir að hafa samband."
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"* Required Fields","* Required Fields"
