" and ","e"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Percorso assoluto o relativo verso la root di installazione di Magento, ex. var/export)"
"(For US 2-letter state names)","(Per i nomi degli stati US 2-lettere)"
"(If left empty will be auto-generated)","(Se lasciato vuoto sarà auto-generato)"
"(Leave empty for first spreadsheet)","(Lasciare vuoto per il primo foglio di calcolo)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(I prodotti saranno aggiunti /aggiornati in questo negozio se la colonna “negozio”viene lasciata bianca o è mancante nel file importato.)"
"(Shift-)Click or drag to change value","(Shift-)Click o trascina per modificare il valore"
"(Starting with)","(A partire da)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Se 'No', solo i campi mappati saranno importati. Quando si esegue la mappatura, utilizzare 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Devi incrementare php memory_limit prima di modificare questo valore)"
"(\t for tab)","(t per scheda)"
"- Click on any of the time parts to increase it","- Clicca in una qualsiasi parte dei componenti per incrementarli"
"- Hold mouse button on any of the above buttons for faster selection.","- Tieni premuto il tasto del mouse su un qualsiasi pulsante per una selezione rapida."
"- Use the %s buttons to select month","- Utilizzare %s per selezionare il mese"
"- Use the %s, %s buttons to select year","- Utilizzare %s, %s per selezionare l'anno"
"- or Shift-click to decrease it","- o Shift-click per diminuirlo"
"- or click and drag for faster selection.","- o premi e trascina per una selezione rapida."
"API:","API:"
"About the calendar","Informazioni sul calendario"
"Access Denied.","Accesso Negato."
"Account Created in:","Account Creato in:"
"Account Created on (%s):","Account Creato su (%s):"
"Account Created on:","Account Creato su:"
"Action","Azione"
"Actions","Azioni"
"Add","Aggiungi"
"Add Contents Path","Aggiungi percorso contenuti"
"Add Field with URL:","Aggiungi campo con URL:"
"Add Maintainer","Aggiungi Addetto Manutenzione"
"Add New Role","Aggiungi nuovo ruolo"
"Add New Template","Aggiungi Nuovo Template"
"Add New User","Aggiungi nuovo utente"
"Add PHP Extension dependency","Aggiungi PHP estensione dipendenza"
"Add Package dependency","Aggiungi pacchetto dipendenza"
"Add Subpackage dependency","Aggiundi dipendenza Sotto-pacchetto"
"Add new store view map","Aggiungi mappa nuova vetrina"
"Add new website map","Aggiungi mappa nuovo sito"
"Address Type:","Tipo indirizzo:"
"All","Tutto"
"All Websites","Tutti i siti web"
"All fields","Tutti i campi"
"Archive file name:","Nome archivio file:"
"Are you sure that you want to delete this template?","Sei sicuro di voler cancellare questo template?"
"Are you sure that you want to strip tags?","Sei sicuro di voler inserire questi tags?"
"Attribute Set Name:","Nome set di attributi:"
"Attributes","Attributi"
"Available Products","Prodotti disponibili"
"Big Image","Ingrandisci immagine"
"Billing Address","Indirizzo di fatturazione"
"Bundle Items","Prodotti Bundle"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Un Bundle con prezzo variabile non può includere opzioni personalizzate definite. Le opzioni non saranno salvate."
"CSV / Tab separated","CSV / separati da tabulazioni"
"Card Verification Number","Numero di verifica carta"
"Catalog","Catalogo"
"Channel","Canale"
"Channel:","Canale:"
"Choose Store View","Scegli vista negozio"
"Client Session timeout (sec.)","Client Session timeout (sec.)"
"Close","Chiudere"
"Comments History","Cronologia commenti"
"Confirmed email:","Email confermata:"
"Connect with the Magento Community","Connettiti con la Community di Magento "
"Contents","Contenuti"
"Country:","Paese:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Crea un Backup"
"Created <strong>%s</strong> items","Articoli <strong>%s</strong> Creati"
"Credit Card Number","Numero carta di credito"
"Credit Card Number: xxxx-%s","Numero carta di credito: xxxx-%s"
"Credit Card Type","Tipo carta di credito"
"Credit Card Type: %s","Tipo carta di credito: %s"
"Credit Memo History","Cronologia nota di credito"
"Credit Memo Totals","Note di credito totali"
"Current Configuration Scope:","Configurazione attuale ambito:"
"Current Release Information","Informazioni Rilascio Attuale"
"Custom","prersonalizzato"
"Customer Group:","Gruppo cliente:"
"Customer Since:","Cliente dal:"
"Customers","Clienti"
"DHTML Date/Time Selector","DHTML Selettore Data/Ora"
"Dashboard","Dashboard"
"Data Format","Formato dati"
"Data transfer:","Trasferimento dati:"
"Date selection:","Selezione data:"
"Date selector","Selettore data"
"Date:","Data:"
"Decimal separator:","Separatore decimale:"
"Default (Admin) Values","Valori predefiniti (Admin)"
"Default Values","Valori predefiniti"
"Delete","Elimina"
"Dependencies","Dipendenze"
"Description:","Descrizione:"
"Direction:","Direzione:"
"Display %s first","Mostra %s primo"
"Distributed under GNU LGPL. See %s for details.","Distribuito sotto GNU LGPL. Vai a  %s per i dettagli."
"Done By:","Fatto Da:"
"Done by:","Fatto da:"
"Download Remote File","Download File Remoto"
"Drag to move","Trascina per spostare"
"Edit Role","Modifica ruolo"
"Edit User '%s'","Modifica utente '%s'"
"Email","Email"
"Email Preview","Anteprima Email"
"Email:","Email:"
"Enclose Values In:","Racchiudi i valori tra:"
"Entity type:","Tipo entità:"
"Excl. Tax","Escl. Tasse"
"Exclude","Escludi"
"Expiration Date","Data di scadenza"
"Expiration Date: %s/%s","Data di scadenza: %s/%s"
"Export","Esportare"
"Export Filters","Esporta filtri"
"Export to:","Esporta verso:"
"Export:","Esporta:"
"Extension","Estensione"
"Extensions","Estensioni"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Mappatura campi"
"File Information","Informazioni file"
"File name:","Nome file:"
"Final Price","Prezzo finale"
"Finished items creation.","Creazione Articoli finita."
"First Name:","Nome:"
"For latest version visit: %s","Per l'ultima versione visita: %s"
"From","Da"
"General Settings","Impostazioni generali"
"Get help for this page","Ottieni aiuto per questa pagina"
"Global Record Search","Record di ricerca globale"
"Go Today","Vai a oggi"
"Google Base Items","Articoli Google Base"
"Group:","Gruppo:"
"Help Us Keep Magento Healthy - Report All Bugs","Aiutaci a mantenere funzionale magento – Segnala i Bug"
"Ignore","Ignora"
"Images","Immaggini"
"Import","Importa"
"Import Service","Importa servizio"
"In Database:","Nel Database:"
"In File:","Nel File:"
"Inactive","Inattivo"
"Incl. Tax","Incl. Tasse"
"Include","Includi"
"Installed As","Installato Come"
"Interactive","Interattivo"
"Interface Locale: %s","Interfaccia Locale: %s"
"Invalid webservice adapter specified","Invalid webservice adapter specified"
"Invalid webservice handler specified","Invalid webservice handler specified"
"Invoice History","Cronologia fatture"
"Invoice Totals","Fatture totali"
"Issue Number","Numero d'ordine"
"Issuer: %s","Emittente: %s"
"Items to merge","Articoli da unire"
"Last 5 Orders","Ultimi 5 ordini"
"Last 5 Search Terms","Ultimi 5 termini di ricerca"
"Last Logged In (%s):","Ultimo accesso (%s):"
"Last Logged In:","Ultimo accesso:"
"Last Name:","Cognome:"
"Latest Message:","Ultimo messaggio:"
"Leave empty to use tax identifier","Lasciare vuoto per utilizzare l'identificatore tassa"
"Level","Livello"
"License:","Licenza:"
"Loading...","Caricamento..."
"Local Server","Server locale"
"Local/Remote Server","Server Locale/Remoto"
"Log Out","Logout"
"Logged in as %s","Collegato come %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Sezione API Magento Core"
"Magento Logo","Logo Magento"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; è un marchio registrato di Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Addetti Manutenzione"
"Manage Stores","Gestione negozi"
"Mapping Configuration","Mappatura Configurazione"
"Max","Max"
"Merge Now","Unisci Adesso"
"Min","Min"
"Module version conflict!","Conflitto Versione Modulo!"
"N/A","N/D"
"Name","Nome"
"Name on Card","Nome sulla carta "
"Name on the Card: %s","Nome sulla carta: %s"
"Name:","Nome:"
"Next month (hold for menu)","Prossimo Mese (tieni premuto per il menu)"
"Next page","Pagina successiva"
"Next year (hold for menu)","Prossimo anno (tieni premuto per il menu)"
"No","No"
"No Data Found","Nessun dato trovato"
"No search keywords.","Nessuna parola di ricerca."
"Note:","Nota:"
"Notes:","Note:"
"Number of records:","Numero di record:"
"Old rate:","Vecchia tariffa:"
"Only mapped fields","Solo campi mappati"
"Order Totals","Ordini totali"
"Order confirmation email not sent","Email di conferma dell'ordine non inviata"
"Order confirmation email sent","Email conferma ordine inviata"
"Original Magento attribute names in first row:","Nome attributi originali di Magento nella prima fila:"
"Package","Pacchetto"
"Package Information","Informazioni Pacco"
"Packages","Pacchetti"
"Page","Pagina"
"Passive mode","Modo Passivo"
"Password","Password"
"Path","Percorso"
"Path:","Percorso:"
"PayPal Email","Email PayPal"
"Personal Information","Informazioni personali"
"Phone:","Telefono:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Confermare il passaggio del sito. Tutti i dati non salvati verranno persi."
"Please enter 6 or more characters.","Inserire 6 o più caratteri."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter a valid $ amount. For example $100.00.","Inserire un importo valido di $. Per esempio $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Inserire un URL valido. Per esempio http://www.example.com o www.example.com"
"Please enter a valid URL. http:// is required","Inserire un URL valido. http:// è richiesto"
"Please enter a valid credit card number.","Inserire un numero valido di carta di credito."
"Please enter a valid date.","Inserire una data valida."
"Please enter a valid email address. For example johndoe@domain.com.","Inserire un indirizzo email valido. Per esemio johndoe@domain.com."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Inserire un numero di telefono valido. Per esempio (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Inserire un numero di prevpdenza sociale valido di. Per esempio 123-45-6789."
"Please enter a valid value from list","Inserire un valore valido dall'elenco"
"Please enter a valid value, ex: 10,20,30","Inserire un valore valido, es: 10,20,30"
"Please enter a valid zip code.","Inserire un codice zip valido."
