"--Select--","--Seleziona--"
"Add New Option","Aggiungi una nuova opzione"
"Add Selection","Aggiungi selezione"
"As low as","A partire da "
"Bundle Items","Articoli Bundle"
"Bundle Product","Prodotti Bundle"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s di sconto per ciascuno"
"Checkbox","Checkbox"
"Choose a selection...","Scegli una selezione..."
"Close","Chiuso"
"Default","Predefinito"
"Default Qty","Qtà predefinita"
"Default Title","Titolo predefinito"
"Drop-down","Drop-down"
"Dynamic","Dinamico"
"Excl. Tax","Escl. Tasse"
"Fixed","Risolto"
"From","Da"
"From:","Da:"
"Gift Message","Messaggio d'auguri"
"Incl. Tax","Incl. Tasse"
"Input Type","Tipo in ingresso"
"Is Required","È obbligatorio"
"Message:","Messaggio:"
"Multiple Select","Selezione multipla"
"N/A","N/D"
"No options of this product are available.","Nessuna opzione disponibile per questo prodotto."
"None","Nessuno"
"Percent","Percentuale"
"Percent Discount","Percentuale di sconto"
"Please enter search conditions to view products.","Inserire le condizioni di ricerca per visualizzare i prodotti."
"Please select options for product.","Selezionare le opzioni per il prodotto."
"Please select products to add","Selezionare prodotti da aggiungere"
"Please specify product option(s)","Specificare l'opzione(i) prodotto"
"Position","Posizione"
"Price Range","Fascia di prezzo"
"Price Type","Tipo prezzo"
"Price as configured","Prezzo come configurato"
"Qty:","Qtà:"
"Radio Buttons","Radio buttons"
"Required options not selected.","L'opzione richiesta non è stata selezionata"
"Selected required options not available.","L'opzione selezionata non è disponibile"
"Separately","Separatamente"
"Ship Bundle Items","Spedizione prodotti Bundle"
"Shipment","Spedizione"
"Store View Title","Vista titolo negozio"
"There is no defined renderer for ""%s"" option type","There is no defined renderer for ""%s"" option type"
"This product is also part of bundle(s)","Questo prodotto è anche parte dei bundle(s)"
"To","A"
"To:","A:"
"Together","Insieme"
"User Defined Qty","Qtà definita utente"
