"Actions","Azioni"
"Active","Attivo"
"Add New Rule","Aggiungi nuova regola"
"Apply Rules","Applica regole"
"Attribute Set","Set attributi"
"Catalog","Catalogo"
"Catalog Price Rule","Regola prezzo catalogo"
"Catalog Price Rules","Regole prezzo catalogo"
"Category","Categoria"
"Comments History","Storico Commenti"
"Conditions","Condizioni"
"Conditions (leave blank for all products)","Condizioni (lasciare bianco per tutti i prodotti)"
"Conditions Combination","Combinazione condizioni"
"Credit Memos","Note di Credito"
"Customer Groups","Gruppi cliente"
"Customer is new buyer: %s","Il Cliente è nuovo: %s"
"Customer registered: %s","Iscrizione Cliente: %s"
"Date Expire","Data di scadenza"
"Date From","Periodo dal"
"Date Start","Data inizio"
"Date To","Data di"
"Delete Rule","Cancella regola"
"Description","Descrzione"
"Description: %s","Descrizione: %s"
"Edit Rule","Modifica regola"
"Edit Rule '%s'","Modifica Regola '%s'"
"Expire at: %s","Scade il: %s"
"From Date","Dalla data"
"General Information","Informazioni generali"
"Gift Messages","Messaggio di Auguri"
"ID","ID"
"Inactive","Inattivo"
"Invoices","Fatture"
"NOT LOGGED IN","NON LOGGATO"
"Name: %s","Nome: %s"
"New Rule","Nuova regola"
"No","No"
"Options","Opzioni"
"Order Credit Memos","Nota di Credito dell'Ordine"
"Order Gift Messages","Messaggio di Auguri dell'Ordine"
"Order History","Storico Ordine"
"Order Invoices","Fatture Ordine"
"Order Shipments","Spedizioni Ordine"
"Priority","Priorità"
"Product Attribute","Attributo prodotto"
"Promotions","Promozioni"
"Rule Information","Informazioni regola"
"Rule Name","Nome regola"
"Rule was successfully deleted","La Regola è stata eliminata correttamente"
"Rule was successfully saved","la Regola è stata salvata"
"Rules were successfully applied","Regole applicate correttamente"
"Save Rule","Salva regola"
"Save and Apply","Salva e applica"
"Shipments","Spedizioni"
"Start at: %s","Inizia da: %s"
"Status","Stato"
"Stop further rules processing","Ferma elaborazione altre regole"
"The page you are trying to save no longer exists","La pagina che stai tentando di salvare non esiste più"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Questa regola non esiste più"
"To Date","Alla data"
"Unable to apply rules","Impossibile applicare le regole"
"Unable to find a page to delete","Impossibile trovare una pagina da eliminare"
"Update product's %s %s: %s","Aggiornamento dei prodotti %s %s: %s"
"Websites","Siti web"
"Yes","Si"
