"%s was successfully added to your shopping cart.","%s è stato aggiunto con successo nel tuo carrello"
"&laquo; Back to Billing Information","&laquo; Torna alle Informazioni di Fatturazione"
"&laquo; Back to Select Addresses","&laquo; Vai all'indirizzo selezionato"
"&laquo; Back to Shopping Cart","&laquo; Torna al Carrello"
"* Required Fields","* Campi obbligatori"
"Add New Address","Aggiungi nuovo indirizzo"
"Add New Condition","Aggiungi nuova condizione"
"Add to Cart","Aggiungi al carrello"
"Add to Compare","Confronta"
"Add to Wishlist","Aggiungi alla Wishlist"
"Address","Indirizzo"
"Address %s of %s","Indirizzo %s di %s"
"After adding a product redirect to shopping cart","Dopo aver aggiunto un prodotto ritorna al carrello"
"Allow Guest Checkout","Permetti Checkout ospiti"
"Already registered?","Già registrato?"
"An error occurred in the process of payment","Si è verificato un errore nel processo di pagamento"
"Apply Coupon","Applica Coupon"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
"Back","Indietro"
"Back to Shipping Information","Torna alle informazioni di spedizione"
"Based on your selection, you may be interested in the following items:","Sulla base della tua scelta, potresti essere interessato ai seguenti articoli:"
"Billing Address","Indirizzo di fatturazione"
"Billing Information","Informazioni fatturazione"
"Billing Information - %s","Informazioni di fatturazione - %s"
"Can not add item to shopping cart","Impossibile aggiungere l'articolo al carrello"
"Can not apply coupon code.","Impossibile applicare il codice coupon."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Cancella Coupon"
"Cannot remove item","Impossibile rimuovere il prodotto"
"Cannot update shopping cart","Impossibile aggiornare il carrello"
"Card Verification Number Visual Reference","Numero di verifica carta riferimento visivo"
"Cart Subtotal:","Subtotale carrello:"
"Change","Modifica"
"Change Billing Address","Cambia indirizzo di fatturazione"
"Checkbox text","Checkbox text"
"Checkout","Acquista"
"Checkout Conditions","Condizioni Checkout"
"Checkout Options","Opzioni di Checkout"
"Checkout Section","Sezione di Checkout"
"Checkout Terms and Conditions","Termini e condizioni di Checkout"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o registrati"
"Checkout method","Modalità Checkout"
"Checkout with Multiple Addresses","Checkout con indirizzi multipli"
"City","Città"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clicca <a href=""%s"" onclick=""this.target='_blank'"">qui per stampare</a> una copia della conferma dell'ordine."
"Close","Chiuso"
"Company","Società"
"Condition Name","Nome condizione"
"Condition was successfully deleted","Condizione cancellata con successo"
"Condition was successfully saved","Condizione salvata con successo"
"Configurable product image","Immagine prodotto configurabile"
"Confirm Password","Conferma Password"
"Content","Contenuto"
"Content Height","Altezza contenuto"
"Content Height (css)","Altezza contenuto (css)"
"Continue","Continua"
"Continue Shopping","Continua l'acquisto"
"Continue to Billing Information","Continua verso le informazioni di fatturazione"
"Continue to Review Your Order","Continua per rivedere il tuo ordine"
"Continue to Shipping Information","Continua verso le informazioni di spedizione"
"Country","Paese"
"Coupon code ""%s"" is not valid.","Il codice Coupon ""%s"" non è valido."
"Coupon code ""%s"" was applied successfully.","Il codice Coupon ""%s"" è stato applicato con successo."
"Coupon code was canceled successfully.","Il codice del Buono è stato correttamente cancellato."
"Create Billing Address","Crea indirizzo di fatturazione"
"Create Shipping Address","Crea indirizzo di spedizione"
"Customer Address is not valid.","Indirizzo cliente non valido."
"Data saving problem","Problema salvataggio dati"
"Default Billing","Fatturazione predefinita"
"Default Shipping","Spedizione predefinita"
"Delete Condition","Cancella condizione"
"Details","Dettagli"
"Disable Onepage Checkout","Disabilita il Onepage Checkout"
"Disabled","Disabilitato"
"Discount Codes","Codici sconto"
"Display Cart Summary","Visualizza riepilogo carrello"
"Display Shopping Cart Sidebar","Visualizza Sidebar carrello"
"Display item quantities","Visualizza quantità articolo"
"Display number of items in cart","Visualizza il numero degli articoli nel carrello"
"Easy access to your order history and status","Facile accesso alla cronologia ordini e allo stato"
"Edit","Modifica"
"Edit Address","Modifica indirizzo"
"Edit Billing Address","Modifica indirizzo di fatturazione"
"Edit Items","Modifica articoli"
"Edit Shipping Address","Modifica indirizzo di spedizione"
"Edit Terms and Conditions","Modifica termini e condizioni"
"Edit Your Cart","Modifica il tuo carrello"
"Email Address","Indirizzo email"
"Enable Terms and�Conditions","Abilita Terms and Conditions"
"Enabled","Abilitato"
"Enter a New Address","Inserisci un nuovo indirizzo"
"Enter your coupon code if you have one.","Inserisci il tuo codice coupon se ne hai uno."
"Enter your destination to get a shipping estimate.","Inserisci la destinazione per avere una stima di spedizione."
"Error while deleting this condition. Please try again later.","Errore durante la cancellazione di questa condizione. Riprova più tardi."
"Error while saving this condition. Please try again later.","Errore nel salvataggio di questa condizione. Riprova più tardi."
"Estimate Shipping and Tax","Stima spedizione e tasse"
"Excl. Tax","Escl. Tasse"
"Fast and easy check out","Check out facile e veloce"
"Fax","Fax"
"Forgot an Item?","Hai dimenticato un articolo?"
"Forgot your password?","Hai dimenticato la password?"
"Get a Quote","Ottieni un preventivo"
"Grand Total:","Totale complessivo:"
"Grouped product image","Immagine prodotto Grouped"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tasse"
