"* Required Fields","* Campi richiesti"
"A new password was sent","E' stata inviata una nuova password"
"Account Dashboard","Bacheca Account"
"Account Information","Informazione account"
"Account Sharing Options","Opzioni di condivisione account"
"Account information was successfully saved","Informazioni Account salvate correttamente"
"Action","Azione"
"Add New Address","Aggiungi nuovo indirizzo"
"Add New Customer","Aggiungi nuovo cliente"
"Add New Customer Group","Aggiungi nuovo gruppo cliente"
"Added From","Aggiunto da"
"Additional Address Entries","Voci indirizzi aggiuntivi"
"Address","Indirizzi"
"Address Book","Rubrica"
"Address Information","Informazioni indirizzo"
"Addresses","Indirizzi"
"Admin","Amministratore"
"All","Tutto"
"All Store Views","Visualizza tutti i negozi"
"All countries","Tutti i paesi"
"Always optional","Sempre opzionale"
"Amount","Importo"
"Approved","Approvato"
"Are you sure that you want to remove this item?","Sei sicuro di voler rimuovere questo oggetto?"
"Are you sure you want to cancel adding of this address?","Sei sicuro di voler annullare l'aggiunta per questo indirizzo?"
"Are you sure you want to delete this address?","Sei sicuro di voler cancellare questo indirizzo?"
"Are you sure?","Sei sicuro?"
"Array of Entity collections is expected","Serie di collezioni entità mancante"
"Assign a customer group","Assegna gruppo clienti"
"Average Sale","Media saldo"
"Back","Indietro"
"Back to Login","Vai al Log in"
"Bad request.","Richiesta errata."
"Bill to Name","Fattura per nome"
"Billing Information","Informazioni Fatturazione"
"Bought From","Comprato da"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Creando un account con il nostro negozio sarai in grado di muoverti attraverso il processo di pagamento più velocemente, salvare indirizzi di spedizione multipli, visualizzare e tracciare i tuoi ordini e altro ancora!"
"CSV","CSV"
"Can't save address","Impossibile salvare indirizzo"
"Can't save customer","Impossibile salvare il cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Non è possibile condividere gli account dei clietnti. Alcuni account clienti con indirizzi email identici estisto su più siti e non possono essere uniti."
"Cancel","Cancella"
"Change Account Password","Cambia password account"
"Change Billing Address","Cambia indirizzo di fatturazione"
"Change Password","Cambia password account"
"Change Shipping Address","Cambia indirizzo spedizione"
"City","Città"
"Company","Compagnia"
"Config","Configura"
"Confirm New Password","Conferma nuova password"
"Confirm Password","Conferma password"
"Confirmation Link Email","Link di conferma email"
"Confirmed","Confermato"
"Contact Information","Informazioni contatto"
"Continue Shopping","Continua gli acquisti"
"Country","Paese"
"Create","Crea"
"Create New Account Options","Crea nuove opzioni di contetto"
"Create New Customer Account","Crea un nuovo account cliente"
"Create Order","Crea ordine"
"Create an Account","Crea un account"
"Create customer","Crea cliente"
