"-- Please Select --","-- Selezione --"
"Account Registration","Registrazione account"
"All fields of script types have to be filled.","Tutti i campi dei tipi di script devono essere riempiti."
"Attributes","Attributi"
"Category View Optimization","Visualizza ottimizzazione categoria"
"Control Script","Controlla script"
"Conversion Page","Conversione pagina"
"Conversion Page URL","Conversione pagina URL"
"Conversion Script","Converti testo"
"Enable","Ativa"
"Google Optimizer Scripts","Google ottimizzatore script"
"Google Website Optimizer","Google  ottimizzatore sito"
"Install Scripts","Installa scripts"
"Limit is 8 attributes only.","Limit is 8 attributes only."
"Multi Address Checkout","Pagamento indirizzi multipli"
"One Page Checkout","Pagamento una pagina"
"Order Success (Multi Address Checkout)","Ordine riuscito (pagamento indirizzi multipli)"
"Order Success (One Page Checkout)","Ordine riuscito (pagamento una pagina)"
"Original Page","Pagina predefinita"
"Other","Altri"
"Page Type","Tipo di pagina"
"Page View Optimization","Visualizza ottimizzatore pagina"
"Please copy and paste this value to experiment edit form","Per favore copia e incolla questo valore per provare a cambiare il modulo"
"Please select store view to see the URL","Per favore seleziona visualizza negozio per vederlo nell'URL"
"Product View Optimization","Visualizza ottimizzatore prodotto"
"Scripts Install URL","Installa Scripts URL"
"Shopping Cart","Carrello"
"Tracking Script","Traccia Script"
"Use Default","Usa predefinito"
"Use Default Values","Usa valore predefinito"
"Variant Page","Variante pagina"
