"ALL","TUTTO"
"ANY","QUALSIASI"
"Add","Aggiungi"
"Apply","Applica"
"Description: %s","Descrizione: %s"
"Expire at: %s","Scadenza a: %s"
"FALSE","FALSO"
"If %s of these conditions are %s:","Se %s una di queste condizioni è %s:"
"Invalid discount amount.","Importo sconto non valido"
"MATCHING ALL","CONFRONTA TUTTO"
"MATCHING ANY","CONFRONTA QUALSIASI"
"NOT MATCHING ALL","NON CONFRONTARE TUTTO"
"NOT MATCHING ANY","NON CONFRONTARE QUALSIASI"
"Name: %s","Nome: %s"
"Open Chooser","Apri selettore"
"Perform following actions","Esegui le seguenti azioni"
"Please choose a condition to add...","Seleziona una condizione da aggiuntere..."
"Please choose an action to add...","Selezione un'azione da aggiungere"
"Remove","Rimuovi"
"Start at: %s","Inizia a : %s"
"TRUE","VERO"
"by","da"
"contains","contiene"
"does not contain","non contiene"
"equals or greater than","uguale o maggiore di"
"equals or less than","uguale o minore di"
"greater than","maggiore di"
"is","è"
"is not","non è"
"is not one of","non è uno di"
"is one of","è uno di"
"less than","meno di"
"to","a"
