"Action","Azione"
"Add Sitemap","Aggiungi mappa del sito"
"Always","Sempre"
"CMS Pages Options","Opzioni pagine CMS "
"Categories Options","Opzioni categorie"
"Daily","Giornaliero"
"Edit Sitemap","Modifica mappa del sito"
"Enabled","Attivato"
"Error Email Recipient","Destinatario email errato"
"Error Email Sender","Mittente email errato"
"Error Email Template","Template email errato"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Impossibile salvare il file ""%s"" assicurati che la cartella ""%s"" sia scrivibile da un web server"
"Filename","Nome file"
"Frequency","Frequenza"
"Generate","Genera"
"Generation Settings","Impostazioni di generazione"
"Google Sitemap","Mappa del sito Google"
"Google Sitemap Section","Sezione Google Sitemap"
"Hourly","Orario"
"ID","ID"
"Last Time Generated","Ultima generazione"
"Link for Google","Link per Google"
"Monthly","Mensilità"
"Never","Mai"
"New Sitemap","Nuova mappa del sito"
"Path","Percorso"
"Please create the specified folder ""%s"" before saving the sitemap.","Per favore creare la cartella ""%s"" prima di salvare la mappa del sito."
"Please define correct path","Definire il percorso"
"Please make sure that ""%s"" is writable by web-server.","Assicurati che ""%s"" sia scrivibile dal web server"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Usa soltanto lettere (a-z o A-Z), numeri (0-9) o underscore (_) nel nome del file. Non sono ammessi spazi e altri caratteri"
"Priority","Priorità"
"Priority must be between 0 and 1","La priorità deve essere compresa tra 0 e 1"
"Products Options","Opzioni prodotti"
"Sitemap","Mappa del sito Google"
"Sitemap ""%s"" has been successfully generated","La sitemap ""%s"" è stata generata con successo"
"Sitemap generate Warnings","Mappa del sito genera avviso"
"Sitemap was successfully deleted","Sitemap cancellata correttamente"
"Sitemap was successfully saved","Sitemap salvata correttamente"
"Start Time","Tempo di avvio"
"Store View","Visualizza negozio"
"This sitemap no longer exists","Questa sitemap non esiste più"
"Unable to find a sitemap to delete","Impossibile trovare la sitemap da eliminare"
"Unable to find a sitemap to generate","Impossibile trovare una sitemap da generare"
"Unable to generate a sitemap","Impossibile generare una sitemap"
"Valid values range from 0.0 to 1.0","Serie di valori validi da 0.0 a 1.0"
"Weekly","Settimanalmente"
"Yearly","Annualmente"
