"# of Uses","# di utilizzo"
"%s tag(s) have been accepted for moderation","%s tag sono state accettate per la moderazione"
"Action","Azione"
"Actions","Azioni"
"Add New Tag","Aggiungi nuovo Tag"
"Add Tags","Aggiungi Tag"
"Add Your Tags:","Aggiungi i tuoi Tag:"
"Add to Cart","Aggiungi al carrello"
"Add to Wishlist","Aggiungi alla wishlist"
"All Tags","Tutti i tags"
"Approved","Approvato"
"Are you sure that you want to delete this tag?","Sicuro di voler cancellare questo tag?"
"Are you sure you want to delete this tag?","Sei sicuro di voler eliminare questo tag?"
"Are you sure you want to do this?","Sei sicuro di volerlo?"
"Are you sure?","Sei sicuro?"
"Back","Indietro"
"Back to Tags List","Indietro alla lista tag"
"Back to view Tag","Torna alla vista dei Tag"
"Block Information","Blocco di informazioni"
"CSV","CSV"
"Change status","Cambia stato"
"Click on a tag to view your corresponding products.","Clicca sul tag per vedere i prodotti corrispondeti"
"Country","Paese"
"Customer Since","Utente dal"
"Customers","Utenti"
"Customers Tagged '%s'","Utente taggato '%s'"
"Delete","Elimina"
"Delete Tag","Elimina Tag"
"Disabled","Disattiva"
"Edit Tag","Modifica Tag"
"Edit Tag '%s'","Modifica Tag '%s'"
"Email","Email"
"First Name","Nome"
"General Information","Informazioni generali"
"Grid","Griglia"
"ID","ID"
"Last Name","Cognome"
"List","Lista"
"My Recent Tags","I miei tag recenti"
"My Tags","I miei tag"
"Name","Nome"
"New Tag","Nuova tag"
"No matches found.","Nessuna corrispondenza trovata"
"Other people marked this product with these tags:","Altre persone hanno selezionato questo prodotto con queste tags:"
"Pending","In attesa"
"Pending Tags","Tag in attesa"
"Popular","Popolarità di base"
"Popular Tags","Tags popolari"
"Popularity","Popolarità"
"Price","Prezzo"
"Product Name","Nome del prodotto"
"Product SKU","Prodotto SKU"
"Product Tags","Tag prodotto"
"Products","Prodotti"
"Products Tagged with '%s'","Prodotti taggati con '%s'"
"Products tagged with '%s'","Prodotti taggati con '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Prodotti taggati con '%s' (<a href='%s'>RSS</a>)"
"SKU","COD."
"Save Tag","Salva tag"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Risultati trovati con '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Condizioni Ricerca"
"Status","Stato"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" aggiunta al prodotto"
"Tag Information","Informazioni Tag"
"Tag Name","Nome tag"
"Tag Name: %s","Tag: <strong>%s</strong>"
"Tag can't be empty.","Il tag non può essere vuoto"
"Tagged in","Taggato in"
"Tags","Tag"
"Tags Aren't Available","Tag Indisponibili"
"Tags:","Tag:"
"Telephone","Telefono"
"Thank you. Your tag has been accepted for moderation.","Grazie. Il Tag è stato accettato per l'approvazione."
"Unable to find any products tagged with '%s' in the current store","Impossibile trovare prodotti taggati con '%s' in questo negozio"
"Unable to remove tag. Please, try again later.","Impossibile rimuovere tag, riprova dopo."
"Unable to save tag(s)","Impossibile salvare i(l) tag"
"Unable to save your tag. Please, try again later.","Impossibile salvare il tag. Riprova più tardi."
"Use spaces to separate tags. Use single quotes (') for phrases.","Usa gli spazi per tag separati. Usa virgolette singole (') per frasi."
"Uses","Usi"
"View All","Mostra Tutti"
"View All Tags","Visualizza tutti i tag"
"View Customers","Visualizza utenti"
"View Products","Visualizza profotti"
"Visible In","Visibile In"
"XML","XML"
"You have not tagged any products yet.","Non hai taggato ancora nessun prodotto."
"Your tag was successfully deleted","La tag è stata cancellata con successo"
"Your tag was successfully saved","La tag è stata salvata con successo"
"ZIP/Post Code","CAP"
"You have not tagged any products yet.","You have not tagged any products yet."
