"-- Please Select --","-- Selezionare --"
"Add New Class","Aggiungi una nuova classe"
"Add New Tax Rate","Aggiungi un nuovo tasso fiscale"
"Add New Tax Rule","Aggiungi una nuova regola all'imposta"
"Apply Discount On Prices Including Tax","Applica Sconto sui Prezzi Tasse Incluse"
"Apply Tax After Discount","Applica Tasse dopo Sconto"
"Apply Tax On","Applica tassa su"
"Are you sure you want to do this?","Sei sicuro?"
"Back","Indietro"
"CSV","CSV"
"Calculation","Calcolo"
"Catalog prices include tax","Prezzi Catalogo includono tasse"
"Class Name","Nome classe"
"Code","Codice"
"Country","Paese"
"Country/Region/Postal code combination","Combinazione Stato/Regione/CAP"
"County","Circoscrizione"
"Custom price if available","Prezzo personalizzato se disponibile"
"Customer Tax Class","Classe fiscale cliente"
"Customer Tax Class Information","Informazioni classe fiscale cliente"
"Customer Tax Classes","Classi fiscali cliente"
"Default Country","Paese predefinito"
"Default Post Code","CAP predefinito"
"Default State","Stato predefinito"
"Default Tax Origin Calculation","Calcolo Origine Tasse di Default"
"Delete Class","Elimina classe"
"Delete Rate","Elimina tariffa"
"Delete Rule","Elimina regola"
"Display","Visualizza"
"Display Cart/Order Prices","Visualizza Carrello/Prezzo Ordine"
"Display Product Prices","Visualizza prezzi prodotti"
"Display Shipping Prices","Visualizza prezzi di spedizione"
"Display Zero Tax Subtotal","Visualizza tasso zero su subtotale"
"Display full tax summary","Visualizza il riepilogo completo delle tasse"
"Edit Class","Modifica classe"
"Edit Class '%s'","Modifica classe '%s'"
"Edit Rule","Modifica regola"
"Edit Tax Rate","Modifica Tax Rate"
"Error while deleting this class. Please try again later.","Errore nella cancellazione di questa classe. Riprova più tardi."
"Error while deleting this rate. Incorrect rate ID","Errore durante la cancellazione di questa aliquota. ID aliquota errato"
"Error while deleting this rate. Please try again later.","Errore nella cancellazione di questa tariffa. Riprova più tardi."
"Error while deleting this tax rule. Please try again later.","Errore nella cancellazione di questa regola di tasse. Riprova più tardi."
"Error while saving this rate. Please try again later.","Errore nel salvataggio di questa tariffa. Riprova più tardi."
"Error while saving this tax class. Class with the same name ","Errore durante il salvataggio di questa classe fiscale. Classe con lo stesso nome"
"Error while saving this tax class. Please try again later.","Errore nel salvataggio di questa classe fiscale. Riprova più tardi."
"Error while saving this tax rule. Please try again later.","Errore nel salvataggio di questa classe fiscale. Riprova più tardi."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Tasse escuse"
"Excl. Tax:","Tasse escuse:"
"Excluding tax","Esclusione tasse"
"Export Tax Rates","Esporta Tax Rates"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignorato quando l'opzione ""Applica Tasse dopo Sconto"" è abilitata"
"Import / Export Tax Rates","Importa / Exporta Aliquote"
"Import Tax Rates","Importa Aliquote"
"Inc. Tax"," Tasse incluse"
"Incl. Tax"," Tasse incluse"
"Incl. Tax:"," Tasse incluse:"
"Including and excluding tax","Tasse Incl. e Tasse Escl."
"Including tax","Inclusione tasse"
"Incorrect rate Data","Dati aliquota non corretti"
"Invalid data for tax rate calculation","Dati non validi per calcolo aliquota"
"Invalid file format upload attempt","Tentativo caricamento formato file non valido fallito"
"Invalid file upload attempt","Tentativo caricamento file fallito"
"Manage Customer Tax Classes","Gestione classi fiscali cliente"
"Manage Product Tax Classes","Gestione classi tasse prodotti"
"Manage Tax Rates","Gestisci Tax Rates"
"Manage Tax Rules","Gestisci regole tasse"
"Manage Tax Zones & Rates","Gestisci Tax Zones & Rates"
"Name","Nome "
"New Class","Nuova classe"
"New Rule","Nuova regola"
