"* Required Fields","* 必須項目"
"Add","追加"
"Add Gift Message","ギフトメッセージを追加"
"Allow Gift Messages for Order Items","注文商品ごとにギフトメッセージを許可する"
"Allow Gift Messages on Order Level","注文ごとにギフトメッセージを許可する"
"Are you sure?","よろしいですか？"
"Cancel","キャンセル"
"Check this checkbox if you want to add gift messages to your items.","ギフトメッセージを追加したい場合はチェックしてください。"
"Check this checkbox if you want to add gift messages.","ギフトメッセージを追加したい場合はチェックしてください。"
"Close","閉じる"
"Do you have any gift items in your order?","ギフトにする商品がありますか？"
"Edit","編集"
"Edit Gift Message","ギフトメッセージを編集"
"Enter a gift message for each item in your order.","ご注文の商品それぞれにギフトメッセージを入力する。"
"Enter a gift message for entire order.","ご注文にギフトメッセージを入力する。"
"Enter a gift message for this address.","このあて先にギフトメッセージを入力する。"
"Error while saving gift message","メッセージを保存中にエラーが発生しました。"
"From","発信者"
"Gift Message","ギフトメッセージ"
"Gift Messages","ギフトメッセージ"
"Gift message has been successfully saved","ギフトメッセージを保存しました。"
"Item %d of %d","%d個中%dの商品"
"Message","メッセージ"
"No","いいえ"
"Remove","削除"
"Save","保存"
"Save Gift Message","ギフトメッセージ"
"To","あて先"
"Unknown entity type","不明なエンティティタイプ"
"Use config","設定を使用する"
"Yes","はい"
"You can leave a box blank if you don't wish to add a gift message for the item.","ギフトメッセージを希望されない場合は空欄にしておいてください。"
"You can leave a box blank if you don't wish to add a gift message for this address.","ギフトメッセージを希望されない場合は空欄にしておいてください。"
"You can leave a box blank if you don't wish to add a gift message for whole order.","ギフトメッセージを希望されない場合は空欄にしておいてください。"
"Your gift message has been successfully removed","ギフトメッセージを削除しました。"
"Your gift message has been successfully saved","ギフトメッセージを保存しました。"
"Your gift message successfully removed","ギフトメッセージを削除しました。"
"Your gift message successfully saved","ギフトメッセージを保存しました。"
