"%s Item(s)","%s 商品"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","もし何も起こらない場合は <a href=""%s"">ここをクリック</a>してください。"
"Close","Close"
"Close Window","ウインドウを閉じる"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","ディフォルトの説明"
"Default welcome msg!","ディフォルトのウェルカムメッセージ!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Magentoを安全に保つためにご協力ください"
"Interface Language","言語"
"Items %s to %s of %s total","商品 %s to %s of %s 合計"
"Next Page","次のページ"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","ページ:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","前のページ"
"Redirecting...","リダイレクトしています。。"
"Report All Bugs","バグを報告する"
"Select Store","ストア選択"
"Select date","Select date"
"Show","表示する"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","メインコンテンツをスキップする"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","これはデモストアです。実際に請求されることはありません。"
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","ようこそ、%s様!"
"You're currently on:","現在の通貨:"
"Your Language","あなたの言語"
"Your Language:","あなたの言語:"
"per page","ごと"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
