"-- Please Select --","-- 選択してください --"
"Add New Class","新規区分の追加"
"Add New Tax Rate","新規税率の追加"
"Add New Tax Rule","新規税算出の追加"
"Apply Discount On Prices Including Tax","税込価格にディスカウントを適用"
"Apply Tax After Discount","ディスカウント後に税を適用"
"Apply Tax On","次に税を適用"
"Are you sure you want to do this?","実行してもいいですか？"
"Back","戻る"
"CSV","CSVファイル"
"Calculation","Calculation"
"Catalog prices include tax","税込みのカタログ価格"
"Class Name","区分名"
"Code","コード"
"Country","国"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","郡"
"Custom price if available","利用できればカスタム価格"
"Customer Tax Class","顧客課税区分"
"Customer Tax Class Information","顧客課税区分情報"
"Customer Tax Classes","顧客課税区分"
"Default Country","国を削除"
"Default Post Code","ディフォルトのポストコード"
"Default State","ディフォルトの州"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","区分の削除"
"Delete Rate","レートの削除"
"Delete Rule","ルールの削除"
"Display","Display"
"Display Cart/Order Prices","カート/注文価格を表示"
"Display Product Prices","商品の価格を表示"
"Display Shipping Prices","配送料を表示"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","全ての税サマリを表示"
"Edit Class","区分編集"
"Edit Class '%s'","区分'%s'編集"
"Edit Rule","ルール編集"
"Edit Tax Rate","税率の編集"
"Error while deleting this class. Please try again later.","この区分を削除中にエラーが発生しました。しばらくしてから再度試してください。"
"Error while deleting this rate. Incorrect rate ID","このレートを削除中にエラーが発生しました。不正なレートIDです"
"Error while deleting this rate. Please try again later.","レートの削除中にエラーが発生しました。 やり直してください。"
"Error while deleting this tax rule. Please try again later.","税算出区分の削除中にエラーが発生しました。 やり直してください。"
"Error while saving this rate. Please try again later.","レートの保存中にエラーが発生しました。 やり直してください。"
"Error while saving this tax class. Class with the same name ","税区分を保存中にエラーが発生しました。区分名が同じです。"
"Error while saving this tax class. Please try again later.","税区分の保存中にエラーが発生しました。 やり直してください。"
"Error while saving this tax rule. Please try again later.","税算出区分の保存中にエラーが発生しました。 やり直してください。"
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","税別"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","税別"
"Export Tax Rates","税率のエクスポート"
"Ignored when 'Apply Tax After Discount' option is enabled","’ディスカウント後に税を適用’オプションがオンの場合は無視されます"
"Import / Export Tax Rates","税率のインポート / エクスポート"
"Import Tax Rates","税率のインポート"
"Inc. Tax","税込み"
"Incl. Tax","税込み"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","税込みと税別"
"Including tax","税込み"
"Incorrect rate Data","不正なレートデータです"
"Invalid data for tax rate calculation","税計算の不正なデータです"
"Invalid file format upload attempt","不正なファイルフォーマットがアップロードされました。"
"Invalid file upload attempt","不正なファイルがアップロードされました"
"Manage Customer Tax Classes","顧客の税区分を管理"
"Manage Product Tax Classes","商品の税区分を管理"
"Manage Tax Rates","税率管理"
"Manage Tax Rules","課税方法管理"
"Manage Tax Zones & Rates","Manage Tax Zones &amp; Rates"
"Name","名前"
"New Class","新しい区分"
"New Rule","新しいルール"
"New Tax Rate","新規税率"
"None","無し"
"One of the country has invalid code.","国コードのうちのひとつが不正です。"
"Original price only","オリジナル価格のみ"
"Please select Country","国を選択してください。"
"Please select County","郡を選択してください。"
"Please select State","県を選択してください"
"Priority","重要度"
"Product Tax Class","商品税区分"
"Product Tax Class Information","商品税区分情報"
"Product Tax Classes","商品税区分"
"Rate","税率"
"Reset","リセット"
"Sales","セールス"
"Save Class","区分の保存"
"Save Rate","レートの保存"
"Save Rule","ルールの保存"
"Shipping prices include tax","税込みのショッピング価格"
"Sort Order","注文並べ替え"
"State","県"
"State/Region","県"
"Tax","税"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","配送の税区分"
"Tax Classes","Tax Classes"
"Tax Identifier","税識別子"
"Tax Rate","税率"
"Tax Rate Information","税率情報"
"Tax Rule Information","税率情報"
"Tax Rules","課税方法"
"Tax Section","Tax Section"
"Tax Titles","税タイトル"
"Tax class was successfully deleted","税区分を削除しました"
"Tax class was successfully saved","税区分を保存しました"
"Tax rate was successfully deleted","税率を削除しました"
"Tax rate was successfully imported","税率は正常にインポートされました"
"Tax rate was successfully saved","税率を保存しました"
"Tax rates at the same priority are added, others are compounded.","同じ優先度の税率は加算されます。その他のものはまとめられます。"
"Tax rule was successfully deleted","課税方法を削除しました"
"Tax rule was successfully saved","課税方法を保存しました"
"This class no longer exists","この区分は存在しません"
"This rule no longer exists","このルールは存在しません"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","%dの顧客グループに使用しているため、この税区分を削除できません。"
"You cannot delete this tax class as it is used for %d products.","%dの商品に使用されているため、この税区分を削除できません"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","この税区分は税ルールで使用されているため削除できませんでした。まず使用されているルールを削除してください。"
"Zip/Post Code","郵便番号"
