"Add New Row","Add New Row"
"An error occurred while saving the file(s).","An error occurred while saving the file(s)."
"Availability: In stock.","მარაგი: საწყობშია"
"Availability: Out of stock.","მარაგი: არ არის საწყობში."
"Back","Back"
"Can't connect to remote host, error: %s","Can't connect to remote host, error: %s"
"Canceled","გაუქმდა"
"Date","თარიღი"
"Default Link Title","Default Link Title"
"Default Maximum Number of Downloads","Default Maximum Number of Downloads"
"Default Sample Title","Default Sample Title"
"Disable Guest Checkout if cart contains downloadable items","Disable Guest Checkout if cart contains downloadable items"
"Downloadable Information","Downloadable Information"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Downloadable Product Options"
"Downloadable product Section","Downloadable product Section"
"Excl. Tax","Excl. Tax"
"File","File"
"File does not exists","File does not exists"
"From:","From:"
"Gift Message","სასაჩუქრე შეტყობინება"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Guest checkout will only work with shareable","Guest checkout will only work with shareable"
"Incl. Tax","Incl. Tax"
"Invalid download URL host","Invalid download URL host"
"Invalid download URL scheme","Invalid download URL scheme"
"Invalid download link type","Invalid download link type"
"Invoiced","Invoiced"
"Link has expired.","Link has expired."
"Link is not available.","Link is not available."
"Links can be purchased separately","Links can be purchased separately"
"Max. Downloads","Max. Downloads"
"Message:","შეტყობინება:"
"My Downloadable Products","ციფრული პროდუქტები"
"Open Links in New Window","Open Links in New Window"
"Order #","შეკვეთის #"
"Order Item Status to enable Downloads","Order Item Status to enable Downloads"
"Ordered","Ordered"
"Pending","მოლოდინში"
"Please log in to download your product.","გთხოვთ შეხვიდეთ თქვენი პროდუქტის ჩამოსატვირთად."
"Please set resource file and link type","Please set resource file and link type"
"Please specify product link(s).","Please specify product link(s)."
"Price","Price"
"Refunded","Refunded"
"Remaining Downloads","Remaining Downloads"
"Remove item","წაშლა"
"Requested link doesn't exist.","Requested link doesn't exist."
"Sample","Sample"
"Shareable","Shareable"
"Shipped","Shipped"
"Sorry, the was an error getting requested content. Please contact store owner.","Sorry, the was an error getting requested content. Please contact store owner."
"Sorry, there was an error getting requested content","Sorry, there was an error getting requested content"
"Sorry, there was an error getting requested content. Please contact store owner.","Sorry, there was an error getting requested content. Please contact store owner."
"Sort Order","Sort Order"
"Start Download","Start Download"
"Status","სტატუსი"
"Title","Title"
"To:","To:"
"U","U"
"Unlimited","Unlimited"
"View Order","ნახვა"
"You have not purchased any downloadable products yet.","ჯერ არცერთი ციფრული პროდუქტი არ გიყიდიათ."
"attachment","attachment"
"download","download"
"inline","inline"
"sample","sample"
"My Downloadable Products","ციფრული პროდუქტები"
"You have not purchased any downloadable products yet.","ჯერ არცერთი ციფრული პროდუქტი არ გიყიდიათ."
