"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Kasdien"
"Failure history lifetime","Klaida istorijos saugojime"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"History cleanup every","History cleanup every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","Praleistas, jei nevykdomas su"
"Monthly","Kas Mėnesį"
"No callbacks found","No callbacks found"
"Schedule ahead for","Suplanuokite iš anksto"
"Success history lifetime","Teisingas istorijos galiojimas"
"Too late for the schedule","Too late for the schedule"
"Unable to save Cron expression","Negaliu išsaugoti Cron išraiškos"
"Unknown error","Unknown error"
"Weekly","Savaitinis"
