"* Required Fields","* Privalomi laukeliai"
"A new password was sent","Naujas slaptažodis buvo išsiųstas"
"Account Dashboard","Sąskaitos valdymo skydas"
"Account Information","Sąskaitos informacija"
"Account Sharing Options","Sąskaitos Opcijos"
"Account information was successfully saved","Sąskaitos informacija sėkmingai išsaugota"
"Action","Veiksmas"
"Add New Address","Pridėti naują adresą"
"Add New Customer","Pridėti naują klientą"
"Add New Customer Group","Nauja klientų grupę"
"Added From","Pridėta iš"
"Additional Address Entries","Papildomas adreso įrašas"
"Address","Adresas"
"Address Book","Adresų knygelė"
"Address Information","Adreso informacija"
"Addresses","Adresai"
"Admin","Administratorius"
"All","Visi"
"All Store Views","Visi Parduotuvės Vaizdai"
"All countries","Visos šalys"
"Always optional","Always optional"
"Amount","Kiekis"
"Approved","Patvirtinta"
"Are you sure that you want to remove this item?","Ar tikrai norite pašalinti šį elementą?"
"Are you sure you want to cancel adding of this address?","Ar tikrai norite atšaukti šio adreso įrašymą?"
"Are you sure you want to delete this address?","Ar tikrai norite pašalinti adresą?"
"Are you sure?","Ar esate tikras?"
"Array of Entity collections is expected","Reikšmių įrašai tinkami"
"Assign a customer group","Priskirti pirkėjų Grupei"
"Average Sale","Pardavimų vidurkis"
"Back","Atgal"
"Back to Login","Grįžti į prisijungimą"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Mokėtojo adresas"
"Bought From","Nupirkta iš"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Susikūrę sąskaitą mūsų parduotuvėje galėsite pirkti prekes, išsaugoti skirtingus pristatymo adresus, sekti savo užsakymus ir dar daugiau."
"CSV","CSV"
"Can't save address","Neįmanoma išsaugoti adreso"
"Can't save customer","Neįmanoma išsaugoti kliento"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Atšaukti "
"Change Account Password","Pakeisti sąskaitos slaptažodį"
"Change Billing Address","Pakeisti Mokėtojo adresą"
"Change Password","Keisti slaptažodį"
"Change Shipping Address","Pakeisti pristatymo adresą"
"City","Miestas"
"Company","Įmonė"
"Config","Nustatyti"
"Confirm New Password","Patvirtinkite slaptažodį"
"Confirm Password","Patvirtinti slaptažodį"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Kontaktinė informacija"
"Continue Shopping","Tęsti pirkimą"
"Country","Šalis"
"Create","Create"
"Create New Account Options","Sukurte Naują Sąskaitos Opciją"
"Create New Customer Account","Sukurti naują kliento sąskaitą"
"Create Order","Sukurti užsakymą"
"Create an Account","Registruokitės"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Dabartinis slaptažodis"
"Customer","Klientas"
"Customer Addresses","Kliento adresai"
"Customer Api","Customer Api"
"Customer Configuration","Pirkėjų valdymas"
"Customer Group","Pirkėjo grupė"
"Customer Group was successfully deleted","Pirkėjų grupė sėkmingai pašalinta"
"Customer Group was successfully saved","Pirkėjų grupė sėkmingai išsaugota"
"Customer Groups","Pirkėjų grupės"
"Customer Information","Kliento informacija"
"Customer Login","Jungtis Pirkėjams"
"Customer Since","Klientas nuo"
"Customer View","Kliento peržiūra"
"Customer collection expected","Kliento kolekcija laukiama"
"Customer doesn't have primary billing address","Pirkėjas nenurodė Pagrindinio Mokėtojo adreso"
"Customer email already exists","Kliento el.paštas jau egzistuoja"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Klientai"
"Customers Only","Tik klientams"
"Customers Section","Customers Section"
"DD","DD"
"Date","Data"
"Date Added","Data pridėta"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Dienos Pažymėtų sąraše"
"Default Addresses","Įprasti adresai"
"Default Billing Address","Įprastas mokėjimo adresas"
"Default Email Domain","Numatytas el.pašto Domenas"
"Default Group","Numatyta Grupė"
"Default Shipping Address","Įprastas pristatymo adresas"
"Default Welcome Email","Default Welcome Email"
"Delete","Šalinti"
"Delete Address","Šalinti adresą"
"Delete Customer","Šalinti klientą"
"Delete Customer Group","Šalinti klientų grupę"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Pašalintos Parduotuvės"
"Details","Detalės"
"Disabled","Išjungta"
"Edit","Redaguoti"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Redaguoti sąskaitos informaciją"
"Edit Address","Redaguoti adresą"
"Edit Address Entry","Redaguoti adreso įrašą"
