"Attempt to add an invalid object","Bandote įkelti negaliojantį objektą"
"Attribute '%s' used in configurable products.","Savybė '%s' naudojama prekės konfigūracijoje."
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Attribute used in configurable products.","Savybė naudojama prekių konfigūracijoje."
"Attribute with the same code","Savybės su tuo pačiu kodu"
"Data integrity: No header row found for attribute","Informacijos integravimas: Nieko nepriskirta savybei"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","Pagrindinės opcijos nepasirinktos"
"EAV types and attributes","EAV types and attributes"
"Entity collection expected","Objektų rinkinys tinkamas"
"Entity collections expected","Objektų rinkinys tinkamos"
"Entity is not initialized","Objektas neįkrautas"
"Failed to load node %s from config.","Failed to load node %s from config."
"Frontend label is not defined","Priekinio puslapio etiketė nepasirinkta"
"Invalid alias, already exists in joined attributes","Klaidingas pavadinimas, jau yra įrašytas į savybes"
"Invalid attribute name: %s","Negaliojantis savybės pavadinimas: %s"
"Invalid attribute requested: %s","Negaliojančios savybės užklausimas: %s"
"Invalid attribute type","Negaliojantis savybės tipas"
"Invalid character encountered in increment ID: %s","Netinkami simboliai didėjančiame ID: %s"
"Invalid data object key","Neteisingi objekto rakto duomenys"
"Invalid entity specified","Neteisinga pasirinkimo specifikacija"
"Invalid entity supplied","Neteisingas pasirinkimo sujungimas"
"Invalid entity supplied: %s","Neteisingas pasirinkimo sujungimas: %s"
"Invalid entity type","Neteisingas pasirinkimo tipas"
"Invalid entity_id, skipping the record","Neteisingas entity_id, įrašas atmestas"
"Invalid entity_type specified: %s","Neteisingas entity_type skirtas: %s"
"Invalid foreign key","Neteisingas išorės raktas"
"Invalid joined fields","Neteisingas prisijungimas prie laukų"
"Invalid store specified","Klaidingai pasirinkta parduotuvė"
"Joined field or attribute expression with this alias is already declared","Sujungtas laukas ar požymio pavadinimas su šiuo pavadinimu jau yra paskelbtas"
"Joined field with this alias (%s) is already declared","Sujungtas laukas su požymiu (%s) jau yra paskelbtas"
"Joined field with this alias is already declared","Sujungtas laukas su požymiu jau yra paskelbtas"
"Loaded %d records","Įkelta %d įrašų"
"No","Ne"
"No options found in config node %s","No options found in config node %s"
"Problem loading a record, aborting. Error: %s","Problemos įkeliant įrašus, atšaukta. Klaida: %s"
"Problem loading the collection, aborting. Error: %s","Problemos įkeliant kolekciją, atšaukta. Klaida: %s"
"Problem saving a record, aborting. Error: ","Problemos saugant įrašus, atšaukta. Klaida: "
"Problem saving the collection, aborting. Error: %s","Problemos išsaugant prekių rinkinius, nutraukiama. Klaida: %s"
"Saved ","Išsaugota "
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed, because the attribute is used in configurable products."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","The attribute code '%s' is reserved by system. Please, try another attribute code."
"Unknown parameter","Nežinomas parametras"
"Valid store_id is expected!","Galiojantis store_id yra tinkamas!"
"Value of attribute ""%s"" must be unique","Savybės reikšmė ""%s"" negali kartotis"
"Wrong attribute ID","Neteisingas savybės ID"
"Wrong attribute group ID","Neteisingas savybės grupės ID"
"Wrong attribute set ID","Neteisingas savybių komplekto ID"
"Wrong entity ID","Neteisingas objekto ID"
"Yes","Taip"
