"API Login ID","API Prisijungimo ID"
"Authorize Only","Tik Autorizuoti"
"Authorize and Capture","Autorizuokite ir Siųskite"
"Authorize.net","Authorize.net"
"Credit Card Types","Kreditinės kortelės tipai"
"Credit Card Verification","Kreditinės kortelė Autorizacija"
"Debug","Derinti"
"Email customer","Kliento el.paštas"
"Enabled","Įjungta"
"Error in authorizing the payment","Klaida autorizuojant mokėjimą"
"Error in capturing the payment","Klaida gaunant mokėjimą"
"Error in payment gateway","Error in payment gateway"
"Error in refunding the payment","Klaida gr1žinant mokėjimą"
"Error in refunding the payment.","Klaida gražinant mokėjimą."
"Error in retrieving the transaction","Error in retrieving the transaction"
"Fraud order status","Apgaulingo užsakymo būklė"
"Gateway request error: %s","Vartų prašymo klaida: %s"
"Invalid amount for authorization","Neteisinga suma autorizacijoje"
"Invalid amount for authorization.","Neteisinga suma autorizacijoje."
"Invalid transaction id","Neteisinga transakcijos id"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","Pardavėjo prisijungimo duomenys"
"Merchant's email","Pardavėjo el.paštas"
"Minimum Order Total","Minimum Order Total"
"New order status","Nauja užsakymo būklė"
"Partner","Partneris"
"Password","Slaptažodis"
"Payflow Pro","Payflow Pro"
"Payment Action","Mokėjimo Veiksmas"
"Payment authorization error.","Mokėjimo Autorizacijos klaida."
"Payment authorization transaction has been declined.","Mokėjimo transakcijos autorizacija atšaukta."
"Payment from Specific countries","Mokėjimas iš Specifinių šalių"
"Payment from applicable countries","Mokėjimas iš esamų šalių"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Rūšiavimo tvarka"
"TENDER","KONKURSAS"
"Test mode","Testas"
"Title","Pavadinimas"
"Transaction key","Transakcijos raktas"
"URL","URL"
"Use Proxy","Use Proxy"
"User","Pirkėjas"
"VERBOSITY","DAUGIAŽODIŠKUMAS"
"Voided transaction","Panaikintas sandoris"
