"Add Recipient","Tambah Penerima"
"Allow for Guests","Allow for Guests"
"Email Address","Alamat Emel"
"Email Address:","Alamat Emel:"
"Email templates","Email templates"
"Email to a Friend","Emel kepada Kawan"
"Email:","Emel:"
"Enabled","Enabled"
"Limit Sending By","Limit Sending By"
"Link to a friend was sent.","Link to a friend was sent."
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Max Recipients","Penerima Maxsimum"
"Maximum %d email addresses allowed.","Maximum %d alamat emel dibenarkan."
"Message:","Mesej:"
"Name","Nama"
"Name:","Nama:"
"Recipient:","Penerima:"
"Remove Email","Mengeluarkan Emel"
"Select email template","Select email template"
"Send email","Hantar Emel"
"Send product to a friend","Hantar produk kepada kawan"
"Sender:","Sender:"
"Some emails was not sent","Beberapa emel tidak dihantar"
"Some problems with data.","Some problems with data."
"You cannot email this product to a friend","Anda tidak boleh emel produk ini kepada rakan"
"You cannot send more than %d times in an hour","Anda tidak boleh menghantar lebih daripada %d kali dalam satu jam"
