"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - i minutter"
"Daily","Daglig"
"Failure history lifetime","Varighet feilhistorikk"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set"
"Generate schedules every","Generer timeplan hver"
"History cleanup every","Rydd opp i historie hver"
"Invalid callback: %s::%s does not exist","Ugyldig: %s::%s eksisterer ikke"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition. Expecting ""model/class::method""."
"Missed if not run within","Droppet hvis ikke kjørt innen"
"Monthly","MÃ¥nedlig"
"No callbacks found","Fant ingen"
"Schedule ahead for","Planlegg fremover for"
"Success history lifetime","Varighet suksesshistorikk"
"Too late for the schedule","For send for timeplanen"
"Unable to save Cron expression","Kunne ikke lagre planlagt oppgave"
"Unknown error","Ukjent feil"
"Weekly","Ukentlig"
