"Attempt to add an invalid object","Forsøk på å legge til et ugyldig objekt"
"Attribute '%s' used in configurable products.","Attributtet '%s' brukes i konfigurerbare produkter."
"Attribute set with the ""%s"" name already exists","Attributtsett med ""%s"" eksisterer allerede"
"Attribute used in configurable products.","Attributtet brukes i konfigurerbare produkter."
"Attribute with the same code","Attributt med samme kode"
"Data integrity: No header row found for attribute","Dataintegritet: Ingen overskriftsrad for attributt"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort"
"Default option value is not defined","Standard valgverdi ikke definert"
"EAV types and attributes","EAV typer og attributer"
"Entity collection expected","Instanssamling forventet"
"Entity collections expected","Instanssamlinger forventet"
"Entity is not initialized","Instansen er ikke klargjort"
"Failed to load node %s from config.","Failed to load node %s from config"
"Frontend label is not defined","Frontend-etikett er ikke definert"
"Invalid alias, already exists in joined attributes","Ugyldig alias, eksisterer allerede i sammenføyde attributter"
"Invalid attribute name: %s","Ugyldig attributtnavn: %s"
"Invalid attribute requested: %s","Ugyldig attributtforespørsel: %s"
"Invalid attribute type","Ugyldig attributtype"
"Invalid character encountered in increment ID: %s","Ugyldig tegn i inkrement-ID: %s"
"Invalid data object key","Ugyldig dataobjektnøkkel"
"Invalid entity specified","Ugyldig instans spesifisert"
"Invalid entity supplied","Ugyldig instans"
"Invalid entity supplied: %s","Ugyldig instans: %s"
"Invalid entity type","Ugyldig instanstype"
"Invalid entity_id, skipping the record","Ugyldig entity_id, hopper over oppføringen"
"Invalid entity_type specified: %s","Ugyldig entity_type oppgitt: %s"
"Invalid foreign key","Ugyldig fremmednøkkel"
"Invalid joined fields","Ugyldig sammenføyde felter"
"Invalid store specified","Ugyldig butikk spesifisert"
"Joined field or attribute expression with this alias is already declared","Sammenføyd felt eller attributtutrykk med dette aliaset er allerede opprettet"
"Joined field with this alias (%s) is already declared","Sammenføyd felt med alias (%s) er allerede opprettet"
"Joined field with this alias is already declared","Sammenføyd felt med dette aliaset er allerede opprettet"
"Loaded %d records","Lastet %d oppføringer"
"No","Nei"
"No options found in config node %s","No options found in config %s"
"Problem loading a record, aborting. Error: %s","Problem ved lasting av oppføring, avbryter. Feil: %s"
"Problem loading the collection, aborting. Error: %s","Problem ved lasting av samling, avbryter. Feil: %s"
"Problem saving a record, aborting. Error: ","Problem under lagring av oppføring, avbryter. Feil: "
"Problem saving the collection, aborting. Error: %s","Problem ved lagring av denne samlingen. Feil: %s"
"Saved ","Lagret "
"Scope must not be changed, because the attribute is used in configurable products.","Scope must not be changed because the attribute is used in configurable products."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","Attributtkoden '%s' er reservert. Bruk en annen."
"Unknown parameter","Ukjent parameter"
"Valid store_id is expected!","Gyldig store_id forventet!"
"Value of attribute ""%s"" must be unique","Attributtet ""%s"" må ha en unik verdi"
"Wrong attribute ID","Feil attributt-ID"
"Wrong attribute group ID","Feil attributtgruppe-ID"
"Wrong attribute set ID","Feil attributtsett-ID"
"Wrong entity ID","Feil instans-ID"
"Yes","Ja"
