"Abandoned carts","Ufullstendige handler"
"Action","Handling"
"Add to Cart","Legg i handlekurven"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"Applied Coupon","Rabattkode"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Bestselgere"
"Bought from wishlists","Kjøpt fra ønskeliste"
"CSV","CSV-format"
"Carrier/Method","Transportør/Metode"
"Carts","Handlekurver"
"Coupons","Rabattkoder"
"Created at","Opprettet"
"Customer","Kunde"
"Customer Name","Kundenavn"
"Customer Tags","Kundetagger"
"Customers","Kunder"
"Customers Report","Kunderapport"
"Customers Reviews","Kundeomtaler"
"Customers Tags","Kundetagger"
"Customers by number of orders","Kunder etter antall bestillinger"
"Customers by orders total","Kunder etter ordretotal"
"Customers that have wishlist: %s%","Kunder som har ønskeliste: %s%"
"Day","Dag"
"Default Recently Compared Products count","Nylig sammenlignede produkter"
"Default Recently Viewed Products count","Nylig viste produkter"
"Detail","Detalj"
"Discounts","Rabatter"
"Downloads","Nedlastinger"
"Email","Epost"
"Excel","MS Excel"
"First Name","Fornavn"
"Guest","Gjest"
"Hits","Treff"
"ID","ID:"
"Invalid date specified","Ugyldig dato"
"Invoiced","Fakturert"
"Items Ordered","Bestilte varer"
"Items in Cart","Varer i handlekurven"
"Last Name","Etternavn"
"Last Review","Siste omtale"
"Link","Link"
"Low stock","Lav lagerbeholdning"
"Month","Måned"
"Most Viewed","Mest Vist"
"Most viewed","Mest vist"
"Name","Navn"
"New Accounts","Nye kontoer"
"Number Added","Antall lagt til"
"Number Fulfilled","Antall innfridd"
"Number Of Historical Uses","Totalt antall anvendelser"
"Number Of Reviews","Antall omtaler"
"Number Of Uses","Antall anvendelser"
"Number Purchased","Antall kjøpt"
"Number Viewed","Antall vist"
"Number of Items","Antall varer"
"Number of Ivoiced Orders","Antall fakturerte ordrer"
"Number of New Accounts","Antall nye kontoer"
"Number of Orders","Antall bestillinger"
"Number of Refunded Orders","Antall refunderte ordrer"
"Number of Reviews","Antall omtaler"
"Number of Total Tags","Totalt antall tagger"
"Number of Unique Tags","Antall unike tagger"
"Number of Views","Antall visninger"
"Number of items bought from a wishlist: %s","Antall varer kjøpt fra en ønskeliste: %s"
"Number of times deleted","Antall ganger slettet"
"Number of times wishlists have been shared (emailed): %s","Antall ganger en ønskeliste har blitt delt via e-post: %s"
"Number of wishlist conversions: %s","Antall innfridde ønskelister: %s"
"Number of wishlist referrals: %s","Antall ønskelistehenvisninger: %s"
"Number of wishlists: %s","Antall ønskelister: %s"
"Offline Refunded","Tilbakebetalt offline"
"Online Refunded","Tilbakebetalt online"
"Orders","Bestillinger"
"Out of stock","Utsolgt"
"Poducts Report","Produktrapport"
"Popular Tags","Populære tagger"
"Popularity","Popularitet"
"Price","Pris"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Product Sku","Varekode"
"Product Tags","Produkttagger"
"Products","Produkter"
"Products Report","Produktrapport"
"Products Reviews","Produktomtaler"
"Products Sold","Products Sold"
"Products Tags","Produkttagger"
"Products in carts","Produkter i handlekurver"
"Purchases","Purchases"
"Quantity Ordered","Antall bestilt"
"Quantity of Items","Vareantall"
"Rate","Rangering"
"Recently Compared Products","Nylig sammenlignede produkter"
"Recently Viewed Products","Nylig viste produkter"
"Recently Viewed/Compared Products","Nylig viste/sammenlignede produkter"
"Refunded","Tilbakebetalt"
"Reports","Rapporter"
"Results","Resultater"
"Revenue","Omsetning"
"Review","Omtale"
"Reviews","Produktomtaler"
"Reviews for %s","Omtaler for %s"
"Sales","Salg"
"Sales Report","Salgsrapport"
"Search Terms","Søkefraser"
"Shipping","Forsendelse"
"Shopping Cart","Handlekurv"
"Show for Current","Vis for gjeldende"
"Stock Qty","Lagerbeholdning"
"Submitted In","Sendt i"
"Submitted On","Sendt inn"
"Subtotal","Delsum"
"Tag","Tagg"
"Tag ""%s"" details","Detaljer for tagg ""%s"""
"Tag Detail","Detaljer for tagg"
"Tag Name","Taggnavn"
"Tag use","Taggbruk"
"Tags submited by %s","Tagger sendt inn av %s"
"Tags submitted to %s","Tagger sendt til %s"
"Tax","Moms"
"Tax Amount","Momsbeløp"
"Title","Tittel"
"Total","Totalt"
"Total Invoiced","Totalt fakturert"
"Total Invoiced Captured","Totalt fakturert og bekreftet"
"Total Invoiced not Captured","Totalt fakturert, ikke bekreftet"
"Total Refunded","Totalt tilbakebetalt"
"Total Shipping","Totalt frakt"
"Total Tags","Totalt antall tagger"
"Total invoiced","Totalt fakturert"
"Total refunded","Totalt tilbakebetalt"
"Updated at","Oppdatert på"
"Visible In","Synlig i"
"Wishlist Report","Ønskelisterapport"
"Wishlist vs. Regular Order","Ønskeliste vs. standard bestilling"
"Wishlists","Ønskelister"
"Year","År"
"Your Recently Compared","Nylig sammenlignede produkter"
"Your Recently Viewed","Nylig viste rapporter"
