" The customer doesn't exist in the system anymore","The klant zit niet meer in het systeem."
" and ","en"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absoluut of relatief pad naar Magento installatie-root, bijv. var/export)"
"(For US 2-letter state names)","(Voor 2-letter-codes van staten in VS)"
"(If left empty will be auto-generated)","(Als u deze leeg laat, wordt er een gegenereerd)"
"(Leave empty for first spreadsheet)","(Laat leeg voor eerste spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Producten worden toegevoegd/ge&uuml;pdate naar deze winkel als de kolom Winkel ontbreekt of  leeg is in het importbestand.)"
"(Shift-)Click or drag to change value","Wijzig de waarde met (shift-)klik of slepen"
"(Starting with)","(Beginnend met)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bij &34;Nee &34; worden alleen ingedeelde velden ge&iuml;mporteerd. Gebruik voor indelen &34;kolom1 &34;,  &34;kolom &34;, etc.)"
"(You have to increase php memory_limit before changing this value)","(U moet de php memory_limit verhogen voordat u deze waarde verandert.)"
"(\t for tab)","(t voor tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* Als er een indexering gaande is, wordt deze gestopt en start een nieuwe indexering."
"- Click on any of the time parts to increase it","- Klik op een deel van de tijdnotatie om het te verhogen"
"- Hold mouse button on any of the above buttons for faster selection.","Houd muisknop vast op een knop hierboven voor snelle selectie"
"- Use the %s buttons to select month","-- Selecteer de maand met de %s knoppen"
"- Use the %s, %s buttons to select year","-- Selecteer het jaar met de %s, %s knoppen"
"- or Shift-click to decrease it","of shift-klik om het te verlagen"
"- or click and drag for faster selection.","of klik en sleep voor snelle selectie"
"-- Please Select --","-- Selecteer a.u.b. --"
"-- Please select --","-- Selecteer a.u.b. --"
"-- Please select a category --","-- Selecteer een categorie a.u.b. --"
"--Please Select--","--Selecteer a.u.b.--"
"1 Hour","1 uur"
"12 Hours","12 uur"
"12h AM/PM","12uur Ochtend/Avond"
"2 Hours","2 uur"
"24 Hours","24 uur"
"24h","24uur"
"2YTD","Afgelopen 2 jaar."
"6 Hours","6 uur"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Pagina niet gevonden.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Toegang geweigerd</h1><p>Toegang geweigerd.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Er is een nieuw wachtwoord naar u toe gestuurd. Controleer uw email, klik op Terug en log in."
"API Stability","API stabiliteit"
"API Version","API versie"
"API:","API:"
"About the calendar","Over de kalender"
"Access Denied.","Toegang geweigerd."
"Access Deny","Toegang weigeren."
"Account Created in:","Account gemaakt in:"
"Account Created on (%s):","Account gemaakt op (%s):"
"Account Created on:","Account gemaakt op:"
"Account Information","Account-gegevens"
"Account status","Account-status"
"Account successfully saved","Account met succes opgeslagen"
"Action","Actie"
"Actions","Acties"
"Actions XML","Acties XML"
"Active","Actief"
"Add","Toevoegen"
"Add Contents Path","Content-pad toevoegen"
"Add Exception","Uitzondering toevoegen"
"Add Field Mapping","Veldverwijzingen toevoegen"
"Add Field with URL:","Veld met URL toevoegen"
"Add Maintainer","Beheerder toevoegen"
"Add New Image","Nieuwe afbeelding toevoegen"
"Add New Profile","Nieuw profiel toevoegen"
"Add New Role","Nieuwe Rol toevoegen"
"Add New Template","Nieuwe template toevoegen"
"Add New Urlrewrite","Nieuwe Url-rewrite toevoegen"
"Add New User","Nieuwe gebruiker toevoegen"
"Add New osCommerce Profile","Nieuw osCommerce-profiel toevoegen"
"Add PHP Extension dependency","PHP extension dependency toevoegen"
"Add Package dependency","Package dependency toevoegen"
"Add Subpackage dependency","Subpackage dependency toevoegen"
"Add Urlrewrite","URLrewrite toevoegen"
"Add Urlrewrite for a Category","URLrewrite voor categorie toevoegen"
"Add Urlrewrite for a Product","URLrewrite voor product toevoegen"
"Add after","Toevoegen na"
"Add new Role","Nieuwe Rol toevoegen"
"Add new store view map","Nieuwe winkelzicht map toevoegen"
"Add new website map","Nieuwe website map toevoegen"
"Address Type:","Adrestype:"
"Admin","Beheerder"
"Advanced Admin Section","Sectie Geavanceerde Admin"
"Advanced Profiles","Geavanceerde profielen"
"Advanced Section","Sectie Geavanceerd"
"Aggregate Order","Volgorde samenvoegen"
"All","Alle"
"All Allowed Countries","Alle toegestane landen"
"All Cache","Hele cache"
"All Files","Alle bestanden"
"All Store Views","Alle winkel-zichten"
"All Tags","Alle tags"
"All Websites","Alle websites"
"All countries","Alle landen"
"All fields","Alle velden"
"All possible rates were fetched, click on ""Save"" to apply","Alle mogelijke koersen zijn opgehaald, klik op &quot;Opslaan&quot; om te gebruiken"
"All rates were fetched, click on ""Save"" to apply","Alle koersen zijn opgehaald, klik op &quot;Opslaan&quot; om te gebruiken"
"All valid rates successfully saved","Alle geldige koersen zijn met succes opgeslagen"
"Amounts","Bedragen"
"Any","Elke"
"Any Attribute Set","Iedere attributen-set"
"Any Group","Elke groep"
"Any Status","Elke status"
"Any Store","Elke winkel"
"Any Type","Elk type"
"Any Visibility","Elke zichtbaarheid"
"Api Key","API-sleutel"
"Api Key Confirmation","API-sleutelbevestiging"
"Archive file name:","Bestandsnaam archief:"
"Are you sure that you want to delete this template?","Weet u zeker dat u deze template wilt verwijderen?"
"Are you sure that you want to strip tags?","Weet u zeker dat u tags wilt verwijderen?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Are you sure you wish to INSTALL all selected packages?","Weet u zeker dat u alle geselecteerde pakketten wilt installeren?"
"Are you sure you wish to UNINSTALL all selected packages?","Weet u zeker dat u alle geselecteerde pakketten wilt de-installeren?"
"Are you sure you wish to UPGRADE all selected packages?","Weet u zeker dat u alle geselecteerde pakketten wilt upgraden?"
"Area","Gebied"
"Assigned","Toegewezen"
"Attribute Set Name:","Naam attributen-set:"
"Attribute set successfully saved.","Attributen-set is met succes opgeslagen"
"Attribute set was successfully removed.","Attributen-set is met succes verwijderd"
"Attributes","Attributen"
"Available Products","Beschikbare producten"
"Available Version","Beschikbare versie"
"Average Order Amount","Gemiddeld bestelbedrag"
"Average Orders","Gemiddeld aantal orders"
"Back","Terug"
"Back to Login","Terug naar log-in venster"
"Back to local packages","Terug naar lokale pakketten"
"Backup","Back-up"
"Backup record was deleted","Back-up item is verwijderd"
"Backup successfully created","Back-up met succes gemaakt"
"Backups","Back-ups"
"Base currency","Basis-valuta"
"Bcc","Bcc"
"Bestsellers","Meest verkocht"
"Big Image","Grote afbeelding"
"Billing Address","Factuuradres"
"Billing address","Factuuradres"
"Block Information","Blok informatie"
"Both (without and with tax)","Beide (met en zonder BTW)"
"Browse Available Extensions","Beschikbare extensies doorbladeren"
"Browse Available Remote Extensions","Blader door extensies op afstand"
"Browse Files...","Blader door bestanden..."
"Bundle Items","Bundel-artikelen"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Een bundel met dynamische prijzen kan geen eigen opties bevatten. Opties worden niet opgeslagen."
"CRITICAL","KRITIEK"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab-gescheiden"
"Cache Control","Cache-beheer"
"Cache Control (beta)","Cache-instellingen (beta)"
"Cache Management","Cache-beheer"
"Can not add new comment.","Kan geen nieuwe notitie toevoegen."
"Can not add tracking number.","Kan geen tracking-nummer toevoegen."
"Can not delete tracking number.","Kan het tracking-nummer niet verwijderen."
"Can not do credit memo for order","Kan geen creditnota maken voor de order."
"Can not do invoice for order","Kan geen factuur maken voor de bestelling."
"Can not do shipment for order.","Kan geen verzending aanmaken voor de bestelling."
"Can not initialize shipment for adding tracking number.","Kan verzending niet starten bij het toevoegen van het tracking-nummer."
"Can not initialize shipment for delete tracking number.","Kan verzending niet starten bij het verwijderen van het tracking-nummer."
"Can not load track with retrieving identifier.","Kan de tracking niet laden voor de ontvangende identifier."
"Can not retrieve tracking number detail.","Kan geen details ophalen van tracking-nummer."
"Can not save credit memo","Kan de creditnota niet opslaan."
"Can not save invoice","Kan de factuur niet opslaan."
"Can not save shipment.","Kan de zending niet opslaan."
"Can not send shipment information.","Kan de verzendgegevens niet versturen."
"Can not update item qty","Kan de artikel-hoeveelheid niet veranderen."
"Can't delete design change","Kan ontwerp-verandering niet verwijderen."
"Can't find email address.","Kan het email adres niet vinden."
"Cancel","Annuleren"
"Card Verification Number","Kaart-verificatienummer"
"Catalog","Catalogus"
"Catalog Rewrites","Catalogus Rewrites"
"Catalog Rewrites was refreshed successfully","Catalogus Rewrites is met succes ververst."
"Catalog Rewrites were refreshed successfully","Catalogus Rewrites is met succes ververst."
"CatalogInventory Stock Status rebuild error. Please try again later","Catalogus voorraad status opbouw fout. Probeer het later nog eens."
"CatalogInventory Stock Status was rebuilt successfully","Catalogus voorraad status is succesvol herbouwd."
"Category","Categorie"
"Category:","Categorie:"
"Changelog","Wijzigingen-log"
"Channel","Kanaal"
"Channel:","Kanaal:"
"Checkbox","Checkbox"
"Choose Store View","Winkelzicht kiezen"
"Choose an attribute","Attribuut kiezen"
"Clear","Legen"
"Close","Sluiten"
"Comment text field can not be empty.","Tekstveld Notitie mag niet leeg zijn."
"Comments History","Eerdere notities"
"Complete","Voltooid"
"Configuration","Configuratie"
"Configuration successfully saved","Configuratie met succes opgeslagen"
"Confirmed email:","Bevestigde email:"
"Conflicts","Conflicten"
"Connect with the Magento Community","Verbinden met de Magento gemeenschap"
"Contents","Inhoud"
"Convert to Plain Text","Omzetten naar platte tekst"
"Cookie (Unsafe)","Cookie (Onveilig)"
"Country","Land"
"Country:","Land:"
"Coupon Code","Kortingscode"
"Coupons","Kortingsbonnen"
"Create","Aanmaken"
"Create DB Backup","DB-backup aanmaken"
"Create Extension Package","Extensiepakket aanmaken"
"Create New Attribute","Nieuw attribuut aanmaken"
"Create New Staging Store View","Maak nieuwe Staging winkelinzicht aan"
"Create Urlrewrite:","URLrewrite aanmaken"
"Create a backup","Maak een backup"
"Created <strong>%s</strong> items","<strong>%s</strong> items aangemaakt"
"Created At","Aangemaakt op"
"Credit Card Number","Creditcard Nummer"
"Credit Card Number: xxxx-%s","Creditcard-nummer: xxxx-%s"
"Credit Card Type","Creditcard-type"
"Credit Card Type: %s","Creditcard-type: %s"
"Credit Memo #%s comment added","Notitie toegevoegd aan creditnota #%s"
"Credit Memo #%s created","Creditnota #%s gemaakt"
"Credit Memo History","Creditnota geschiedenis"
"Credit Memo Totals","Totaal creditnota's"
"Credit Memo cancel error.","Annuleringsfout creditnota"
"Credit Memo total must be positive.","Totaal creditnota moet positief zijn."
"Credit Memo void error","Verwijderingsfout creditnota"
"Credit Memo was successfully canceled.","Creditnota is met succes geannuleerd."
"Credit Memo was successfully created","Creditnota is met succes aangemaakt."
"Credit Memo was successfully voided","Creditnota is met succes verwijderd."
"Currency","Valuta"
"Currency Information","Valuta-gegevens"
"Currency Setup Section","Sectie Valuta-instellingen"
"Current Configuration Scope:","Scope huidige configuratie"
"Current Release Information","Gegevens huidige release"
"Custom","Op maat"
"Customer","Klant"
"Customer Group:","Klantengroep:"
"Customer Name","Klantnaam"
"Customer Since:","Klant sinds:"
"Customer was deleted","Klant is verwijderd"
"Customer was successfully saved","Klant is met succes opgeslagen"
"Customer with the same email already exists.","Er is al een klant met hetzelfde e-mail adres."
"Customers","Klanten"
"DHTML Date/Time Selector","DHTML datum/tijd-kiezer"
