"--Select--","--Kies--"
"Add New Option","Nieuwe optie toevoegen"
"Add Selection","Selectie toevoegen"
"As low as","Slechts"
"Bundle Items","Bundel-artikelen"
"Bundle Product","Bundelproduct"
"Buy %1$s with %2$s discount each","Bestel %1$s met %2$s korting"
"Checkbox","Checkbox"
"Choose a selection...","Kies een selectie..."
"Close","Sluiten"
"Default","Standaard"
"Default Qty","Standaard-aantal"
"Default Title","Standaard-titel"
"Drop-down","Drop-down"
"Dynamic","Dynamisch"
"Excl. Tax","Excl. BTW"
"Fixed","Vast"
"From","Van"
"From:","Van:"
"Gift Message","Bericht bij cadeau"
"Incl. Tax","Incl. BTW"
"Input Type","Type invoerveld"
"Is Required","Is verplicht"
"Message:","Bericht:"
"Multiple Select","Meervoudige selectie"
"N/A","N/B"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"None","Geen"
"Percent","Percentage"
"Percent Discount","Kortingspercentage"
"Please enter search conditions to view products.","Vul zoekcriteria in om producten te bekijken"
"Please select options for product.","Kies opties voor het product a.u.b."
"Please select products to add","Kies producten om toe te voegen a.u.b."
"Please specify product option(s)","Specificeer de product-opties a.u.b."
"Position","Positie"
"Price Range","Prijsrange"
"Price Type","Prijstype"
"Price as configured","Prijs zoals weergegeven"
"Qty:","Aantal"
"Radio Buttons","Radio buttons"
"Required options not selected.","Verplichte opties niet geselecteerd"
"Selected required options not available.","Geselecteerde verplichte opties niet beschikbaar"
"Separately","Apart"
"Ship Bundle Items","Bundel-artikelen verzenden"
"Shipment","Verzending"
"Store View Title","Zichttitel bewaren"
"There is no defined renderer for ""%s"" option type","Er is geen weergave gedefinieerd voor optietype “%s”"
"This product is also part of bundle(s)","Dit product is ook onderdeel van één of meer bundels"
"To","Aan"
"To:","Tot:"
"Together","Samen"
"User Defined Qty","Door gebruiker gedefinieerd aantal"
