"(Make sure you keep it in a safe place.)","(Zorg ervoor dat u het goed bewaard.)"
"(Optional. Leave blank for no prefix)","(Optioneel. Laat het veld leeg voor geen voorvoegsel)"
"(ver. %s)","(versie %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Extra pad toegevoegd achter de Basis-URL om uw Admin Paneel te bereiken (bv. admin, backend, control etc.)"
"Admin Path","Admin pad"
"After successfull installation please click the button below.","Na een succesvolle installatie, a.u.b. op de onderstaande knop klikken."
"All packages were installed successfully, click 'Ok' to continue with installation","De installatie is succesvol verlopen. Klik op OK om verder te gaan met de installatie"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Als alternatief kunt u de ""Handmatige Downloads en Upgrades"" methode proberen."
"Base URL","Basis-URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Noteer uw encryptiesleutel voordat u weer naar uw winkel gaat! (Magento gebruikt deze om wachtwoorden, creditcards etc. te versleutelen.)"
"Check out our","Bekijk onze"
"Check this box only if it is not possible to automatically validate Base URL.","Alleen aanvinken als het niet mogelijk is om de Base-URL automatisch te valideren."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Alleen aanvinken als het niet mogelijk is de Secure-URL automatisch te valideren, bijvoorbeeld als HTTP-authenticatie verplicht is."
"Choose this if you would like to test frontend and backend functionality.","Kies dit als u de functionaliteit van het front-end en back-end wilt testen."
"Configuration","Configuratie"
"Confirm Password","Bevstig het wachtwoord"
"Connection","Verbinding"
"Continue","Ga verder"
"Continue After Manual Download","Ga verder na handmatige download"
"Continue Full Download / SVN Installation","Volledige Download / SVN Installatie vervolgen"
"Create Admin Account","Admin-account aanmaken"
"Currently this is the most stable state available for Magento packages.","Dit is momenteel de meest stabiele versie die beschikbaar is voor Magento pakketten."
"Database","Database"
"Database Connection","Database-verbinding"
"Database Name","Database-naam"
"Database connection error","Fout in database-verbinding"
"Database host","Database host"
"Database server does not support InnoDB storage engine","De database server ondersteunt het InnoDB opslagsysteem niet"
"Database server version does not match system requirements (required: %s, actual: %s)","Database server versie voldoet niet aan systeem vereisten (verplicht: %s, werkelijk: %s)"
"Database user name","Database gebruikersnaam"
"Database user password","Database gebruikerswachtwoord"
"Default Currency","Standaard-valuta"
"Download","Download"
"Download Magento Core Modules and Updates","Download Magento Core modules en updates"
"Downloading and installing Magento, please wait...","Bezig Magento te downloaden en te installeren. Even wachten a.u.b."
"Email","E-mail"
"Email Address","E-mailadres"
"Enable this option only if you have SSL available.","Deze optie alleen aanzetten als SSL beschikbaar is."
"Encryption Key","Encryptiesleutel"
"File system","Bestandsysteem"
"First Name","Voornaam"
