"%s Item(s)","%s artikel(en)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(versie %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","Klik <a href=""%s"">hier</a> als er niets gebeurrt"
"Close","Close"
"Close Window","Sluit venster"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","Standaard-omschrijving"
"Default welcome msg!","Standaard-welkomstbericht"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Help ons Magento gezond te houden."
"Interface Language","Interface-taal"
"Items %s to %s of %s total","Artikelen %s tot %s van %s in totaal"
"Next Page","Volgende pagina"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","Pagina:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","Vorige pagina"
"Redirecting...","Bezig met doorverwijzen..."
"Report All Bugs","Meld alle bugs."
"Select Store","Selecteer winkel"
"Select date","Select date"
"Show","Toon"
"Skip to Footer","Direct naar footer"
"Skip to Left Column","Direct naar linker kolom"
"Skip to Main Content","Ga direct naar hoofd-inhoud"
"Skip to Right Column","Direct naar rechter kolom"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dit is een demo-winkel. Een geplaatste bestelling zal niet worden verwerkt."
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","Welkom, %s!"
"You're currently on:","U bent momenteel op:"
"Your Language","Uw taal"
"Your Language:","Uw taal:"
"per page","per pagina"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
