" The customer doesn't exist in the system anymore","Klient nie istnieje już w systemie"
" and "," i "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ścieżka bezwzględna lub względna do katalogu głównego Magento, np. var/export)"
"(For US 2-letter state names)","(Dla US 2-literowe nazwy stanów)"
"(If left empty will be auto-generated)","(Pozostawione puste sprawi, że zostanie wygenerowane automatycznie)"
"(Leave empty for first spreadsheet)","(Pozostaw puste dla pierwszego arkusza)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkty zostaną dodane/zaktualizowane w tym sklepie jeśli kolumna 'store' będzie pusta lub nie będzie istniała w pliku importu.)"
"(Shift-)Click or drag to change value","kliknij trzymając Shift lub przeciągnij aby zmienić wartość"
"(Starting with)","(Zaczynając od)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Gdy 'Nie' tylko mapowane pola zostaną zaimportowane. Podczas mapowania używaj 'kolumna1', 'kolumna2', itd.)"
"(You have to increase php memory_limit before changing this value)","(Musisz zwiększyć ilość przydzielonej pamięci memory_value przed zmianą tej wartości)"
"(\t for tab)","(t dla tabulatora)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - jeśli indeksowanie jest w trakcie, zostanie zatrzymane i nowy proces zostanie rozpoczęty"
"- Click on any of the time parts to increase it","- Kliknij na dowolnej części kontrolki aby ją zwiększyć"
"- Hold mouse button on any of the above buttons for faster selection.","- Przytrzymaj przycisk myszy na powyższych przyciskach aby szybciej wybrać"
"- Use the %s buttons to select month","- Użyj przycisków %s aby wybrać miesiąc"
"- Use the %s, %s buttons to select year","- Użyj przycisków %s aby wybrać rok"
"- or Shift-click to decrease it","- lub kliknij trzymając Shift aby zmniejszyć"
"- or click and drag for faster selection.","- lub naciśnij i przeciągnij aby wybrać szybciej"
"-- Please Select --","-- Prosimy wybrać --"
"-- Please select --","-- Prosimy wybrać --"
"-- Please select a category --","-- Wybierz kategorię --"
"--Please Select--","-- Prosimy wybrać --"
"1 Hour","1 godz."
"12 Hours","12 godz."
"12h AM/PM","12h przed/po południu"
"2 Hours","2 godz."
"24 Hours","24 godz."
"24h","24 godz."
"2YTD","Od dwóch lat"
"6 Hours","6 godz."
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Błąd 404</h1><p>Strona nie została odnaleziona.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Błąd 403</h1><p>Dostęp zabroniony.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Nowe hasło zostało przesłane na twój adres e-mail. Sprawdź skrzynkę i kliknij na Powrót do logowania."
"API Stability","Stabilność API"
"API Version","Wersja API"
"API:","API:"
"About the calendar","O kalendarzu"
"Access Denied.","Odmowa dostępu."
"Access Deny","Odmowa dostępu"
"Account Created in:","Konto utworzono w:"
"Account Created on (%s):","Konto utworzono (%s):"
"Account Created on:","Konto utworzono:"
"Account Information","Dane konta"
"Account status","Status konta"
"Account successfully saved","Konto zostało zapisane"
"Action","Operacja"
"Actions","Operacje"
"Actions XML","XML operacji"
"Active","Aktywny"
"Add","Dodaj"
"Add Contents Path","Adres ścieżkę zawartości"
"Add Exception","Dodaj wyjątek"
"Add Field Mapping","Dodaj mapowanie pól"
"Add Field with URL:","Dodaj pole z URL:"
"Add Maintainer","Dodaj obsługę"
"Add New Image","Dodaj nowy obraz"
"Add New Profile","Dodaj nowy profil"
"Add New Role","Dodaj nową rolę"
"Add New Template","Dodaj nowy szablon"
"Add New Urlrewrite","Dodaj nowe przekierowanie"
"Add New User","Dodaj nowego użytkownika"
"Add New osCommerce Profile","Dodaj nowy profil osCommerce"
"Add PHP Extension dependency","Dodaj zależność rozszerzenia PHP"
