"%s and greater","%s i więcej"
"up to %s","aż do %s"
"Autogenerated site map","Autogenerowana mapa strony"
"There are no search terms available.","Brak fraz wyszukiwania"
"Your search returns no results.","Brak wyników wyszukiwania."
"Price","Cena"
"Description","Opis"
"Tax Class","Klasa podatku"
"SKU","Kod producenta"
"Short Description","Krótki opis"
"List","Lista"
"You have to specify at least one search term","Musisz wpisać frazę dla wyszukiwania"
"Name","Nazwa"
"Required Fields","Pola wymagane"
"Popular Search Terms","Popularne hasła"
"Popular search terms","Popularne hasła"
"Search entire store here...","Przeszukaj cały sklep..."
"Grid","Siatka"
"Home","Strona główna"
"Search","Szukaj"
"Search Site","Szukaj na stronie"
"Search Settings","Ustawienia wyszukiwania"
"Go to Home Page","Wróć na stronę główną"
"All","Wszystko"
"Results","Wyniki"
"Search results for '%s'","Wyniki wyszukiwania dla '%s'"
"Search results for: '%s'","Wyniki wyszukiwania dla: '%s'"
"Search Terms","Wyszukiwane frazy"
"Advanced Search","Wyszukiwanie zaawansowane"
"Catalog Advanced Search","Zaawansowane wyszukiwanie w sklepie"
