"Cron (Scheduled Tasks) - all the times are in minutes","Cron (zadania zaplanowane) – wszystkie czasy podane są w minutach"
"Daily","Codziennie"
"Failure history lifetime","TRANSLATE THIS"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Dla prawidłowego generowania adresów URL podczas zadań cron upewnij się, że podstawowy niezabezpieczony i bezpieczny adres są poprawnie ustawione."
"Generate schedules every","Generuj plan zadań co"
"History cleanup every","Czyść historię co"
"Invalid callback: %s::%s does not exist","Błędne odwołanie: %s::%s nie istnieje"
"Invalid model/method definition, expecting ""model/class::method"".","Nieprawidłowa definicja modelu/metody, oczekiwane model/class::method""."""
"Missed if not run within","Opuść jeśli nie zostanie uruchomine w ciągu"
"Monthly","Co miesiąc"
"No callbacks found","Nie znaleziono odwołań"
"Schedule ahead for","Zaplanuj na przyszłość dla"
"Success history lifetime","TRANSLATE THIS"
"Too late for the schedule","Za późno na plan zadań"
"Unable to save Cron expression","Nie można zapisać wyrażenia Cron"
"Unknown error","Nieznany błąd"
"Weekly","Co tydzień"
