"(Optional. Leave blank for no prefix)","(Opcjonalne. Pozostaw puste w przypadku braku prefiksu)"
"(Make sure you keep it in a safe place.)","(Upewnij się, że przechowujesz to w bezpiecznym miejscu.)"
"(ver. %s)","(wer. %s)"
"Url ""%s"" is invalid","Adres ""%s"" jest nieprawidłowy"
"Email","Adres email"
"Email Address","Adres email"
"Host","Adres hosta"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternatywnie możesz użyć opcji 'Ręczne pobieranie i aktualizacje'"
"Path ""%s"" must be writable","Ścieżka ""%s"" musi mieć prawa zapisu"
"Database connection error","Błąd połączenia z bazą"
"Secure Base URL","Bezpieczny adres SSL"
"Having trouble installing Magento?","Czy masz problem z instalacją Magento?"
"Personal Information","Dane personalne"
"Default Currency","Domyślna waluta"
"Password","Hasło"
"Database user password","Hasło do bazy"
"User Password","Hasło użytkownika"
"Database host","Host połączenia z bazą"
"First Name","Imię"
"Login Information","Informacje o logowaniu"
"Installation","Instalacja"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Jeżeli pobrałeś pełną wersję lub instalowałeś z SVN , powinieneś przejść dalej klikając w poniższy przycisk"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Jeśli chcesz zarządzać pakietami Magento przez interfejs www, będziesz potrzebował uprawnień zapisu dla wszystkich katalogów i plików Magento."
"If you are a developer and would like to have the latest public updates, choose this option.","Jeśli jesteś programistą i chciałbyś użyć najnowszych dostępnych uaktualnień, wybierz tą opcję."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Jeśli nie chcesz, lub nie możesz nadać uprawnień do zapisu plikom Magento dla serwera www, możesz użyć pliku wykonywalnego PEAR znajdującego się w głównym katalogu Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Jeśli Twój serwer pracuje pod kontrolą MS Windows, prawdopodobnie nie musisz nic zmieniać."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Jeśli używasz PHP jako CGi, Twoje procesy PHP moga być uruchomione z konta użytkownika użytego do wgrania plików Magento."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Jeśli uruchamiasz kreatora instalacji z poprzednio pobraną i zainstalowaną wersją Magento, wybierz tą opcję."
"One from PHP Extensions ""%s"" must be loaded","Jedno z rozszerzeń PHP: ""%s"" musi być załadowane"
"Currently this is the most stable state available for Magento packages.","Jest to obecnie najstabilniejsza dostępna wersja pakietów Magento."
"Encryption Key","Klucz szyfrowania"
"Configuration","Konfiguracja"
"Continue","Kontynuuj"
"Continue After Manual Download","Kontynuuj po ręcznym pobraniu"
"Continue Full Download / SVN Installation","Kontynuuj w przypadku instalacji SVN / Pełnego downloadu"
"Magento Installation Wizard","Kreator instalacji Magento"
"Run admin interface with SSL","Loguj się do panelu administracyjnego za pomocą SSL"
"Localization","Lokalizacja"
"Locale","Lokalizacja (Locale)"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento jest zastrzeżonym znakiem handlowym Irubin Consulting Inc. DBA Varien. Wszelkie prawa zastrzeżone &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento używa tego klucza do szyfrowania haseł, numerów kart kredytowych itd. Pozostawiajac to pole puste pozwolisz na automatyczne wygenerowanie klucza. Zobaczysz go na następnej stronie"
"Magento","MagentoCommerce"
"You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Możesz określić port serwera, np.: localhost:3307<br/>Jeśli nie używasz domyślnego gniazda UNIX, możesz podać je zamiast hosta, np.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Możesz włączyć tą opcję jeżeli Twój serwer obsługuje mod_rewrite. Linki staną się wtedy bardziej przyjazne dla wyszukiwarek."
"Database Name","Nazwa bazy"
"User Name","Nazwa użytkownika"
"Last Name","Nazwisko"
"Web access options","Opcje dostępu"
"Please note that it is much less stable than beta.","Pamietaj, że wersja ta jest dużo mniej stabilna niż beta"
"Full Download / SVN Installation","Pełny download / Instalacja z SVN"
"After successfull installation please click the button below.","Po udanej instalacji kliknij poniższy przycisk."
"Connection","Połączenie"
"Database Connection","Połączenie z bazą"
"Downloading and installing Magento, please wait...","Pobieranie i instalowanie Magento, prosze czekać..."
"Proceed With Automatic Download (%s)","Pobierz automatycznie (%s)"
"Download Magento Core Modules and Updates","Pobierz główne moduły Magento i uaktualnienia"
"Download","Pobrane"
"Provide a complete base URL for SSL connection. For example: %s","Podaj pełen adres bazowy dla połączeń SSL. Przykład: %s"
"Required Fields","Pola wymagane"
"Help Us to Keep Magento Healthy","Pomóż nam rozwijać Magento"
