"%s Item(s)","%s produkt(ów)"
"(ver. %s)","(wersja %s)"
"You're currently on:","Aktualnie przebywasz w:"
"Default Robots","Domyślne roboty"
"Default Keywords","Domyślne słowa kluczowe"
"Default Description","Domyślny opis"
"Default Title","Domyślny tytuł"
"Interface Language","Język interfejsu"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento jest znakiem handlowym Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"per page","na stronę"
"Header","Nagłówek"
"HTML Head","Nagłowek HTML (HEAD)"
"Next Page","Następna strona"
"Show","Pokaż"
"Help Us to Keep Magento Healthy","Pomóż nam rozwijać Magento"
"Previous Page","Poprzednia strona"
"Title Prefix","Prefiks tytułu"
"Items %s to %s of %s total","Produktów od<strong>%s</strong> do <strong>%s</strong> z <strong>%s</strong>"
"Skip to Main Content","Przejdź do strony główej"
"Magento Commerce Demo Store","Sklep demonstracyjny Magento"
"Footer","Stopka"
"Page:","Strona:"
"Title Suffix","Sufiks tytułu"
"Welcome Text","Tekst powitalny"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","To jest wersja demonstracyjna. Żadne zamówienia nie będą realizowane."
"Your Language","Twój język"
"Welcome, %s!","Witaj, %s!"
"Select Store","Wybierz sklep"
"Close Window","Zamknij okno"
"Report All Bugs","Zgłoś błędy w oprogramowaniu"
"Logo Image Alt","Znacznik ALT dla logotypu"
"Logo Image Src","Znacznik SRC dla logotypu"
"Copyright","Znak handlowy"
