" The customer doesn't exist in the system anymore","Klient nie istnieje już w bazie systemu"
"Order Date: %s","<p><strong>Data zamówienia:</strong> %s</p>"
"<span style=""color:red"">Warning: when catalog prices include tax, should be set to ""No""</span>","<span style=""color:red"">Uwaga: Jeżeli ceny produktów zawierają podatek powinno być ustawione na NIE</span>"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color:red"">Wymaga ustawienia 'Podatek na podstawie miejsca dostawy'</span>"
"Address","Adres"
"Shipping Address","Adres dla dostawy"
"Email","Adres email"
"New Order Confirmation Email Sender","Adres nadawcy potwierdzenia zamówienia"
"Billing Address","Adres płatnika"
"Action","Akcja"
"Hold action is not available","Akcja wstrzymania jest niedostępna"
"Actions","Akcje"
"Order Update","Aktualizacja zamówienia"
"Order Update (Shipment)","Aktualizacja zamówienia (Dostawa)"
"Order Update (Invoice)","Aktualizacja zamówienia (Faktura)"
"Order Update (Credit Memo)","Aktualizacja zamówienia (Nota)"
"Canceled","Anulowany"
"Cancel","Anuluj"
"Track Order","Śledź status zamówienia"
"Track your order","Śledź swoje zamówienie"
"Track this shipment","Śledź tę dostawę"
"Track all shipment(s)","Śledź wszystkie dostawy"
"Track all shipments","Śledź wszystkie dostawy"
"Total Refund","Łączna refundacja"
"Total Refunded","Łącznie refundowane"
"Total(inc)","Łącznie(wł)"
"Total(ex)","Łącznie(wył)"
"Invoice cancel error.","Błąd anulowania faktury."
"Creditmemo cancel error.","Błąd anulowania noty"
"Invoice void error","Błąd czyszczenia faktury"
"Creditmemo void error","Błąd czyszczenia noty"
"Invoice capture error","Błąd pobrania faktury"
"Item qty declare error","Błąd podczas deklarowania ilości produktu"
"Order saving error: %s","Błąd zapisu zamówienia: %s"
"Gift Certificate","Bon prezentowy"
"No detail for number ""%s","Brak danych dla ""%s"
"There are no printable documents related to selected orders","Brak dokumentów do druku odnoszących się do wybranych zamówień"
"No items","Brak produktów"
"No Payment Methods","Brak sposobów płatności"
"Credit Memo total must be positive.","Całkowita kwota noty kredytowej musi być większa od zera"
"Order Grand Total","Całkowita kwota zamówienia"
"Can't get order instance","Can't get order instance"
"Price","Cena"
"Original Price","Cena oryginalna"
"Catalog prices include tax","Ceny katalogowe z podatkiem"
"Partial","Częściowy"
"Are you sure you want to cancel this order?","Czy na pewno chcesz anulować to zamówienie?"
"Are you sure?","Czy na pewno?"
"Are you sure? This order will be cancelled and a new one will be created instead","Czy na pewno? To zamówienie zostanie usunięte a w miejsce niego zostanie utworzone nowe"
"Account Information","Dane konta"
"Date","Data"
"Invoice Date","Data faktury"
"Date Shipped","Data wysłania"
"Order Date","Data zamówienia"
"Order Date: ","Data zamówienia: "
"To","Do"
"To Name","Do (nazwa)"
"To:","Do:"
"Append Comments","Dołącz komentarze"
"Add","Dodaj"
"Add to Cart","Dodaj do koszyka"
"Add To Order","Dodaj do zamówienia"
"Add Order Comments","Dodaj komentarze"
"Add New Address","Dodaj nowy adres"
"Add Tracking Number","Dodaj numer paczki"
"Add Product","Dodaj produkt"
"Add a gift message for the <strong>entire order</strong>","Dodaj wiadomość prezentową do <strong>całego zamówienia</strong>"
"Add a gift message for <strong>each gift item</strong>","Dodaj wiadomość prezentową do <strong>każdego prezentu</strong>"
"Add Selected Product(s) to Order","Dodaj wybrane produkty do zamówienia"
"Document","Dokument"
"Credit Memo","Dokument kredytowy"
"Apply Tax after Discount","Dolicz podatek po zniżce"
"Items Shipped","Dostarczone produkty"
"Shipping","Dostawa"
"Shipment","Dostawa"
"Ship","Dostawa"
"Shipment #","Dostawa #"
"Shipment #%s","Dostawa #%s"
"Shipping & Handling","Dostawa i koszty manipulacyjne"
"Shipping & Handling Information","Dostawa i koszty manipulacyjne"
"Shipping & Handling:","Dostawa i koszty manipulacyjne:"
"Shipments","Dostawy"
"Print","Drukuj"
"Print Shipment","Drukuj dostawę"
"Print Packingslips","Drukuj etykiety"
"Print Invoice","Drukuj fakturę"
"Print Invoices","Drukuj faktury"
"Print Refund","Drukuj refundację"
"Print All Shipments","Drukuj wszystkie dostawy"
"Print All Refunds","Drukuj wszystkie refundacje"
"Print All","Drukuj wszystko"
"Edit","Edycja"
"Edit Order #%s","Edycja zamówienia nr.%s"
"Shipment email sent","Email dotyczący przesyłki został wysłany"
"Credit Memo Email Sender","Email nadawcy noty kredytowej"
"Credit Memo Comment Email Sender","Email nadawcy noty kredytowej"
"Credit Memo email not sent","Email z notą kredytową nie został wysłany"
"Credit Memo email sent","Email z notą kredytową został wysłany"
"Sales Emails","Emaile sprzedażowe"
"Packingslip # ","Etykieta # "
"PDF Packingslips","Etykiety PDF"
"Invoice","Faktura"
"Invoice #%s","Faktura #%s"
"Invoice #","Faktura nr."
"Invoice # ","Faktura nr."
"Invoice was successfully canceled.","Faktura została anulowana."
"Invoice was successfully captured","Faktura została pobrana"
"Invoice was successfully voided","Faktura została wyczyszczona"
"Invoice email not sent","Fakturowa wiadomosć email nie została wysłana"
"Invoice email sent","Fakturowa wiadomosć email została wysłana"
"Invoices","Faktury"
"PDF Invoices","Faktury PDF"
"Payment Method","Forma płatności"
"Guest","Gość"
"Customer Group","Grupa Klientów"
"Comments History","Historia komentarzy"
"Order History","Historia zamówień"
"QTY","ILOŚĆ"
"Qty","Ilość"
"Qty Canceled","Ilość anulowana"
"Total Qty","Ilość łączna"
"Qty To Add","Ilość do dodania"
"Qty to Invoice","Ilość do zafakturowania"
"Some items have quantities exceeding allowed quantities. Please select a lower quantity to checkout.","Ilość niektórych produktów przekracza dozwoloną. Prosimy o wybranie mniejszej ilości."
"Items Refunded","Ilość refundowanych produktów"
"Qty Shipped","Ilość wysłana"
"Qty Invoiced","Ilość zafakturowana"
"Qty Ordered","Ilość zamówiona"
"Items Ordered","Ilość zamówionych produktów"
"First Name","Imię"
"Ship to First Name","Imię (dostawa)"
"Ship to First name","Imię (dostawa)"
"Information","Informacja"
"Payment Information","Informacje o płatności"
"Shipping Information","Informacje o wysyłce"
"Order Information","Informacje o zamówieniu"
"About Your Order","Informacje o zamówieniu"
"Tax Class for Shipping","Klasa podatkowa dla dostawy"
"Click to change shipping method","Kliknij by zmienić sposób dostawy"
"%s"" coupon code is not valid.","Kod kuponu ""%s"" jest niepoprawny."
"ZIP/Post Code","Kod pocztowy"
"Sku","Kod producenta"
"SKU","Kod producenta"
"Checkout totals sort order","Kolejność wyświetlania sum zamówienia"
"Shipment Comments","Komantarze do dostawy"
"Comment","Komentarz"
"Order Comment","Komentarz do zamówienia"
"Credit Memo Comments","Komentarze do noty kredytowej"
"Invoice Comments","Komentarze faktury"
"Order Comments","Komentarze zamówienia"
"Shopping Cart","Koszyk"
"Store Credit","Kredyt w sklepie"
"Purchased from (store)","Kupione w sklepie"
"Purchased On","Kupiono dnia"
"Purchased From","Kupiono od"
"Coupons","Kupony"
"Grand Total","Kwota całkowita"
"Grand Total:","Kwota całkowita:"
"Refund Amount","Kwota refundacji"
"Paid Amount","Kwota zapłacona"
"Link to the new order","Link do nowego zamówienia"
"Link to the previous order","Link do poprzedniego zamówienia"
"Wishlist","Lista życzeń"
"Logo (200x50)","Logotyp (rozmiar 200x50)"
"Shipment email not sent","Mail z dokumentem dostawy nie został wysłany"
