"Actions","Operacje"
"Active","Aktywny"
"Add New Rule","Dodaj nową regułę"
"Apply","Zastosuj"
"Apply the rule only if the following conditions are met (leave blank for all products)","Zastosuj regułę tylko gdy następujące warunki są spełnione (pozostaw puste dla wszystkich produktów)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Zastosuj regułę do produktów w koszyku spełniających następujące warunki (pozostaw puste dla wszystkich produktów)"
"Apply the rule to cart items matching the following conditions","Zastosuj regułę do produktów w koszyku spełniających następujące warunki"
"Apply to","Zastosuj do"
"Buy X get Y free (discount amount is Y)","Kup X dostań Y za darmo (zniżkową wartością jest Y)"
"By Fixed Amount","O stałą ilość"
"By Fixed value","O stałą wartość"
"By Percentage","O wartość procentową"
"By Percentage of the original price","O wartość procentową oryginalnej ceny"
"Cart Attribute","Cechy koszyka"
"Catalog","Katalog"
"Conditions","Warunki"
"Conditions combination","Kombinacja warunków"
"Coupon Code","Kod kuponu"
"Coupon code","Kod kuponu"
"Customer Groups","Grupy klientów"
"Customer is new buyer: %s","Klient nie składał wcześniej zamówień: %s"
"Customer registered: %s","Klient zarejestrowany: %s"
"Date Expire","Data wygaśnięcia"
"Date Start","Data rozpoczęcia"
"Delete Rule","Usuń regułę"
"Description","Opis"
"Description: %s","Opis: %s"
"Discount Qty Step (Buy X)","Kroki ilości zniżek (kup X)"
"Discount amount","Wartość zniżki"
"Edit Rule","Edytuj regułę"
"Edit Rule '%s'","Edycja reguły '%s'"
"Expire at: %s","Wygasa: %s"
"Fixed amount discount","Zniżka o stałej wartości"
"Fixed amount discount for whole cart","Stała wartość zniżki dla całego koszyka"
"For matching items only","Dla produktów spełniających kryteria"
"For shipment with matching items","Dla dostawy i produktów spełniających kryteria"
"Free shipping","Darmowa dostawa"
"From Date","Od daty"
"General Information","Informacje ogólne"
"ID","ID"
"Inactive","Nieaktywny"
"Maximum Qty Discount is Applied to","Maksymalna zniżka ilościowa jest stosowana dla"
"NOT LOGGED IN","NIE ZALOGOWANY"
"Name: %s","Nazwa: %s"
"New Rule","Nowa reguła"
"No","Nie"
"Payment Method","Forma płatności"
"Percent of product price discount","Procent zniżki dla ceny produktu"
"Price in cart","Cena w koszyku"
"Priority","Priorytet"
"Product attribute combination","Kombinacja cech produktu"
"Products subselection","Podwybór produktów"
"Promotions","Promocje"
"Public In RSS Feed","Publiczne w kanale RSS"
"Quantity in cart","Ilość w koszyku"
"Row total in cart","Ilość wierszy w koszyku"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Rule was successfully deleted","Reguła została usunięta"
"Rule was successfully saved","Reguła została zapisana"
"Save Rule","Zapisz regułę"
"Shipping Country","Kraj dostawy"
"Shipping Method","Metoda dostawy"
"Shipping Postcode","Kod pocztowy dostawy"
"Shipping Region","Region dostawy"
"Shipping State/Province","Województwo dostawy"
"Shopping Cart Price Rule","Reguła ceny koszyka"
"Shopping Cart Price Rules","Reguły cenowe koszyka"
"Special price","Nasza cena"
"Start at: %s","Rozpoczęcie: %s"
"Status","Status"
"Stop further rules processing","Zaniechaj przetwarzania kolejnych reguł"
"Subtotal","Suma częściowa"
"The page you are trying to save no longer exists","Strona którą chcesz zapisać już nie istnieje"
"This rule no longer exists","Reguła już nie istnieje"
"To Date","Do daty"
"To Fixed Amount","Do stałej ilości"
"To Fixed Value","Do stałej wartości"
"To Percentage","Do wartości procentowej"
"To Percentage of the original price","do wartości procentowej oryginalnej ceny"
"Total Items Quantity","Łączna ilość produktów"
"Total Weight","Łączna waga"
"Unable to find a page to delete","Nie znaleziono strony do usunięcia"
"Update prices using the following information","Zaktualizuj ceny używając następujących informacji"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Update the Product","Aktualizuj produkt"
"Uses per coupon","Zastosowania wg kuponów"
"Uses per customer","Zastosowania wg klientów"
"Yes","Tak"
