" for more information or email us at "," aby uzyskać więce informacji lub napisz na adres"
"# of Items (and above)","Ilość produktów (i powyżej)"
"# of Items vs. Destination","Ilość produktów w zależności od lokalizacji"
"Allow Shipping to multiple addresses","Pozwól na dostawę do wielu adresów"
"Calculate Handling Fee","Oblicz koszt przygotowania przesyłki"
"Carrier:","Dostawca:"
"City","Miasto"
"Close Window","Zamknij okno"
"Condition","Warunek"
"Country","Kraj"
"Date","Data"
"Delivered on:","Dostarczono:"
"Delivered to:","Dostarczone do:"
"Description","Opis"
"Displayed Error Message","Wyświetlony błąd"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Podwójny wpis #%s (Państwo ""%s"", Region/Województwo ""%s"", Kod pocztowy ""%s"" i Wartość ""%s"")"
"Enabled","Włączone"
"Error:","Błąd:"
"Export","Eksport"
"Fixed","Stały"
"Flat Rate","Płaska stawka"
"Free Shipping","Darmowa dostawa"
"Handling Fee","Opłata manipulacyjna"
"Import","Importuj"
"Info:","Informacje:"
"Invalid %s ""%s"" in the Row #%s","Niepoprawny %s ""%s"" w #%s"
"Invalid Country ""%s"" in the Row #%s","Niepoprawne państwo ""%s"" w #%s"
"Invalid Region/State ""%s"" in the Row #%s","Niepoprawny region/województwo ""%s"" w #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Niepoprawana cena wysyłki ""%s"" w #%s"
"Invalid Table Rate code for type %s: %s","Nieprawidłowy kod dla tabeli stawek %s: %s"
"Invalid Table Rate code type: %s","Nieprawidłowy kod dla tabeli stawek: %s"
"Invalid Table Rates File Format","Błędny format pliku tabeli stawek"
"Local Time","Lokalny czas"
"Location","Lokalizacja"
"Maximum qty allowed for Shipping to multiple addresses","Maksymalna ilość dozwolona dla dostawy pod wiele adresów"
"Method name","Nazwa metody"
"Minimum order amount","Minimalna wielkość zamówienia"
"N/A","N/D"
"None","Brak"
"Options","Opcje"
"Order Subtotal (and above)","Suma częsciowa zamówienia (i powyżej)"
"Origin","Pochodzenie"
"Per Order","Na zamówienie"
"Per Package","Za paczkę"
"Percent","Procent"
"Price","Cena"
"Price vs. Destination","Cena w zależności od lokalizacji"
"Region/State","Region/województwo"
"Service Type:","Typ usługi:"
"Ship to Specific countries","Dostawa do wybranych krajów"
"Ship to applicable countries","Dostawa do stosownych krajów"
"Shipment #","Dostawa nr "
"Shipped or billed on:","Dostarczone lub rozliczone:"
"Shipping Methods","Formy dostawy"
"Shipping Methods Section","Sekcja Metod Wysyłki"
"Shipping Settings","Ustawienia dostawy"
"Shipping Settings Section","Sekcja Ustawień Wysyłek"
"Show method if not applicable","Pokaż niedostępne metody"
"Signed by:","Podpisane przez:"
"Sort order","Kolejność sortowania"
"Status:","Status:"
"Store Pickup","Odbiór osobisty w sklepie"
"Table rates","Tabele stawek"
"The shipping module is not available for selected delivery country","Wybrany moduł dostawy nie jest dostępny w wybranym kraju"
"There is no tracking available for this shipment.","Śledzenie jest niedostępne dla tej dostawy."
"There is no tracking available.","Śledzenie jest niedostępne."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ta metoda dostawy jest aktualnie niedostępna Jeśli bardzo zależy ci na niej, skontaktuj się z nami."
"Title","Tytuł"
"Track:","Ślad:"
"Tracking Number:","Numer śledzenia:"
"Tracking information is currently not available. Please ","Informacje o śledzeniu nie są aktualnie dostępne "
"Tracking information is currently unavailable.","Informacje o śledzeniu nie są aktualnie dostępne"
"Type","Typ"
"Weight (and above)","Waga (i powyżej)"
"Weight vs. Destination","Waga w zależności od lokalizacji"
"Weight:","Waga:"
"ZIP/Postal Code","Kod pocztowy"
"contact us","skontaktuj się z nami"
