"-- Please Select --","-- Prosimy wybrać --"
"Add New Class","Dodaj nową klasę"
"Add New Tax Rate","Dodaj nową stawkę podatku"
"Add New Tax Rule","Dodaj nową regułę dla podatku"
"Apply Discount On Prices Including Tax","Zastosuj zniżkę na cenach zawierających podatek"
"Apply Tax After Discount","Dolicz podatek po zniżce"
"Apply Tax On","Zastosuj podatek na"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Back","Powrót"
"CSV","CSV"
"Calculation","Obliczenia"
"Catalog prices include tax","Ceny w katalogu zawierają podatek"
"Class Name","Nazwa klasy"
"Code","Kod"
"Country","Kraj"
"Country/Region/Postal code combination","Kombinacja kraj/region/kod pocztowy"
"County","Powiat"
"Custom price if available","Indywidualna cena, jeśli dostępna"
"Customer Tax Class","Klasa podatku dla klienta"
"Customer Tax Class Information","Informacje o klasie podatku klienta"
"Customer Tax Classes","Klasy podatku klienta"
"Default Country","Domyślny kraj"
"Default Post Code","Domyślny kod pocztowy"
"Default State","Domyślne województwo"
"Default Tax Origin Calculation","Obliczanie domyślnego podatku nadawcy"
"Delete Class","Usuń klasę"
"Delete Rate","Usuń stawkę"
"Delete Rule","Usuń regułę"
"Display","Wyświetlaj"
"Display Cart/Order Prices","Wyświetlaj ceny koszyka/zamówienia"
"Display Product Prices","Wyświetlaj ceny produktu"
"Display Shipping Prices","Wyświetlaj ceny dostawy"
"Display Zero Tax Subtotal","Wyświetlaj zerową podsumę podatku"
"Display full tax summary","Wyświetlaj pełne podsumowanie podatku"
"Edit Class","Edytuj klasę"
"Edit Class '%s'","Edytuj klasę '%s'"
"Edit Rule","Edytuj regułę"
"Edit Tax Rate","Edytuj stawkę podatku"
"Error while deleting this class. Please try again later.","Błąd podczas usuwania klasy. Spróbuj ponownie."
"Error while deleting this rate. Incorrect rate ID","Błąd podczas usuwania stawki. Błędne ID stawki"
"Error while deleting this rate. Please try again later.","Błąd w trakcie kasowania stawki. Ponów próbę."
"Error while deleting this tax rule. Please try again later.","Błąd podczas usuwania reguły podatku. Ponów próbę."
"Error while saving this rate. Please try again later.","Błąd podczas zapisu stawki. Ponów próbę."
"Error while saving this tax class. Class with the same name ","Błąd podczas zapisywania klasy podatku. Klasa o takiej nazwie "
"Error while saving this tax class. Please try again later.","Nastąpił błąd podczas próby zapisania klasy podatku. Ponów próbę."
"Error while saving this tax rule. Please try again later.","Nastąpił błąd podczas próby zapisania reguły podatku. Ponów próbę."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Wystąpił błąd podczas zapisywania reguły podatku. Kombinacja klasy podatkowej produktu lub klienta i stawki podatkowej"
"Excl. Tax","Bez podatku"
"Excl. Tax:","Bez podatku"
"Excluding tax","Bez podatku"
"Export Tax Rates","Eksportuj stawki podatku"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignorowane jeśli jest włączona opcja ""Dolicz podatek po zniżce"""
"Import / Export Tax Rates","Importuj / Eksportuj stawki podatków"
"Import Tax Rates","Importuj stawki podatku"
"Inc. Tax","Z podatkiem"
"Incl. Tax","Z podatkiem"
"Incl. Tax:","Z podatkiem"
"Including and excluding tax","Zawierające i niezawierające podatek"
"Including tax","Z podatkiem"
"Incorrect rate Data","Błędne dane stawki"
"Invalid data for tax rate calculation","Błędne dane do obliczenia stawki podatku"
"Invalid file format upload attempt","Błędny format pliku"
"Invalid file upload attempt","Próba wgrania pliku zakończona niepowodzeniem"
"Manage Customer Tax Classes","Zarządzaj klasami podatku klienta"
"Manage Product Tax Classes","Zarządzaj klasami podatku produktu"
"Manage Tax Rates","Zarządzaj stawkami podatków"
"Manage Tax Rules","Zarządzaj regułami podatków"
"Manage Tax Zones & Rates","Zarządzaj strefami i stawkami podatków"
"Name","Nazwa"
"New Class","Nowa klasa"
"New Rule","Nowa reguła"
"New Tax Rate","Nowa stawka podatku"
"None","Brak"
"One of the country has invalid code.","Jeden z krajów ma błędny kod."
"Original price only","Tylko oryginalna cena"
"Please select Country","Wybierz kraj"
"Please select County","Wybierz powiat"
"Please select State","Wybierz województwo"
"Priority","Priorytet"
"Product Tax Class","Klasa podatku dla produktów"
"Product Tax Class Information","Informacje o klasie podatku dla produktów"
"Product Tax Classes","Klasy podatku produktu"
"Rate","Stawka"
"Reset","Resetuj"
"Sales","Sprzedaże"
"Save Class","Zapisz klasę"
"Save Rate","Zapisz stawkę"
"Save Rule","Zapisz regułę"
"Shipping prices include tax","Ceny dostaw zawierają podatek"
"Sort Order","Kolejność sortowania"
"State","Województwo"
"State/Region","Województwo/Region"
"Tax","Podatek"
"Tax Based On","Podatek na podstawie"
"Tax Class for Shipping","Klasa podatku dla dostawy"
"Tax Classes","Klasy podatku"
"Tax Identifier","Identyfikator podatku"
"Tax Rate","Stawka podatku"
"Tax Rate Information","Informacje o stawce podatku"
"Tax Rule Information","Informacje o regule podatku"
