" was not delivered nor scanned"," 2rKMcT  <a href=http://yoampvqgmfqk.com/"">yoampvqgmfqk</a>"
"1 Day Freight","TRANSLATE_THIS"
"2 Day Freight","TRANSLATE_THIS"
"2Day","TRANSLATE_THIS"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","TRANSLATE_THIS"
"3 Day Select","3 Day Select"
"Access ID","Identyfikator dostępu"
"Access license number","TRANSLATE_THIS"
"Account ID","Identyfikator konta klienta"
"Account number","Numer konta"
"Additional Protection Configuration Value","Dodatkowa ochrona wartości dla konfiguracji"
"Additional Protection Enabled","Dodatkowa ochrona włączona"
"Additional Protection Min Subtotal","Dodatkowa ochrona - minimalna suma częściowa zamówienia"
"Additional Protection Value","Dodatkowa ochrona wartości"
"Additional Protection Value Rounding Method","Dodatkowa ochrona wartości - metoda zaokrąglenia"
"All Services","Wszystkie usługi"
"Allowed methods","TRANSLATE_THIS"
"Bound Printed Matter","TRANSLATE_THIS"
"Business Service Center","TRANSLATE_THIS"
"Calculate Handling Fee","Oblicz koszt przygotowania przesyłki"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Nie można pobrać stawek metody wysyłki"
"Commercial","Komercyjna"
"Configuration","Konfiguracja"
"Container","Pojemnik"
"Customer Packaging","Opakowanie klienta"
"DHL","DHL"
"Default Package Height","Domyślna wysokość paczki"
"Default Package Length","Domyślna długość paczki"
"Default Package Width","Domyślna szerokość paczki"
"Delivered","Dostarczono"
"Destination type","TRANSLATE_THIS"
"Displayed Error Message","Wyświetlony błąd"
"Domestic Shipment Days","Dni przesyłki krajowej"
"Drop Box","Skrzynka pocztowa"
"Dropoff","Dostawa"
"Empty response","Pusta odpowiedź"
"Enable Negotiated Rates","Włącz negocjowalne stawki"
"Enabled","Włączone"
"Error #%s : %s (%s)","Błąd #%s: %s (%s)"
"Error #%s: %s","Błąd #%s: %s"
"Europe First Priority","TRANSLATE_THIS"
"Express","Ekspres"
"Express 10:30 AM","Ekspress 10:30 przed południem"
"Express Mail","TRANSLATE_THIS"
"Express Saturday","Ekspres sobotniTRANSLATE_THIS"
"Express Saver","TRANSLATE_THIS"
