"%s was successfully added to your shopping cart.","%s foi adicionado ao seu carrinho de compras com sucesso"
"&laquo; Back to Billing Information","&laquo; Voltar para as informações de cobrança"
"&laquo; Back to Select Addresses","&laquo; Voltar para selecionar endereço"
"&laquo; Back to Shopping Cart","&laquo; Voltar ao carrinho de compras"
"* Required Fields","* Campos obrigatórios"
"Add New Address","Adicionar novo endereço"
"Add New Condition","Adicionar nova condição"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparação"
"Add to Wishlist","Adicionar à lista de desejos"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"After adding a product redirect to shopping cart","Após adicionar um produto redirecionar para o carrinho de compra"
"Allow Guest Checkout","Permitir finalizar compra como visitante"
"Already registered?","Já é registrado?"
"An error occurred in the process of payment","Ocorreu um erro durante o processo de pagamento"
"Apply Coupon","Usar cupom"
"Are you sure you would like to remove this item from the shopping cart?","Você tem certeza que deseja remover este item do seu carrinho de compras?"
"Back","Voltar"
"Back to Shipping Information","Voltar para informações de envio"
"Based on your selection, you may be interested in the following items:","Baseado na sua seleção, você pode estar interessado nos seguintes itens:"
"Billing Address","Endereço de cobrança"
"Billing Information","Informações de cobrança"
"Billing Information - %s","Informações de cobrança - %s"
"Can not add item to shopping cart","Não foi possível adicionar item ao carrinho de compras"
"Can not apply coupon code.","Não foi possível usar o cupom de desconto."
"Can't open overview page","Não foi possível abrir a página de resumo"
"Cancel Coupon","Cancelar cupom"
"Cannot remove item","Não foi possível remover o item"
"Cannot update shopping cart","Não foi possível atualizar o carrinho de compras"
"Card Verification Number Visual Reference","Referência visual do código de segurança do cartão"
"Cart Subtotal:","Subtotal do carrinho:"
"Change","Alterar"
"Change Billing Address","Trocar endereço de cobrança"
"Checkbox text","Texto da caixa de seleção"
"Checkout","Finalizar compra"
"Checkout Conditions","Condições para finalizar compra"
"Checkout Options","Opções de finalização de compra"
"Checkout Section","Seção de finalização de compra"
"Checkout Terms and Conditions","Termos e condições para finalizar compra"
"Checkout as Guest","Finalizar compra como visitante"
"Checkout as a Guest or Register","Finalizar compra como visitante ou registre-se"
"Checkout method","Método de finalização de compra"
"Checkout with Multiple Addresses","Finalizar compra com múltiplos endereços"
"City","Cidade"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target='_blank'"">aqui para imprimir</a> uma cópia da confirmação do seu pedido."
"Close","Fechar"
"Company","Empresa"
"Condition Name","Nome da condição"
"Condition was successfully deleted","Condição foi excluída com sucesso"
"Condition was successfully saved","Condição foi salva com sucesso"
"Configurable product image","Imagem de produto configurável"
"Confirm Password","Confirme sua senha"
"Content","Conteúdo"
"Content Height","Altura do conteúdo"
"Content Height (css)","Altura do conteúdo (css)"
"Continue","Continuar"
"Continue Shopping","Continuar comprando"
"Continue to Billing Information","Continuar com as informações de cobrança"
"Continue to Review Your Order","Continuar revendo seu pedido"
"Continue to Shipping Information","Continuar com as informações de envio"
"Country","País"
"Coupon code ""%s"" is not valid.","Cupom de código ""%s"" não é válido."
"Coupon code ""%s"" was applied successfully.","Cupom de código ""%s"" foi utilizado com sucesso."
"Coupon code was canceled successfully.","Código do cupom foi cancelado com sucesso."
"Create Billing Address","Criar endereço de cobrança"
"Create Shipping Address","Criar endereço de envio"
"Customer Address is not valid.","Endereço do cliente não é válido."
"Data saving problem","Problema ao gravar dados"
"Default Billing","Faturamento padrão"
"Default Shipping","Envio padrão"
"Delete Condition","Excluir condição"
"Details","Detalhes"
"Disable Onepage Checkout","Desabilitar finalizar compra em uma página"
"Disabled","Desabilitado"
"Discount Codes","Cupom de desconto"
"Display Cart Summary","Mostrar sumário do carrinho"
"Display Shopping Cart Sidebar","Mostrar barra lateral do carrinho de compras"
"Display item quantities","Mostrar quantidade de itens"
"Display number of items in cart","Mostrar número de itens no carrinho"
"Easy access to your order history and status","Acesso fácil ao seu histórico de pedidos e status"
"Edit","Editar"
"Edit Address","Editar endereço"
"Edit Billing Address","Editar endereço de cobrança"
"Edit Items","Editar itens"
"Edit Shipping Address","Editar endereço de envio"
"Edit Terms and Conditions","Editar termos e condições"
"Edit Your Cart","Editar seu carrinho"
"Email Address","Endereço de e-mail"
"Enable Terms and�Conditions","Habilitar termos e condições"
"Enabled","Habilitado"
"Enter a New Address","Insira um novo endereço"
"Enter your coupon code if you have one.","Se possuir, insira o código do cupom."
"Enter your destination to get a shipping estimate.","Insira seu endereço para calcular o valor do frete."
"Error while deleting this condition. Please try again later.","Erro ao excluir essa condição. Por favor, tente novamente mais tarde."
"Error while saving this condition. Please try again later.","Erro ao salvar esta condição. Por favor, tente novamente mais tarde."
"Estimate Shipping and Tax","Estimativa de frete e imposto"
"Excl. Tax","Excl. imposto"
"Fast and easy check out","Finalização de compra rápida e fácil"
"Fax","Fax"
"Forgot an Item?","Esqueceu algum item?"
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Cotar"
"Grand Total:","Total:"
