"-- Please Select --","-- Por favor, selecione --"
"Account Registration","Registrar conta"
"All fields of script types have to be filled.","Todos os campos de tipos de scripts precisam ser preenchidos."
"Attributes","Atributos"
"Category View Optimization","Otimização da visualização de categoria"
"Control Script","Script de controle"
"Conversion Page","Página de conversão"
"Conversion Page URL","URL da página de conversão"
"Conversion Script","Script de conversão"
"Enable","Habilitado"
"Google Optimizer Scripts","Scripts de otimização do Google"
"Google Website Optimizer","Otimização de sites do Google"
"Install Scripts","Scripts de instalação"
"Limit is 8 attributes only.","O limite é de somente 8 atributos"
"Multi Address Checkout","Finalizar compra com multi-endereço"
"One Page Checkout","Finalizar compra em uma página"
"Order Success (Multi Address Checkout)","Pedido realizado (finalizar compra com multi-endereço)"
"Order Success (One Page Checkout)","Pedido realizado (finalizar compra em uma página)"
"Original Page","Página original"
"Other","Outro"
"Page Type","Tipo da página"
"Page View Optimization","Otimização da visualização da página"
"Please copy and paste this value to experiment edit form","Por favor, copie e cole este valor para testar o formuário de edição"
"Please select store view to see the URL","Por favor, selecione visão da loja para ver o URL"
"Product View Optimization","Otimização da visualização do produto"
"Scripts Install URL","URL do script de instalação"
"Shopping Cart","Carrinho de compras"
"Tracking Script","Script de rastreamento"
"Use Default","Usar padrão"
"Use Default Values","Usar valores padrões"
"Variant Page","Página variante"
