"--Please Select--","--Por favor, selecione--"
"<label>Make Check payable to:</label> %s","<label>Fazer cheque para:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Fazer cheque para</label>: %s"
"Automatically invoice all items","Faturar automaticamente todos os itens"
"Can not configuration for payment method with code: %s","Não foi possível configurar método de pagamento com código: %s"
"Can not retrieve payment info model object.","Não foi possível obter objeto de modelo de informações de pagamento."
"Can not retrieve payment method instance","Não foi possível obter instância de método de pagamento"
"Can not retrieve payment method model object.","Não foi possível obter objeto de modelo de método de pagamento."
"Card Verification Number","Código de segurança do cartão"
"Check / Money order","Pedido em cheque / dinheiro"
"Credit Card Number","Número do cartão de crédito"
"Credit Card Number: %s","Número do cartão de crédito: %s"
"Credit Card Number: xxxx-%s","Número do cartão de crédito: xxxx-%s"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Card Types","Tipos de cartões de crédito"
"Credit Card Verification","Verificação de cartão de crédito"
"Enabled","Habilitado"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data de expiração: %s/%s"
"Make Check payable to","Fazer cheque para"
"Make Check payable to: %s","Fazer cheque para: %s"
"Maximum Order Total","Total máximo do pedido"
"Minimum Order Total","Total mínimo do pedido"
"Month","Mês"
"Name on Card","Nome no cartão de crédito"
"Name on the Card: %s","Nome no cartão de crédito: %s"
"New order status","Status de pedido novo"
"Payment Methods","Métodos de pagamento"
"Payment Methods Section","Seção de métodos de pagamento"
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","Pagamento de países permitidos"
"Purchase Order Number","Número do pedido de compra"
"Purchase Order Number: %s","Número do pedido de compra: %s"
"Purchase order","Pedido de compra"
"Saved CC","CC salvo"
"Send Check to","Enviar cheque para"
"Send Check to:","Enviar cheque para:"
"Sort order","Ordem de ordenação"
"Title","Título"
"What is this?","O que é isto?"
"Year","Ano"
"Zero Subtotal Checkout","Finalização de compra de subtotal zero"
